id,lv,pet_id,cost,restore
101001,1,101,1#16848|26#42,26#0
101002,2,101,1#24495|26#58,26#42
101003,3,101,1#31493|26#74,26#100
101004,4,101,1#38492|26#90,26#174
101005,5,101,1#45490|26#107,26#264
101006,6,101,1#52488|26#123,26#371
101007,7,101,1#61690|26#139,26#494
101008,8,101,1#68948|26#155,26#633
101009,9,101,1#76205|26#172,26#788
101010,10,101,1#83463|26#188,26#960
101011,11,101,1#90720|26#203,26#1148
101012,12,101,1#101477|26#219,26#1351
101013,13,101,1#108994|26#235,26#1570
101014,14,101,1#116511|26#252,26#1805
101015,15,101,1#124028|26#268,26#2057
101016,16,101,1#131544|26#284,26#2325
101017,17,101,1#143856|26#300,26#2609
101018,18,101,1#151632|26#317,26#2909
101019,19,101,1#159408|26#333,26#3226
101020,20,101,1#167184|26#349,26#3559
101021,21,101,1#174960|26#365,26#3908
101022,22,101,1#188828|26#382,26#4273
101023,23,101,1#196863|26#398,26#4655
101024,24,101,1#204898|26#414,26#5053
101025,25,101,1#212933|26#430,26#5467
101026,26,101,1#220968|26#447,26#5897
101027,27,101,1#236391|26#463,26#6344
101028,28,101,1#244685|26#479,26#6807
101029,29,101,1#252980|26#495,26#7286
101030,30,101,1#261274|26#512,26#7781
101031,31,101,1#269568|26#528,26#8293
101032,32,101,1#286546|26#544,26#8821
101033,33,101,1#295100|26#560,26#9365
101034,34,101,1#303653|26#577,26#9925
101035,35,101,1#312207|26#593,26#10502
101036,36,101,1#320760|26#608,26#11095
101037,37,101,1#339293|26#624,26#11703
101038,38,101,1#348106|26#640,26#12327
101039,39,101,1#356919|26#657,26#12967
101040,40,101,1#365732|26#673,26#13624
101041,41,101,1#374544|26#689,26#14297
101042,42,101,1#394632|26#705,26#14986
101043,43,101,1#403704|26#722,26#15691
101044,44,101,1#412776|26#738,26#16413
101045,45,101,1#421848|26#754,26#17151
101046,46,101,1#430920|26#770,26#17905
101047,47,101,1#452564|26#787,26#18675
101048,48,101,1#461895|26#803,26#19462
101049,49,101,1#471226|26#819,26#20265
101050,50,101,1#480557|26#835,26#21084
101051,51,101,1#489888|26#852,26#21919
101052,52,101,1#513087|26#868,26#22771
101053,53,101,1#522677|26#884,26#23639
101054,54,101,1#532268|26#900,26#24523
101055,55,101,1#541858|26#917,26#25423
101056,56,101,1#551448|26#933,26#26340
101057,57,101,1#576202|26#949,26#27273
101058,58,101,1#586052|26#965,26#28222
101059,59,101,1#595901|26#982,26#29187
101060,60,101,1#605751|26#998,26#30169
101061,61,101,1#631800|26#1013,26#31167
101062,62,101,1#641909|26#1029,26#32180
101063,63,101,1#652018|26#1045,26#33209
101064,64,101,1#662127|26#1062,26#34254
101065,65,101,1#689472|26#1078,26#35316
101066,66,101,1#699840|26#1094,26#36394
101067,67,101,1#710209|26#1110,26#37488
101068,68,101,1#738591|26#1127,26#38598
101069,69,101,1#749218|26#1143,26#39725
101070,70,101,1#759845|26#1159,26#40868
101071,71,101,1#789265|26#1175,26#42027
101072,72,101,1#800151|26#1192,26#43202
101073,73,101,1#811037|26#1208,26#44394
101074,74,101,1#821924|26#1224,26#45602
101075,75,101,1#852639|26#1240,26#46826
101076,76,101,1#863785|26#1257,26#48066
101077,77,101,1#874930|26#1273,26#49323
101078,78,101,1#906682|26#1289,26#50596
101079,79,101,1#918087|26#1305,26#51885
101080,80,101,1#929492|26#1322,26#53190
101081,81,101,1#962281|26#1338,26#54512
101082,82,101,1#973945|26#1354,26#55850
101083,83,101,1#985609|26#1370,26#57204
101084,84,101,1#997273|26#1387,26#58574
101085,85,101,1#1031357|26#1403,26#59961
101086,86,101,1#1043280|26#1418,26#61364
101087,87,101,1#1055204|26#1434,26#62782
101088,88,101,1#1090325|26#1450,26#64216
101089,89,101,1#1102508|26#1467,26#65666
101090,90,101,1#1114690|26#1483,26#67133
101091,91,101,1#1150848|26#1499,26#68616
101092,92,101,1#1163290|26#1515,26#70115
101093,93,101,1#1175732|26#1532,26#71630
101094,94,101,1#1188173|26#1548,26#73162
101095,95,101,1#1225628|26#1564,26#74710
101096,96,101,1#1238328|26#1580,26#76274
101097,97,101,1#1251029|26#1597,26#77854
101098,98,101,1#1289520|26#1613,26#79451
101099,99,101,1#1302480|26#1629,26#81064
101100,100,101,1#1315440|26#1645,26#82693
101101,101,101,1#1354968|26#1662,26#84338
101102,102,101,1#1368188|26#1678,26#86000
101103,103,101,1#1381407|26#1694,26#87678
101104,104,101,1#1394626|26#1710,26#89372
101105,105,101,1#1435450|26#1727,26#91082
101106,106,101,1#1448928|26#1743,26#92809
101107,107,101,1#1462407|26#1759,26#94552
101108,108,101,1#1504268|26#1775,26#96311
101109,109,101,1#1518005|26#1792,26#98086
101110,110,101,1#1531743|26#1808,26#99878
101111,111,101,1#1574640|26#1823,26#101686
101112,112,101,1#1588637|26#1839,26#103509
101113,113,101,1#1602634|26#1855,26#105348
101114,114,101,1#1616631|26#1872,26#107203
101115,115,101,1#1660824|26#1888,26#109075
101116,116,101,1#1675080|26#1904,26#110963
101117,117,101,1#1689336|26#1920,26#112867
101118,118,101,1#1734567|26#1937,26#114787
101119,119,101,1#1749082|26#1953,26#116724
101120,120,101,1#1772082|26#2099,26#118677
