id,name,type,skill,point,icon,is_lock,cost,buff_belong
1,-1,1,400701,2,fangan_07,,0,1
2,-1,1,400801,1,fangan_08,,0,1|2
3,-1,1,401301,1,fangan_13,,0,1|2
4,-1,1,401401,3,fangan_14,,0,1
5,-1,1,401601,2,fangan_16,,0,1
6,-1,1,402601,1,fangan_04,,0,1
7,-1,1,401501,3,fangan_15,,0,1|2
8,-1,1,402801,2,fangan_06,,0,1
9,-1,2,402901|402902,3,fangan_02,1,20,1
10,-1,1,401901,4,fangan_19,,0,1|2
11,-1,2,402501,4,fangan_25,1,20,1|2
12,-1,2,403001,4,fangan_05,1,20,1|2
13,-1,3,402001,5,fangan_20,1,40,1|2
14,-1,3,402301|402302,5,fangan_23,1,40,1|2
15,-1,1,402401,5,fangan_24,,0,1|2
16,-1,2,401801|401802|402701,5,fangan_18,1,20,1|2
17,-1,1,400701,2,fangan_07,,0,2
18,-1,1,401401,3,fangan_14,,0,2
19,-1,2,402201,3,fangan_22,1,20,2
20,-1,1,401201|401202|401203|401204|401205,1,fangan_12,,0,2
21,-1,1,402101,2,fangan_21,,0,2
22,-1,1,401701,2,fangan_17,,0,2
