id,cost,awards,num,limit
1,226#150,29#2,0,3
2,226#450,36#10,0,1
3,226#450,20#3,0,1
4,226#600,940002#50,0,1
5,226#300,36#10,400,3
6,226#1200,940004#50,400,1
7,226#1800,4204001#1,800,2
8,226#1600,227#1,800,2
9,226#500,20#5,1200,3
10,226#1500,940005#50,1200,1
11,226#1500,940006#50,1200,1
12,226#1500,93#1,1600,1
13,226#4000,930201#50,2000,1
14,226#5000,930194#50,3500,1
15,226#5000,930195#50,3500,1
16,226#5000,930197#50,3500,1
17,226#1200,73#25,6000,3
18,226#5000,6707#1,8000,1
19,226#6000,4501002#1,10000,1
20,226#6000,6713#1,12000,1
21,226#6000,940043#50,14000,1
