id,love_point,icon,attribute_bonus
0,0,love_point_icon1,
1,1000,love_point_icon1,atkP#0.005
2,2000,love_point_icon2,atkP#0.005|hpP#0.005
3,3000,love_point_icon2,atkP#0.01|hpP#0.005
4,4000,love_point_icon2,atkP#0.01|hpP#0.01
5,5000,love_point_icon3,atkP#0.015|hpP#0.01
6,6000,love_point_icon3,atkP#0.015|hpP#0.015
7,7000,love_point_icon3,atkP#0.02|hpP#0.015
8,8000,love_point_icon4,atkP#0.02|hpP#0.02
9,9000,love_point_icon4,atkP#0.025|hpP#0.02
10,10000,love_point_icon5,atkP#0.025|hpP#0.025
11,11000,love_point_icon5,atkP#0.03|hpP#0.025
12,12000,love_point_icon5,atkP#0.03|hpP#0.03
13,13000,love_point_icon5,atkP#0.03|hpP#0.03
14,14000,love_point_icon5,atkP#0.03|hpP#0.03
15,15000,love_point_icon5,atkP#0.03|hpP#0.03
