id,item,point,cost,buy_time
1,1#45000,0,315#10,10
2,9#45000,0,315#10,10
3,10#30,0,315#10,10
4,14#30,0,315#10,10
5,260#20,0,315#100,1
6,261#2,0,315#1000,1
7,1#45000,400,315#10,10
8,26#20,400,315#10,10
9,27#5,400,315#20,10
10,216#5,400,315#40,10
11,260#20,400,315#100,1
12,261#2,400,315#1000,1
13,1#45000,2000,315#10,10
14,198#100,2000,315#20,10
15,199#20,2000,315#20,10
16,6000#10,2000,315#100,5
17,260#20,2000,315#100,1
18,261#2,2000,315#1000,1
19,1#45000,4000,315#10,10
20,258#1,4000,315#250,2
21,259#1,4000,315#250,1
22,6000#10,4000,315#100,5
23,260#20,4000,315#100,1
24,261#2,4000,315#1000,1
