id,type,weight,awards,num
1,1,100,73#1,80
2,1,100,170#1,60
3,1,100,29#1,50
4,1,100,25#3,30
5,1,100,940002#10,20
6,1,100,940001#30,20
7,1,100,26#600,15
8,1,100,27#80,15
9,1,100,216#40,15
10,1,100,4#1500,15
11,1,100,34#10,30
12,1,100,14#800,50
13,1,100,10#800,50
14,1,100,1#1000000,99
15,1,100,9#1000000,99
16,2,300,940045#50,1
17,2,300,940046#50,1
18,2,350,930205#50,3
19,2,350,930206#50,3
20,2,550,4501002#1,3
21,2,400,940031#50,2
22,2,400,940032#50,2
23,2,400,940033#50,2
24,2,400,940034#50,2
25,2,350,940035#50,2
26,2,350,940036#50,2
27,2,450,4102018#1,2
28,2,500,4101024#1,4
29,2,500,956001#50,2
30,2,450,956099#50,3
31,2,500,940005#50,4
32,2,500,940006#50,4
33,2,500,940004#50,8
