id,brief,childcell_id
101,-1,10101|10102|10103
102,-1,10201|10202|10203
103,-1,10301|10302|10303
104,-1,10401|10402|10403
105,-1,10501|10502|10503
106,-1,10601|10602|10603
107,-1,10701|10702|10703
108,-1,10801|10802|10803
109,-1,10901|10902|10903
110,-1,11001|11002|11003
111,-1,11101|11102|11103
112,-1,11201|11202|11203
113,-1,11301|11302|11303
114,-1,11401|11402|11403
115,-1,11501|11502|11503
201,-1,20101|20102|20103
202,-1,20201|20202|20203
203,-1,20301|20302|20303
204,-1,20401|20402|20403
205,-1,20501|20502|20503
206,-1,20601|20602|20603
207,-1,20701|20702|20703
208,-1,20801|20802|20803
209,-1,20901|20902|20903
210,-1,21001|21002|21003
211,-1,21101|21102|21103
212,-1,21201|21202|21203
213,-1,21301|21302|21303
214,-1,21401|21402|21403
215,-1,21501|21502|21503
301,-1,30101|30102|30103
302,-1,30201|30202|30203
303,-1,30301|30302|30303
304,-1,30401|30402|30403
305,-1,30501|30502|30503
306,-1,30601|30602|30603
307,-1,30701|30702|30703
308,-1,30801|30802|30803
309,-1,30901|30902|30903
310,-1,31001|31002|31003
311,-1,31101|31102|31103
312,-1,31201|31202|31203
313,-1,31301|31302|31303
314,-1,31401|31402|31403
315,-1,31501|31502|31503
