partner_id,desc,id,point
51006,-1,1,2
651016,-1,2,5
51008,-1,3,2
651017,-1,4,5
51011,-1,5,2
651018,-1,6,5
51012,-1,7,2
651019,-1,8,5
51013,-1,9,2
651020,-1,10,5
51014,-1,11,2
651021,-1,12,5
51015,-1,13,2
651022,-1,14,5
51016,-1,15,2
651023,-1,16,5
52007,-1,17,2
652017,-1,18,5
52011,-1,19,2
652018,-1,20,5
52012,-1,21,2
652019,-1,22,5
52013,-1,23,2
652020,-1,24,5
52014,-1,25,2
652021,-1,26,5
52015,-1,27,2
652022,-1,28,5
52016,-1,29,2
652023,-1,30,5
52017,-1,31,2
652024,-1,32,5
53001,-1,33,2
653016,-1,34,5
53011,-1,35,2
653017,-1,36,5
53007,-1,37,2
653018,-1,38,5
53012,-1,39,2
653019,-1,40,5
53013,-1,41,2
653020,-1,42,5
53014,-1,43,2
653021,-1,44,5
53015,-1,45,2
653022,-1,46,5
53016,-1,47,2
653023,-1,48,5
54008,-1,49,2
654016,-1,50,5
54010,-1,51,2
654017,-1,52,5
54011,-1,53,2
654018,-1,54,5
54012,-1,55,2
654019,-1,56,5
54013,-1,57,2
654020,-1,58,5
54014,-1,59,2
654021,-1,60,5
54015,-1,61,2
654022,-1,62,5
54016,-1,63,2
654023,-1,64,5
55005,-1,65,2
655013,-1,66,5
55003,-1,67,2
655014,-1,68,5
55006,-1,69,2
655015,-1,70,5
55007,-1,71,2
655016,-1,72,5
55008,-1,73,2
655017,-1,74,5
55009,-1,75,2
655018,-1,76,5
55010,-1,77,2
655019,-1,78,5
56003,-1,79,2
656013,-1,80,5
56004,-1,81,2
656014,-1,82,5
56005,-1,83,2
656015,-1,84,5
56006,-1,85,2
656016,-1,86,5
56007,-1,87,2
656017,-1,88,5
56008,-1,89,2
656018,-1,90,5
