id,name,all_level
300101,-1,300101|300102|300103
300102,-1,300101|300102|300103
300103,-1,300101|300102|300103
300201,-1,300201|300202|300203
300202,-1,300201|300202|300203
300203,-1,300201|300202|300203
300301,-1,300301|300302|300303
300302,-1,300301|300302|300303
300303,-1,300301|300302|300303
300401,-1,300401|300402|300403
300402,-1,300401|300402|300403
300403,-1,300401|300402|300403
300501,-1,300501|300502|300503
300502,-1,300501|300502|300503
300503,-1,300501|300502|300503
300601,-1,300601|300602|300603
300602,-1,300601|300602|300603
300603,-1,300601|300602|300603
300701,-1,300701|300702|300703
300702,-1,300701|300702|300703
300703,-1,300701|300702|300703
300801,-1,300801|300802|300803
300802,-1,300801|300802|300803
300803,-1,300801|300802|300803
300901,-1,300901|300902|300903
300902,-1,300901|300902|300903
300903,-1,300901|300902|300903
301001,-1,301001|301002|301003
301002,-1,301001|301002|301003
301003,-1,301001|301002|301003
301101,-1,301101|301102|301103
301102,-1,301101|301102|301103
301103,-1,301101|301102|301103
301201,-1,301201|301202|301203
301202,-1,301201|301202|301203
301203,-1,301201|301202|301203
301301,-1,301301|301302|301303
301302,-1,301301|301302|301303
301303,-1,301301|301302|301303
301401,-1,301401|301402|301403
301402,-1,301401|301402|301403
301403,-1,301401|301402|301403
301501,-1,301501|301502|301503
301502,-1,301501|301502|301503
301503,-1,301501|301502|301503
