id,show_ids,name,group
751001,751001,-1,4
751002,751002,-1,4
751003,751003,-1,3
751004,751004,-1,3
751005,751005,-1,4
751006,751006,-1,2
751007,751007,-1,1
751008,751008,-1,1
751009,751009,-1,1
751010,751010,-1,1
751011,751011,-1,2
751012,751012,-1,3
751013,751013,-1,4
751014,751014,-1,2
751015,751015,-1,3
752001,752001,-1,3
752002,752002,-1,1
752003,752003,-1,2
752004,752004,-1,1
752005,752005,-1,2
752006,752006,-1,4
752007,752007,-1,3
752008,752008,-1,4
752009,752009,-1,4
752010,752010,-1,2
752011,752011,-1,3
752012,752012,-1,2
752013,752013,-1,1
752014,752014,-1,3
752015,752015,-1,4
752016,752016,-1,1
753001,753001,-1,2
753002,753002,-1,3
753003,753003,-1,4
753004,753004,-1,4
753005,753005,-1,2
753006,753006,-1,1
753007,753007,-1,3
753008,753008,-1,4
753009,753009,-1,1
753010,753010,-1,2
753011,753011,-1,1
753012,753012,-1,2
753013,753013,-1,3
753014,753014,-1,4
753015,753015,-1,1
754001,754001,-1,2
754002,754002,-1,2
754003,754003,-1,1
754004,754004,-1,4
754005,754005,-1,3
754006,754006,-1,1
754007,754007,-1,1
754008,754008,-1,3
754009,754009,-1,2
754010,754010,-1,3
754011,754011,-1,2
754012,754012,-1,4
754013,754013,-1,3
754014,754014,-1,1
754015,754015,-1,4
755001,755001,-1,4
755002,755002,-1,3
755003,755003,-1,2
755004,755004,-1,1
755005,755005,-1,2
755006,755006,-1,4
755007,755007,-1,3
755008,755008,-1,1
755009,755009,-1,2
756001,756001,-1,3
756002,756002,-1,4
756003,756003,-1,2
756004,756004,-1,1
756005,756005,-1,3
756006,756006,-1,2
756007,756007,-1,1
756008,756008,-1,4
