id,next,fort_final,name,fort_id,type,point,initial_partner,battle_id,activity_plot_list_id,plot_id,award,unlock_time
1,2,0,1,11,1,,20032|20996|20008|20997|20998|0,1000001,21,#2143#2160,1#10000,0
2,3,0,2,11,2,150,,,22,#2166#2184,9#10000,0
3,4,0,3,11,1,,20055|20046|20042|0|0|20038,1000003,23,#2190#2223,35#1,0
4,5,0,4,11,1,,20032|20032|20032|20032|20032|20032,1000004,24,#2235#2269,10#50,0
5,6,0,5,11,2,200,,,25,#2276#2289,940002#5,0
6,7,0,6,11,1,,20009|20009|20010|0|0|20010,1000006,26,#2293#2315,1#10000,0
7,8,0,7,11,1,,20039|20022|20046|20042|0|20002,1000007,27,#2321#2344,9#10000,0
8,9,0,8,11,3,5,,,28,#2361#2379,35#1,0
9,10,0,9,11,2,250,,,29,#2407#2420,10#50,0
10,11,1,10,11,3,7,,,30,#2433#2442,940002#5,0
11,12,0,1,12,2,300,,,31,#2448#2457,1#10000,0
12,13,0,2,12,3,9,,,32,#2463#2478,9#10000,0
13,14,0,3,12,2,350,,,33,#2482#2511,35#1,0
14,15,0,4,12,1,,20032|20996|20008|20997|0|20998,1000014,34,#2517#2525,10#50,0
15,16,0,5,12,3,11,,,35,#2531#2536,940002#5,0
16,17,0,6,12,1,,20029|20029|20029|0|0|20029,1000016,36,#2565#2574,1#10000,0
17,18,0,7,12,1,,20055|20038|20032|20020|20015|20026,1000017,37,#2584#,9#10000,0
18,19,0,8,12,2,400,,,38,#2610#2618,35#1,0
19,20,0,9,12,1,,20063|20063|20063|20063|20063|20063,1000019,39,#2623#2631,10#50,0
20,21,1,10,12,3,13,,,40,#2636#2673,940002#5,0
21,22,0,1,13,2,450,,,41,#2678#,1#10000,259200
22,23,0,2,13,3,14,,,42,#2693#,9#10000,259200
23,24,0,3,13,1,,20055|20056|20057|20058|20059|20060,1000023,43,#2706#2712,35#1,259200
24,25,0,4,13,2,500,,,44,#2721#2725,10#50,259200
25,26,0,5,13,3,15,,,45,#2731#2739,940002#5,259200
26,27,0,6,13,1,,20063|20063|20063|20063|20063|20063,1000026,46,#2745#,1#10000,259200
27,28,0,7,13,1,,20055|20038|20032|20020|20015|20026,1000027,47,#2763#,9#10000,259200
28,29,0,8,13,2,550,,,48,#2783#2802,35#1,259200
29,30,0,9,13,3,16,,,49,#2805#2818,10#50,259200
30,31,1,10,13,2,600,,,50,#2821#2828,940002#5,259200
31,32,0,1,14,1,,20009|20010|20009|0|0|20010,1000031,51,#2854#2867,1#10000,259200
32,33,0,2,14,3,17,,,52,#2881#2887,9#10000,259200
33,34,0,3,14,1,,20055|20058|20035|20050|20051|20061,1000033,53,#2893#2897,35#1,259200
34,35,0,4,14,1,,20063|20063|20063|20063|20063|20063,1000034,54,#2912#,10#50,259200
35,36,0,5,14,2,650,,,55,#2919#2925,940002#5,259200
36,37,0,6,14,1,,20055|20055|20038|0|0|20038,1000036,56,#2935#2946,1#10000,259200
37,38,0,7,14,3,18,,,57,#2955#2961,9#10000,259200
38,39,0,8,14,2,700,,,58,#2970#,35#1,259200
39,40,0,9,14,3,19,,,59,#2981#2992,10#50,259200
40,41,1,10,14,2,750,,,60,#2998#,940002#5,259200
41,42,0,1,15,3,20,,,61,#3007#,1#10000,518400
42,43,0,2,15,2,800,,,62,#3018#3023,9#10000,518400
43,44,0,3,15,3,21,,,63,#3032#,35#1,518400
44,45,0,4,15,1,,20063|20063|20063|20063|20063|20063,1000044,64,#3046#3051,10#50,518400
45,46,0,5,15,2,850,,,65,#3061#3065,940002#5,518400
46,47,0,6,15,1,,20047|20047|20047|20047|20047|20047,1000046,66,#3076#3080,1#10000,518400
47,48,0,7,15,1,,20055|20038|20032|20020|20015|20026,1000047,67,#3088#,9#10000,518400
48,49,0,8,15,3,22,,,68,#3106#,35#1,518400
49,50,0,9,15,1,,20055|20063|20038|20055|20063|20038,1000049,69,#3121#3126,10#50,518400
50,51,1,10,15,2,900,,,70,#3131#3133,940002#5,518400
51,52,0,1,16,1,,20046|20046|20046|20046|20046|20046,1000051,71,#3145#3149,29#1,518400
52,53,0,2,16,3,23,,,72,#3162#3180,20#1,518400
53,54,0,3,16,2,950,,,73,#3194#,29#1,518400
54,55,0,4,16,3,24,,,74,#3209#3218,20#1,518400
55,56,0,5,16,2,1000,,,75,#3225#,29#1,518400
56,57,0,6,16,1,,20055|20038|20032|20020|20015|20026,1000056,76,#3239#3249,20#1,518400
57,58,0,7,16,3,25,,,77,#3260#3269,29#1,518400
58,59,0,8,16,2,1100,,,78,#3273#3289,20#1,518400
59,60,0,9,16,1,,20055|20038|20032|20020|20015|20026,1000059,79,#3303#3315,29#1,518400
60,-1,1,10,16,2,1200,,,80,#3334#3348,20#1,518400
