id,type,stage_belong,offsetX,offsetY
1,1,0,373,1043
2,0,2,340,1117
3,0,2,292,1125
4,0,2,248,1110
5,2,2,193,1015
6,0,3,154,1072
7,0,3,110,1043
8,0,3,102,996
9,3,3,78,878
10,0,4,86,851
11,0,4,74,806
12,4,4,60,690
13,0,5,142,778
14,0,5,169,806
15,0,5,159,849
16,0,5,177,886
17,5,5,202,845
18,0,6,279,939
19,0,6,317,967
20,0,6,369,965
21,6,6,406,900
22,0,7,481,958
23,0,7,520,939
24,0,7,543,914
25,7,7,568,823
26,0,8,633,855
27,0,8,651,816
28,0,8,637,771
29,8,8,589,661
30,0,9,578,764
31,0,9,544,792
32,0,9,493,795
33,9,9,407,719
34,0,10,360,792
35,0,10,322,771
36,10,10,255,680
37,0,11,212,732
38,0,11,171,702
39,0,11,154,658
40,11,11,142,546
41,0,12,222,612
42,0,12,268,604
43,0,12,307,582
44,12,12,334,499
45,0,13,313,539
46,0,13,280,507
47,0,13,270,466
48,13,13,257,354
49,0,14,345,412
50,0,14,389,386
51,14,14,407,280
52,0,15,372,308
53,0,15,345,267
54,15,15,304,98
