id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
8410,652009,,-1,310,6,845331,70225,15.3,9.36,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8411,652001,,-1,310,6,972271,58547,17.21,7.98,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8412,653004,,-1,310,6,845419,73172,14.38,9.13,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8413,651008,,-1,310,6,1014649,76105,13.98,11.4,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8414,652003,,-1,310,6,765666,65004,18.84,7.69,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8415,653005,,-1,310,6,1033749,65068,17.56,8.68,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8416,651001,,-1,310,6,880852,87785,16.29,8.22,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8417,651006,,-1,310,6,957452,84586,16.29,8.68,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8418,651009,,-1,310,6,753464,87795,14.42,9.76,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8419,651011,,-1,310,6,890157,81304,15.66,7.97,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8420,653004,,-1,310,6,845419,73172,14.38,9.13,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8421,652003,,-1,310,6,765666,65004,18.84,7.69,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8422,653004,,-1,310,6,845419,73172,14.38,9.13,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8423,651015,,-1,310,6,913752,78166,14.8,8.45,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8424,651011,,-1,310,6,890157,81304,15.66,7.97,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8425,652008,,-1,310,6,985417,78154,19.55,7.84,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8426,651003,,-1,310,6,874146,76281,16.01,8.91,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8427,651015,,-1,310,6,913752,78166,14.8,8.45,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8428,656011,,-1,310,6,1168999,59103,12.1505,6.588,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8429,651007,,-1,310,6,1436802,45044,16.53,10.46,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8430,652007,,-1,310,6,1033237,62519,19.45,8.34,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8431,653002,,-1,310,6,880499,87820,16.35,9.27,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8432,651009,,-1,310,6,995388,78080,19.05,8.68,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8433,653006,,-1,310,6,988134,72041,12.76,8.92,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8434,651004,,-1,310,6,845059,76110,13.62,9.27,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8435,651003,,-1,310,6,874146,76281,16.01,8.91,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8436,651001,,-1,310,6,947362,81057,17.52,7.59,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8437,653005,,-1,310,6,1033749,65068,17.56,8.68,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8438,653003,,-1,310,6,1458693,45027,18.3,7.93,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8439,656011,,-1,310,6,1168999,59103,12.1505,6.588,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8440,654013,,-1,310,6,946178,52513,14.95,8.71,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8441,653005,,-1,310,6,1033749,65068,17.56,8.68,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8442,652001,,-1,310,6,972271,58547,17.21,7.98,1,1,,700,800,0,0,0,0,300,0,0,,310,,,,,
8443,653011,,-1,320,6,1817373,123044,34.46,17.71,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8444,651011,,-1,320,6,1722389,157182,29.38,14.94,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8445,651015,,-1,320,6,1929380,164485,30.3,17.24,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8446,654013,,-1,320,6,2041092,108312,31.27,17.42,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8447,656011,,-1,320,6,2520635,121913,25.403,13.176,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8448,652008,,-1,320,6,1907329,151129,36.69,14.7,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8449,653005,,-1,320,6,2208204,135453,36.37,17.52,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8450,653006,,-1,320,6,1912022,139277,23.94,16.72,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8451,652004,,-1,320,6,2449144,151628,36.97,16.06,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8452,652005,,-1,320,6,2780154,87059,31.57,17.88,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8453,652001,,-1,320,6,1880808,113199,32.28,14.96,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8454,651004,,-1,320,6,1635596,147092,25.56,17.37,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
8455,651007,,-1,320,6,2780802,87050,31.02,19.6,1,1,,700,800,0,0,0,0,300,0,0,,320,,,,,
