id,brief,plot_id,options_id,memory_options_id,section_icon,decision_icon
10101,-1,101101,10111|10112|10113,10113,date_memory_jiedao,date_qa_icon_3
10102,-1,101201,10121|10122|10123,10121,date_memory_jiedao,date_qa_icon_3
10103,-1,101301,10131|10132|10133,10133,date_memory_jiedao,date_qa_icon_3
10201,-1,102101,10211|10212|10213,10211,date_memory_jiedao,date_qa_icon_3
10202,-1,102201,10221|10222|10223,10222,date_memory_jiedao,date_qa_icon_3
10203,-1,102301,10231|10232|10233,10231,date_memory_jiedao,date_qa_icon_3
10301,-1,103101,10311|10312|10313,10311,date_memory_jiedao,date_qa_icon_3
10302,-1,103201,10321|10322|10323,10321,date_memory_jiedao,date_qa_icon_3
10303,-1,103301,10331|10332|10333,10331,date_memory_jiedao,date_qa_icon_3
10401,-1,104101,10411|10412|10413,10411,date_memory_jiedao,date_qa_icon_3
10402,-1,104201,10421|10422|10423,10423,date_memory_jiedao,date_qa_icon_3
10403,-1,104301,10431|10432|10433,10433,date_memory_jiedao,date_qa_icon_3
10501,-1,105101,10511|10512|10513,10512,date_memory_jiedao,date_qa_icon_3
10502,-1,105201,10521|10522|10523,10521,date_memory_jiedao,date_qa_icon_3
10503,-1,105301,10531|10532|10533,10531,date_memory_jiedao,date_qa_icon_3
10601,-1,106101,10611|10612|10613,10613,date_memory_yeshi,date_qa_icon_3
10602,-1,106201,10621|10622|10623,10623,date_memory_yeshi,date_qa_icon_3
10603,-1,106301,10631|10632|10633,10631,date_memory_yeshi,date_qa_icon_3
10701,-1,107101,10711|10712|10713,10713,date_memory_yeshi,date_qa_icon_3
10702,-1,107201,10721|10722|10723,10723,date_memory_yeshi,date_qa_icon_3
10703,-1,107301,10731|10732|10733,10733,date_memory_yeshi,date_qa_icon_3
10801,-1,108101,10811|10812|10813,10811,date_memory_yeshi,date_qa_icon_3
10802,-1,108201,10821|10822|10823,10823,date_memory_yeshi,date_qa_icon_3
10803,-1,108301,10831|10832|10833,10833,date_memory_yeshi,date_qa_icon_3
10901,-1,109101,10911|10912|10913,10913,date_memory_yeshi,date_qa_icon_3
10902,-1,109201,10921|10922|10923,10921,date_memory_yeshi,date_qa_icon_3
10903,-1,109301,10931|10932|10933,10931,date_memory_yeshi,date_qa_icon_3
11001,-1,110101,11011|11012|11013,11013,date_memory_yeshi,date_qa_icon_3
11002,-1,110201,11021|11022|11023,11023,date_memory_yeshi,date_qa_icon_3
11003,-1,110301,11031|11032|11033,11031,date_memory_yeshi,date_qa_icon_3
11101,-1,111101,11111|11112|11113,11113,date_memory_juyuan,date_qa_icon_3
11102,-1,111201,11121|11122|11123,11122,date_memory_juyuan,date_qa_icon_3
11103,-1,111301,11131|11132|11133,11132,date_memory_juyuan,date_qa_icon_3
11201,-1,112101,11211|11212|11213,11213,date_memory_juyuan,date_qa_icon_3
11202,-1,112201,11221|11222|11223,11221,date_memory_juyuan,date_qa_icon_3
11203,-1,112301,11231|11232|11233,11231,date_memory_juyuan,date_qa_icon_3
11301,-1,113101,11311|11312|11313,11312,date_memory_juyuan,date_qa_icon_3
11302,-1,113201,11321|11322|11323,11321,date_memory_juyuan,date_qa_icon_3
11303,-1,113301,11331|11332|11333,11333,date_memory_juyuan,date_qa_icon_3
11401,-1,114101,11411|11412|11413,11411,date_memory_juyuan,date_qa_icon_3
11402,-1,114201,11421|11422|11423,11423,date_memory_juyuan,date_qa_icon_3
11403,-1,114301,11431|11432|11433,11433,date_memory_juyuan,date_qa_icon_3
11501,-1,115101,11511|11512|11513,11512,date_memory_juyuan,date_qa_icon_3
11502,-1,115201,11521|11522|11523,11523,date_memory_juyuan,date_qa_icon_3
11503,-1,115301,11531|11532|11533,11533,date_memory_juyuan,date_qa_icon_3
20101,-1,201101,20111|20112|20113,20113,date_memory_youleyuan,date_qa_icon_2
20102,-1,201201,20121|20122|20123,20122,date_memory_youleyuan,date_qa_icon_2
20103,-1,201301,20131|20132|20133,20131,date_memory_youleyuan,date_qa_icon_2
20201,-1,202101,20211|20212|20213,20213,date_memory_youleyuan,date_qa_icon_2
20202,-1,202201,20221|20222|20223,20223,date_memory_youleyuan,date_qa_icon_2
20203,-1,202301,20231|20232|20233,20232,date_memory_youleyuan,date_qa_icon_2
20301,-1,203101,20311|20312|20313,20313,date_memory_youleyuan,date_qa_icon_2
20302,-1,203201,20321|20322|20323,20323,date_memory_youleyuan,date_qa_icon_2
20303,-1,203301,20331|20332|20333,20333,date_memory_youleyuan,date_qa_icon_2
20401,-1,204101,20411|20412|20413,20412,date_memory_youleyuan,date_qa_icon_2
20402,-1,204201,20421|20422|20423,20423,date_memory_youleyuan,date_qa_icon_2
20403,-1,204301,20431|20432|20433,20433,date_memory_youleyuan,date_qa_icon_2
20501,-1,205101,20511|20512|20513,20512,date_memory_youleyuan,date_qa_icon_2
20502,-1,205201,20521|20522|20523,20523,date_memory_youleyuan,date_qa_icon_2
20503,-1,205301,20531|20532|20533,20532,date_memory_youleyuan,date_qa_icon_2
20601,-1,206101,20611|20612|20613,20611,date_memory_jiedao,date_qa_icon_2
20602,-1,206201,20621|20622|20623,20623,date_memory_jiedao,date_qa_icon_2
20603,-1,206301,20631|20632|20633,20631,date_memory_jiedao,date_qa_icon_2
20701,-1,207101,20711|20712|20713,20711,date_memory_jiedao,date_qa_icon_2
20702,-1,207201,20721|20722|20723,20721,date_memory_jiedao,date_qa_icon_2
