id,host_1,id_text,host_trial,host_arena,host_team,host_32,host_guild_war,host_chat,server_name,host_mix,host_old_building,host_music,host_nsshaft,host_52,host_all_server_arena,host_partner_warm,host_partner_data_station,host_all_server,host_fair_arena,host_mix_show
1,1,T1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
2,1,T2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
3,3,S1,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
4,3,S2,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
5,3,S3,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
6,3,S4,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
7,3,S5,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
8,3,S6,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
9,3,S7,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
10,3,S8,3,3,3,3,3,3,-1,3,3,3,3,1,3,3,3,3,3,3
11,11,S9,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
12,11,S10,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
13,11,S11,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
14,11,S12,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
15,11,S13,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
16,11,S14,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
17,11,S15,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
18,11,S16,11,11,11,11,11,11,-1,11,3,3,3,1,3,3,3,3,3,11
19,19,S17,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
20,19,S18,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
21,19,S19,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
22,19,S20,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
23,19,S21,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
24,19,S22,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
25,19,S23,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
26,19,S24,19,19,19,19,19,19,-1,19,19,3,3,1,3,3,3,3,3,19
27,27,S25,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
28,27,S26,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
29,27,S27,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
30,27,S28,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
31,27,S29,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
32,27,S30,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
33,27,S31,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
34,27,S32,27,27,27,27,27,27,-1,27,19,3,3,1,3,3,3,3,3,27
35,35,S33,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
36,35,S34,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
37,35,S35,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
38,35,S36,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
39,35,S37,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
40,35,S38,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
41,35,S39,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
42,35,S40,35,35,35,35,35,35,-1,35,35,3,3,1,3,3,3,3,3,35
43,43,S41,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
44,43,S42,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
45,43,S43,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
46,43,S44,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
47,43,S45,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
48,43,S46,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
49,43,S47,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
50,43,S48,43,43,43,43,43,43,-1,43,35,3,3,1,3,3,3,3,3,43
51,51,S49,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
52,51,S50,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
53,51,S51,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
54,51,S52,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
55,51,S53,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
56,51,S54,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
57,51,S55,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
58,51,S56,51,51,51,51,51,51,,51,51,3,3,1,3,3,3,3,3,51
59,59,S57,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
60,59,S58,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
61,59,S59,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
62,59,S60,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
63,59,S61,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
64,59,S62,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
65,59,S63,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
66,59,S64,59,59,59,59,59,59,,59,51,3,3,1,3,3,3,3,3,59
67,67,S65,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
68,67,S66,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
69,67,S67,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
70,67,S68,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
71,67,S69,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
72,67,S70,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
73,67,S71,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
74,67,S72,67,67,67,67,67,67,,67,67,3,3,1,3,3,3,3,3,67
75,75,S73,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
76,75,S74,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
77,75,S75,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
78,75,S76,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
79,75,S77,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
80,75,S78,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
81,75,S79,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
82,75,S80,75,75,75,75,75,75,,75,67,3,3,1,3,3,3,3,3,75
83,83,S81,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
84,83,S82,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
85,83,S83,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
