id,type,item,desc,cost,buy_time,shelf
1,1,940002#50,-1,221#400,1,
2,1,20#1,-1,221#100,4,
3,1,73#1,-1,221#60,15,
4,1,29#1,-1,221#50,5,
5,1,36#1,-1,221#35,10,
6,1,75#5,-1,221#20,5,
7,1,6000#100,-1,221#20,10,
8,2,4303001#1,-1,222#10,1,
9,2,4101041#1,-1,222#10,1,
10,2,93#1,-1,222#8,1,
11,2,930210#50,-1,222#10,1,1645142399
12,2,930194#50,-1,222#12,1,1647561599
13,2,930208#50,-1,222#10,1,1651190399
14,2,940006#50,-1,222#8,1,
15,2,940005#50,-1,222#8,1,
16,2,940004#50,-1,222#6,1,
17,2,222#1,-1,120#1,99,
18,1,1#8000,-1,221#1,999,
