id,item,cost,desc,shop_new
1,940015#10,16#240,-1,1
2,940016#10,16#240,-1,1
3,940025#10,16#80,-1,0
4,940026#10,16#80,-1,0
5,940014#10,16#180,-1,0
6,940011#10,16#180,-1,0
7,940012#10,16#180,-1,0
8,940013#10,16#180,-1,0
9,940002#10,16#175,-1,0
10,20#1,16#200,-1,0
11,19#10,16#20,-1,0
12,6000#10,16#50,-1,1
13,8006#1,16#4000,-1,1
14,8008#1,16#4000,-1,1
15,8009#1,16#4000,-1,1
16,8010#1,16#4000,-1,1
17,8011#1,16#4000,-1,1
18,8021#1,16#4000,-1,1
19,1007#1,16#2000,-1,1
20,1008#1,16#2000,-1,1
21,1009#1,16#2000,-1,1
22,1010#1,16#2000,-1,1
23,1013#1,16#2000,-1,1
24,1014#1,16#2000,-1,1
25,1018#1,16#2000,-1,1
26,1019#1,16#2000,-1,1
27,1020#1,16#2000,-1,1
28,1023#1,16#2000,-1,1
29,1024#1,16#2000,-1,1
30,1025#1,16#2000,-1,1
31,1026#1,16#2000,-1,1
