id,name,avatar_id,decision_id,hp
1,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457093
2,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454825
3,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454965
4,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457758
5,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454861
6,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455861
7,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455042
8,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456065
9,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454370
10,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456187
11,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455469
12,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457788
13,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456019
14,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455021
15,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457013
16,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456427
17,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457045
18,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454426
19,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456439
20,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457013
21,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456763
22,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456236
23,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457810
24,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455445
25,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456925
26,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454126
27,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454901
28,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454583
29,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455277
30,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454839
31,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455425
32,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455533
33,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456070
34,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454526
35,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455427
36,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457918
37,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456615
38,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455984
39,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455063
40,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456772
41,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456864
42,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455263
43,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454281
