id,day_limit,type,text_type,data_type,label,mission_detail,complete_show,complete_value,award,award2,func_id,go_window,go_params
1,1,1,1,1,1,-1,1,1,2#50|10#20,1,,,
2,1,2,2,2,1,-1,10000,10000,35#2|1042#1,1,,slot_window,
3,1,3,3,1,1,-1,350,350,2#200|36#3,1,,vip_window,
4,1,4,4,2,2,-1,1|1,1,1#50000|10#50,1,,campaign_window,
5,1,4,4,2,2,-1,1|2,2,9#150000|10#100,1,,campaign_window,
6,1,4,4,2,2,-1,1|3,3,1#150000|10#200,1,,campaign_window,
7,1,4,4,2,2,-1,1|4,4,1#250000|10#300,1,,campaign_window,
8,1,4,4,2,2,-1,1|6,6,1#250000|10#400,1,,campaign_window,
9,1,4,4,2,2,-1,1|8,8,1#250000|10#500,1,,campaign_window,
10,1,5,5,1,3,-1,10,10,1#100000|9#30000,1,,summon_window,
11,1,5,5,1,3,-1,20,20,1#150000|9#100000,1,,summon_window,
12,1,5,5,1,3,-1,40,40,1#250000|9#250000,1,,summon_window,
13,1,5,5,1,3,-1,60,60,1#400000|9#400000,1,,summon_window,
14,1,5,5,1,3,-1,80,80,1#500000|9#500000,1,,summon_window,
15,1,5,5,1,3,-1,100,100,1#600000|9#600000,1,,summon_window,
16,2,1,1,1,1,-1,1,1,2#50|1#100000,1,,,
17,2,2,2,2,1,-1,20000,20000,14#300|6001#1,1,,slot_window,
18,2,3,3,1,1,-1,700,700,2#350|940001#120,1,,vip_window,
19,2,6,6,2,2,-1,20,20,9#25000|34#2,1,15,tower_window,
20,2,6,6,2,2,-1,40,40,9#50000|10#100,1,15,tower_window,
21,2,6,6,2,2,-1,60,60,9#100000|1#250000,1,15,tower_window,
22,2,6,6,2,2,-1,80,80,9#150000|34#4,1,15,tower_window,
23,2,6,6,2,2,-1,100,100,9#250000|10#200,1,15,tower_window,
24,2,6,6,2,2,-1,120,120,9#400000|930117#50,1,15,tower_window,
25,2,7,7,2,3,-1,10,10,1#25000|34#2,1,,campaign_window,
26,2,7,7,2,3,-1,20,20,1#50000|10#100,1,,campaign_window,
27,2,7,7,2,3,-1,30,30,1#75000|9#75000,1,,campaign_window,
28,2,7,7,2,3,-1,40,40,1#100000|34#4,1,,campaign_window,
29,2,7,7,2,3,-1,50,50,1#150000|10#300,1,,campaign_window,
30,2,7,7,2,3,-1,60,60,1#200000|2#200,1,,campaign_window,
31,3,1,1,1,1,-1,1,1,2#50|2051#1,1,,,
32,3,2,2,2,1,-1,30000,30000,43#10|1#100000,1,,slot_window,
33,3,3,3,1,1,-1,1400,1400,2#700|940002#50,1,,vip_window,
34,3,8,8,1,2,-1,2,2,1#25000|9#50000,1,,market_window,{'shopType':7}
35,3,8,8,1,2,-1,4,4,1#50000|9#150000,1,,market_window,{'shopType':7}
36,3,8,8,1,2,-1,6,6,1#75000|10#150,1,,market_window,{'shopType':7}
37,3,8,8,1,2,-1,8,8,1#100000|9#250000,1,,market_window,{'shopType':7}
38,3,8,8,1,2,-1,10,10,1#150000|9#400000,1,,market_window,{'shopType':7}
39,3,8,8,1,2,-1,12,12,1#250000|9#600000,1,,market_window,{'shopType':7}
40,3,9,9,1,3,-1,50,50,1#25000|34#2,1,,dates_list_window|dates_window,{'enterType':1}
41,3,9,9,1,3,-1,100,100,1#50000|9#50000,1,,dates_list_window|dates_window,{'enterType':1}
42,3,9,9,1,3,-1,200,200,1#100000|2#100,1,,dates_list_window|dates_window,{'enterType':1}
43,3,10,10,2,3,-1,10,1000,1#25000|34#2,1,,dates_list_window|dates_window,{'enterType':1}
44,3,10,10,2,3,-1,20,2000,1#50000|9#50000,1,,dates_list_window|dates_window,{'enterType':1}
45,3,10,10,2,3,-1,40,4000,1#100000|2#100,1,,dates_list_window|dates_window,{'enterType':1}
46,4,1,1,1,1,-1,1,1,2#50|1051#1,1,,,
47,4,2,2,2,1,-1,40000,40000,116#1|34#5,1,,slot_window,
48,4,3,3,1,1,-1,3500,3500,2#1750|940004#50,1,,vip_window,
49,4,11,11,1,2,-1,10,10,9#25000|34#3,1,14,arena_window,
50,4,11,11,1,2,-1,20,20,9#50000|16#30,1,14,arena_window,
51,4,11,11,1,2,-1,30,30,9#100000|16#50,1,14,arena_window,
52,4,11,11,1,2,-1,40,40,9#150000|16#70,1,14,arena_window,
53,4,11,11,1,2,-1,50,50,9#300000|16#90,1,14,arena_window,
54,4,11,11,1,2,-1,60,60,9#500000|16#120,1,14,arena_window,
55,4,12,12,1,3,-1,1,1,1#25000|4#300,1,22,guild_join_window,
56,4,13,13,1,3,-1,3,3,1#100000|4#400,1,22,guild_territory_window,
57,4,13,13,1,3,-1,6,6,1#200000|4#500,1,22,guild_territory_window,
58,4,13,13,1,3,-1,9,9,1#300000|4#600,1,22,guild_territory_window,
59,4,13,13,1,3,-1,12,12,1#500000|4#900,1,22,guild_territory_window,
60,4,13,13,1,3,-1,14,14,1#700000|4#1200,1,22,guild_territory_window,
61,5,1,1,1,1,-1,1,1,2#50|10#50,1,,,
62,5,2,2,2,1,-1,50000,50000,35#3|4051#1,1,,slot_window,
