id,name,brief,desc,name1,type,type_config,qlt,group,is_economy,stack_limit,level,icon,light_effect,gift_id,is_auto_open,equip,pub_scroll_type,partner_cost,treasure_cost,get_ways,go_window,getway_item,dropbox_show,is_sell,sell_price,summon_id,show_in_bag,show_bag_type,filter_type,show_in_forge,skin_id,collection_id,para,avatar_frame_effect,effect_mask,dress_id
6542,-1,-1,,-1,11,1003,6,,0,,1,artfact_98,,,,,,,,,,,,,1#900000,,1,4,,,,26050,,,,
6543,-1,-1,,-1,11,1003,6,,0,,1,artfact_98,,,,,,,,,,,,,1#1000000,,1,4,,,,26050,,,,
6544,-1,-1,,-1,11,1003,6,,0,,1,artfact_98,,,,,,,,,,,,,1#1100000,,1,4,,,,26050,,,,
6545,-1,-1,,-1,11,1003,6,,0,,1,artfact_94,,,,,,,,,,,,,1#600000,,1,4,,,,26051,,,,
6546,-1,-1,,-1,11,1003,6,,0,,1,artfact_94,,,,,,,,,,,,,1#700000,,1,4,,,,26051,,,,
6547,-1,-1,,-1,11,1003,6,,0,,1,artfact_94,,,,,,,,,,,,,1#800000,,1,4,,,,26051,,,,
6548,-1,-1,,-1,11,1003,6,,0,,1,artfact_94,,,,,,,,,,,,,1#900000,,1,4,,,,26051,,,,
6549,-1,-1,,-1,11,1003,6,,0,,1,artfact_94,,,,,,,,,,,,,1#1000000,,1,4,,,,26051,,,,
6550,-1,-1,,-1,11,1003,6,,0,,1,artfact_94,,,,,,,,,,,,,1#1100000,,1,4,,,,26051,,,,
6551,-1,-1,,-1,11,1003,6,,0,,1,artfact_97,,,,,,,,,,,,,1#600000,,1,4,,,,26052,,,,
6552,-1,-1,,-1,11,1003,6,,0,,1,artfact_97,,,,,,,,,,,,,1#700000,,1,4,,,,26052,,,,
6553,-1,-1,,-1,11,1003,6,,0,,1,artfact_97,,,,,,,,,,,,,1#800000,,1,4,,,,26052,,,,
6554,-1,-1,,-1,11,1003,6,,0,,1,artfact_97,,,,,,,,,,,,,1#900000,,1,4,,,,26052,,,,
6555,-1,-1,,-1,11,1003,6,,0,,1,artfact_97,,,,,,,,,,,,,1#1000000,,1,4,,,,26052,,,,
6556,-1,-1,,-1,11,1003,6,,0,,1,artfact_97,,,,,,,,,,,,,1#1100000,,1,4,,,,26052,,,,
6557,-1,-1,,-1,11,1003,6,,0,,1,artfact_96,,,,,,,,,,,,,1#600000,,1,4,,,,26053,,,,
6558,-1,-1,,-1,11,1003,6,,0,,1,artfact_96,,,,,,,,,,,,,1#700000,,1,4,,,,26053,,,,
6559,-1,-1,,-1,11,1003,6,,0,,1,artfact_96,,,,,,,,,,,,,1#800000,,1,4,,,,26053,,,,
6560,-1,-1,,-1,11,1003,6,,0,,1,artfact_96,,,,,,,,,,,,,1#900000,,1,4,,,,26053,,,,
