id,type,mission_des,complete_value,award,award2,complete_value_new,award_new,award2_new,coefficient,lv_limit,go_window,go_params,rank,bp_limit,function_id
1,1,-1,1,35#1,117#6,1,35#1,117#8,0,0,midas_window,,1,0,
2,1,-1,2,2#20,117#5,2,2#20,117#7,0,14,gamble_window,type:1,3,0,11
3,1,-1,2,1#8000,117#5,2,1#8000,117#7,500,28,tavern_window,,4,0,17
5,1,-1,1,9#2000,117#5,1,9#2000,117#7,300,0,summon_window,labelIndex:1,6,0,10
6,1,-1,1,9#2000,117#8,1,9#2000,117#10,300,0,summon_window,labelIndex:1,7,0,10
7,1,-1,3,34#2,117#9,3,34#2,117#11,0,18,arena_window,,8,0,14
8,1,-1,5,2#20,117#5,5,2#20,117#7,0,0,campaign_window,,9,0,
9,1,-1,2,2#20,117#6,2,2#20,117#8,0,20,daily_quiz_window,,10,0,29
10,1,-1,5,35#1,117#5,5,35#1,117#7,0,0,friend_window,,2,0,
11,1,-1,10,2#100,117#10,10,2#100,117#13,0,-1,,,-1,0,
12,2,-1,15,,117#60,15,,117#80,0,0,arena_window,,1,0,14
13,2,-1,10,,117#50,10,,117#65,0,0,shenxue_window,,2,0,9
14,2,-1,2,,117#40,2,,117#50,0,0,trial_enter_window,,3,0,18
15,2,-1,1,,117#40,1,,117#50,0,0,friend_window,curSelect_:4,4,0,38
16,2,-1,3,,117#50,3,,117#65,0,0,tavern_window,,5,0,17
17,2,-1,10,,117#40,10,,117#50,0,0,house_window,,6,0,
18,2,-1,7,,117#70,7,,117#95,0,0,battle_pass_window,tag:1,8,0,
19,3,-1,1,,117#350,1,,117#390,0,0,slot_window,,1,0,
20,3,-1,3,,117#150,3,,117#165,0,0,skin_detail_buy_window,,2,9,
21,3,-1,10,,117#150,10,,117#165,0,0,slot_window,,3,4,3
22,3,-1,5,,117#150,4,,117#165,0,0,tavern_window,,4,4,17
23,3,-1,150,,117#150,120,,117#165,0,0,arena_window,,5,0,14
24,3,-1,30,,117#90,25,,117#100,0,0,prophet_window,,6,9,16
25,2,-1,15,,117#40,15,,117#50,0,0,smithy_window,,7,0,3
26,1,-1,1,1#8000,117#6,1,1#8000,117#8,500,0,house_window,,11,0,
