id,next_id,card_num,point,skill,img
10001,10002,1,100,,time_cloister_crystal_card_1_1
10002,10003,2,100,,time_cloister_crystal_card_1_1
10003,10004,2,100,,time_cloister_crystal_card_1_1
10004,10005,3,100,,time_cloister_crystal_card_1_1
10005,10006,3,100,,time_cloister_crystal_card_1_1
10006,10007,4,100,,time_cloister_crystal_card_1_1
10007,10008,4,100,,time_cloister_crystal_card_1_1
10008,10009,5,100,,time_cloister_crystal_card_1_1
10009,10010,5,100,,time_cloister_crystal_card_1_1
10010,10011,6,100,,time_cloister_crystal_card_1_1
10011,10012,6,100,,time_cloister_crystal_card_1_1
10012,10013,7,100,,time_cloister_crystal_card_1_1
10013,10014,7,100,,time_cloister_crystal_card_1_1
10014,10015,8,100,,time_cloister_crystal_card_1_1
10015,10016,8,100,,time_cloister_crystal_card_1_1
10016,10017,9,100,,time_cloister_crystal_card_1_1
10017,10018,9,100,,time_cloister_crystal_card_1_1
10018,10019,10,100,,time_cloister_crystal_card_1_1
10019,10020,10,100,,time_cloister_crystal_card_1_1
10020,-1,10,100,,time_cloister_crystal_card_1_1
20001,20002,1,100,,time_cloister_crystal_card_1_2
20002,20003,2,100,,time_cloister_crystal_card_1_2
20003,20004,2,100,,time_cloister_crystal_card_1_2
20004,20005,3,100,,time_cloister_crystal_card_1_2
20005,20006,3,100,,time_cloister_crystal_card_1_2
20006,20007,4,100,,time_cloister_crystal_card_1_2
20007,20008,4,100,,time_cloister_crystal_card_1_2
20008,20009,5,100,,time_cloister_crystal_card_1_2
20009,20010,5,100,,time_cloister_crystal_card_1_2
20010,20011,6,100,,time_cloister_crystal_card_1_2
20011,20012,6,100,,time_cloister_crystal_card_1_2
20012,20013,7,100,,time_cloister_crystal_card_1_2
20013,20014,7,100,,time_cloister_crystal_card_1_2
20014,20015,8,100,,time_cloister_crystal_card_1_2
20015,20016,8,100,,time_cloister_crystal_card_1_2
20016,20017,9,100,,time_cloister_crystal_card_1_2
20017,20018,9,100,,time_cloister_crystal_card_1_2
