id,name,num,awards1,awards2,awards3
1700101,-1,2,1#2000000|9#2000000|10#1500|14#1500,940011#50|940012#50|940013#50|940014#50,
1700201,-1,2,29#8|36#15|20#4,940015#50|940016#50|940004#50,
1700301,-1,3,1#12000000|9#12000000|10#9000|14#9000,29#18|36#30|20#9,940011#50|940012#50|940013#50|940014#50
1700401,-1,2,29#36|36#60|20#18,244#1|956001#50|93#2,
1700501,-1,3,29#48|36#80|20#24,26#16000|27#2000|10#27000|14#27000,940011#150|940012#150|940013#150|940014#150
1700601,-1,3,29#48|36#80|20#24,26#6000|27#750|10#10000|14#10000,940031#50|940032#50|940033#50|940034#50
1700701,-1,3,29#60|36#100|20#30,1#40000000|9#40000000|10#30000|14#30000,26#30000|27#3750|216#1850
1700801,-1,2,29#84|36#140|20#42,940036#100|940035#100,
1700901,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1701001,-1,3,29#100|36#166|20#50,26#30000|27#3750|198#75000,216#2000|199#16000
1701101,-1,3,29#100|36#166|20#50,26#30000|27#3750|198#75000,216#2000|199#16000
1701201,-1,3,29#100|36#166|20#50,26#30000|27#3750|198#75000,216#2000|199#16000
1701301,-1,2,29#6|36#10|20#3,1#2500000|9#2500000|10#2000|14#2000,
1701401,-1,2,29#12|36#20|20#6,940011#50|940012#50|940013#50|940014#50,
1701501,-1,3,1#10000000|9#10000000|10#7500|14#7500,29#18|36#30|20#9,940011#50|940012#50|940013#50|940014#50
1701601,-1,3,29#48|36#80|20#24,940031#50|940032#50|940033#50|940034#50,1#16000000|9#16000000|10#12000|14#12000
1701701,-1,3,29#48|36#80|20#24,26#16000|27#2000|10#27000|14#27000,940011#150|940012#150|940013#150|940014#150
1701801,-1,3,29#48|36#80|20#24,26#6000|27#750|10#10000|14#10000,940031#50|940032#50|940033#50|940034#50
1701901,-1,3,29#48|36#80|20#24,26#6000|27#750|10#10000|14#10000,940031#50|940032#50|940033#50|940034#50
1702001,-1,3,29#48|36#80|20#24,26#6000|27#750|10#10000|14#10000,940031#50|940032#50|940033#50|940034#50
1702101,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702201,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702301,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702401,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702501,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702601,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702701,-1,2,29#84|36#140|20#42,940035#100|940036#100,
1702801,-1,2,29#84|36#140|20#42,940035#100|940036#100,
1702901,-1,2,29#84|36#140|20#42,940035#100|940036#100,
1703001,-1,3,29#100|36#166|20#50,26#30000|27#3750|216#2000,198#75000|199#16000
1703101,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1703201,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1703301,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
