id,day,map_id,condition_type,condition,event_type,effect,complete_value
1,1,1,,,1,15,
2,1,2,,,1,15,
3,1,3,,,1,15,
4,1,4,,,1,15,
5,1,5,,,1,15,
6,1,6,,,1,15,
7,2,1,,,1,16,
8,2,2,,,1,16,
9,2,3,,,1,16,
10,2,4,,,1,16,
11,2,5,,,1,16,
12,2,6,,,1,15,
13,3,1,2,13,1|2,17|,0|123
14,3,2,2,13,1|2,17|,0|205
15,3,3,2,13,1|2,17|,0|378
16,3,4,2,13,1|2,17|,0|448
17,3,5,2,13,1|2,17|,0|27
18,3,6,,,1,15,
19,4,1,2,13,1|2,18|,0|114
20,4,2,2,13,1|2,18|,0|213
21,4,3,2,13,1|2,18|,0|388
22,4,4,2,13,1|2,18|,0|449
23,4,5,2,13,1|2,18|,0|17
24,4,6,,,1,16,
25,5,1,1,20,1|1,19|20,
26,5,2,1,20,1|1,19|20,
27,5,3,1,20,1|1,19|20,
28,5,4,1,20,1|1,19|20,
29,5,5,1,20,1|1,19|20,
30,5,6,,,1,17,
31,6,1,1,25,1|1,15|20,
32,6,2,1,25,1|1,15|20,
33,6,3,1,25,1|1,15|20,
34,6,4,1,25,1|1,15|20,
35,6,5,1,25,1|1,15|20,
36,6,6,,,1,18,
37,7,1,1,30,1|1,16|20,
38,7,2,1,30,1|1,16|20,
39,7,3,1,30,1|1,16|20,
40,7,4,1,30,1|1,16|20,
41,7,5,1,30,1|1,16|20,
42,7,6,,,1,19,
43,8,1,1,35,1|1,17|20,
44,8,2,1,35,1|1,17|20,
45,8,3,1,35,1|1,17|20,
46,8,4,1,35,1|1,17|20,
47,8,5,1,35,1|1,17|20,
48,8,6,,,1,15,
49,9,1,3,197,3|1,0|18,197|
50,9,2,3,279,3|1,0|18,279|
51,9,3,3,333,3|1,0|18,333|
52,9,4,3,441,3|1,0|18,441|
53,9,5,3,81,3|1,0|18,81|
54,9,6,,,1,16,
55,10,1,3,151,3|1,0|19,151|
56,10,2,3,298,3|1,0|19,298|
57,10,3,3,316,3|1,0|19,316|
58,10,4,3,472,3|1,0|19,472|
59,10,5,3,37,3|1,0|19,37|
60,10,6,,,1,17,
61,11,1,3,161,3|1,0|16,161|
62,11,2,3,269,3|1,0|16,269|
63,11,3,3,324,3|1,0|16,324|
64,11,4,3,457,3|1,0|16,457|
65,11,5,3,57,3|1,0|16,57|
66,11,6,,,1,18,
67,12,1,1,50,3|1,0|17,127|
68,12,2,1,50,3|1,0|17,217|
69,12,3,1,50,3|1,0|17,359|
70,12,4,1,50,3|1,0|17,478|
71,12,5,1,50,3|1,0|17,34|
72,12,6,2,18,1|2,19|,0|570
73,13,1,1,55,3|1,0|18,148|
74,13,2,1,55,3|1,0|18,238|
75,13,3,1,55,3|1,0|18,338|
76,13,4,1,55,3|1,0|18,486|
77,13,5,1,55,3|1,0|18,53|
78,13,6,,,1,21,
79,14,1,1,55,3|1,0|19,138|
80,14,2,1,55,3|1,0|19,227|
81,14,3,1,55,3|1,0|19,348|
82,14,4,1,55,3|1,0|19,474|
83,14,5,1,55,3|1,0|19,83|
84,14,6,,,1,21,
