id,picture,picture_small_size,type,group,name,unlock_type,unlock_value,unlock_desc,price,is_default,item_id,effect,animation,effect_background,offset,picture_offset,redmark_time
1,new_school,new_school_small,1,2,-1,1,1,-1,,1,2000001,,,,,,0
2,new_school_night,new_school_night_small,1,2,-1,1,1,-1,,,2000002,,,,,,0
3,mapBg01,mapbg01_small,1,2,-1,2,30,-1,,,2000003,,,,,,0
4,battle_loading_1,battle_loading_1_small,2,1,-1,1,1,-1,,1,2000004,,,,,,0
5,battle_loading_2,battle_loading_2_small,2,1,-1,1,1,-1,,1,2000005,,,,,,0
6,battle_loading_3,battle_loading_3_small,2,1,-1,1,1,-1,,1,2000006,,,,,,0
7,battle_loading_4,battle_loading_4_small,2,1,-1,1,1,-1,,1,2000007,,,,,,0
8,battle_loading_5,battle_loading_5_small,2,1,-1,1,1,-1,,1,2000008,,,,,,0
9,battle_loading_6,battle_loading_6_small,2,1,-1,1,1,-1,,1,2000009,,,,,,0
10,battle_loading_7,battle_loading_7_small,2,1,-1,1,1,-1,,1,2000010,,,,,,0
11,battle_loading_8,battle_loading_8_small,2,1,-1,1,1,-1,,1,2000011,,,,,,0
12,battle_loading_9,battle_loading_9_small,2,1,-1,1,1,-1,,1,2000012,,,,,,0
13,battle_loading_10,battle_loading_10_small,2,1,-1,1,1,-1,,1,2000013,,,,,,0
14,login_beach,login_beach_small,1,5,-1,11,1,-1,2#300,,2000014,,,,,,0
15,dates_bg14,dates_bg14_small,2,2,-1,8,1,-1,,,2000015,,,,,,0
16,playground,playground_small,2,2,-1,6,50,-1,1#50000,,2000016,,,,,,0
17,castle,castle_small,2,2,-1,10,651003|751002,-1,,,2000017,,,,,,0
18,yinzong_xueyuan,yinzong_xueyuan_small,2,2,-1,5,3,-1,,,2000018,,,,,,0
19,partner_group_scene1,partner_group_scene1_small,2,3,-1,4,1#5,-1,1#500000,,2000019,,,,,,0
20,partner_group_scene2,partner_group_scene2_small,2,3,-1,4,2#5,-1,1#500000,,2000020,,,,,,0
21,partner_group_scene3,partner_group_scene3_small,2,3,-1,4,3#5,-1,1#500000,,2000021,,,,,,0
22,partner_group_scene4,partner_group_scene4_small,2,3,-1,4,4#5,-1,1#500000,,2000022,,,,,,0
23,partner_group_scene5,partner_group_scene5_small,2,3,-1,4,5#5,-1,1#500000,,2000023,,,,,,0
24,partner_group_scene6,partner_group_scene6_small,2,3,-1,4,6#5,-1,1#500000,,2000024,,,,,,0
25,yinzong_house,yinzong_house_small,2,4,-1,5,3,-1,,,2000025,,,,,,0
26,aidehua_photo02,aidehua_photo02_small,2,4,-1,5,4,-1,,,2000026,,,,,,0
27,cg_chongshengyanji,cg_chongshengyanji_small,2,4,-1,7,1,-1,2#220,,2000027,,,,,,0
28,login_wedding,login_scene_review_small,2,5,-1,9,43007|51004|51006|51010|52004|54008|55005|56003,-1,,,2000028,,,,,,0
29,login_anniversary,login_anniversary_small,2,5,-1,11,1,-1,2#300,,2000029,login_anniversary,texiao01,login_anniversary_bg,-410|640,0|-34,0
30,login_summer,login_summer_small,2,5,-1,11,1,-1,2#300,,2000030,login_summer,texiao01,login_summer_bg,-410|640,0|0,0
31,login_christmas,login_christmas_small,2,5,-1,11,1,-1,2#300,,2000031,,,,,,0
32,login_angel,login_angel_small,2,5,-1,11,1,-1,2#300,,2000032,login_angel,texiao02,login_angel_bg,0|0,0|0,0
33,login_new_year,login_new_year_small,2,5,-1,11,1,-1,2#300,,2000033,,,,,,0
34,bg_top_floor,bg_top_floor_small,1,2,-1,1,1,-1,,,2000034,,,,,,0
35,login_music,login_music_small,2,5,-1,11,1,-1,2#300,,2000035,login_music,texiao01,login_music_bg,-410|640,0|0,0
36,login_valkyrie,login_valkyrie_small,2,5,-1,11,1,-1,2#300,,2000036,login_valkyrie,texiao02,login_valkyrie_bg,0|0,0|0,0
37,login_hot_spring,login_hot_spring_small,2,5,-1,11,1,-1,2#300,,2000037,login_hot_spring,texiao01,login_hot_spring_bg,-410|640,0|0,0
38,cg_shuangzi,cg_shuangzi_small,2,4,-1,12,2000038,-1,,,2000038,shuangzicg,animation,cg_shuangzi_bg,-410|640,0|0,0
39,mapBg_christ,mapBg_christ_small,1,5,-1,1,1,-1,,,2000039,,,,,,0
40,login_chilian,login_chilian_small,2,5,-1,11,1,-1,2#300,,2000040,login_chilian,texiao01,login_chilian_bg,-410|640,0|0,0
41,bg_sport_festival,bg_sport_festival_small,2,4,-1,11,1,-1,2#300,,2000041,,,,,,0
42,login_2nd_birthday_cake,login_2nd_birthday_cake_small,2,5,-1,11,1,-1,2#300,,2000042,login_2nd_birthday_cake,texiao01,login_2nd_birthday_cake_bg,-410|640,0|0,0
43,date_scene,date_scene_small,2,4,-1,11,1,-1,2#300,,2000043,datescene,texiao01,datescene_bg,-410|640,0|0,0
44,college_scene1,college_scene1_small,2,3,-1,13,1#45,-1,,,2000044,,,,,,0
45,college_scene2,college_scene2_small,2,3,-1,13,2#45,-1,,,2000045,,,,,,0
46,college_scene3,college_scene3_small,2,3,-1,13,3#45,-1,,,2000046,,,,,,0
47,college_scene4,college_scene4_small,2,3,-1,13,4#45,-1,,,2000047,,,,,,0
48,college_scene5,college_scene5_small,2,3,-1,13,5#18,-1,,,2000048,,,,,,0
49,college_scene6,college_scene6_small,2,3,-1,13,6#18,-1,,,2000049,,,,,,0
50,forest_night,forest_night_small,1,2,-1,11,1,-1,1#50000,,2000050,,,,,,0
51,forest,forest_small,1,2,-1,11,1,-1,1#50000,,2000051,,,,,,0
52,aster_place,aster_place_small,1,6,-1,5,11,-1,,,2000052,,,,,,0
53,ouroboros_gate,ouroboros_gate_small,1,2,-1,5,12,-1,,,2000053,,,,,,0
54,market_scene5,market_scene5_small,1,2,-1,6,100,-1,,,2000054,,,,,,0
55,xiariji_night,xiariji_night_small,1,2,-1,5,4,-1,,,2000055,,,,,,0
56,login_summer_2nd,login_summer_2nd_small,2,5,-1,11,1,-1,2#300,,2000056,login_summer_2nd,animation,login_summer_2nd_bg,-410|640,0|0,0
57,login_mafia,login_mafia_small,2,5,-1,11,1,-1,2#300,,2000057,login_mafia,animation,login_mafia_bg,-410|640,0|0,0
58,login_xmas,login_xmas_small,2,5,-1,11,1,-1,2#300,,2000058,login_xmas,animation,login_xmas_bg,-410|640,0|0,0
59,login_fish,login_fish_small,2,5,-1,11,1,-1,2#300,,2000059,login_fish,animation,login_fish_bg,-410|640,0|0,0
60,bp_bg,bp_bg_small,1,2,-1,7,3,-1,1#50000,,2000060,,,,,,0
61,bridge,bridge_small,1,2,-1,7,10,-1,1#50000,,2000061,,,,,,0
62,hostel_zoulang,hostel_zoulang_small,1,2,-1,5,2,-1,1#50000,,2000062,,,,,,0
