id,name,options_id,type,coefficient
1,-1,1001,1,
2,-1,2001,1,
3,-1,3001,1,
4,-1,4001,1,
5,-1,5001|5002,2,
6,-1,6001|6002,2,
7,-1,7001|7002,2,
8,-1,8001|8002,2,
9,-1,9001|9002,2,
10,-1,10001|10002,3,0.4
11,-1,11001|11002,3,0.5
12,-1,12001|12002,3,0.6
13,-1,13001,1,
14,-1,14001,1,
15,-1,15001,1,
16,-1,16001,1,
17,-1,17001|17002,2,
18,-1,18001|18002,2,
19,-1,19001|19002,2,
20,-1,20001|20002,2,
21,-1,21001|21002,2,
22,-1,22001|22002,3,0.4
23,-1,23001|23002,3,0.5
24,-1,24001|24002,3,0.6
25,-1,25001,1,
26,-1,26001,1,
27,-1,27001,1,
28,-1,28001,1,
29,-1,29001|29002,2,
30,-1,30001|30002,2,
31,-1,31001|31002,2,
32,-1,32001|32002,2,
33,-1,33001|33002,2,
34,-1,34001|34002,3,0.4
35,-1,35001|35002,3,0.5
36,-1,36001|36002,3,0.6
37,-1,37001,1,
38,-1,38001,1,
39,-1,39001,1,
40,-1,40001,1,
41,-1,41001|41002,2,
42,-1,42001|42002,2,
43,-1,43001|43002,2,
44,-1,44001|44002,2,
45,-1,45001|45002,2,
46,-1,46001|46002,3,0.4
47,-1,47001|47002,3,0.5
48,-1,48001|48002,3,0.6
49,-1,49001,1,
50,-1,50001,1,
51,-1,51001,1,
52,-1,52001,1,
53,-1,53001|53002,2,
54,-1,54001|54002,2,
55,-1,55001|55002,2,
56,-1,56001|56002,2,
57,-1,57001|57002,2,
58,-1,58001|58002,3,0.4
59,-1,59001|59002,3,0.5
60,-1,60001|60002,3,0.6
61,-1,61001,1,
62,-1,62001,1,
63,-1,63001,1,
64,-1,64001,1,
65,-1,65001|65002,2,
66,-1,66001|66002,2,
67,-1,67001|67002,2,
68,-1,68001|68002,2,
69,-1,69001|69002,2,
70,-1,70001|70002,3,0.4
71,-1,71001|71002,3,0.5
72,-1,72001|72002,3,0.6
73,-1,73001,1,
74,-1,74001,1,
75,-1,75001,1,
76,-1,76001,1,
77,-1,77001|77002,2,
78,-1,78001|78002,2,
79,-1,79001|79002,2,
80,-1,80001|80002,2,
81,-1,81001|81002,2,
82,-1,82001|82002,3,0.4
83,-1,83001|83002,3,0.5
84,-1,84001|84002,3,0.6
85,-1,85001,1,
86,-1,86001,1,
87,-1,87001,1,
88,-1,88001,1,
89,-1,89001|89002,2,
90,-1,90001|90002,2,
91,-1,91001|91002,2,
92,-1,92001|92002,2,
93,-1,93001|93002,2,
94,-1,94001|94002,3,0.4
95,-1,95001|95002,3,0.5
96,-1,96001|96002,3,0.6
97,-1,97001|97002,3,0.7
98,-1,98001,1,
99,-1,99001,1,
100,-1,100001,1,
101,-1,101001,1,
102,-1,102001|102002,2,
103,-1,103001|103002,2,
104,-1,104001|104002,2,
105,-1,105001|105002,2,
106,-1,106001|106002,2,
107,-1,107001|107002,3,0.4
108,-1,108001|108002,3,0.5
109,-1,109001|109002,3,0.6
