id,awards,desc,type,qlt1,cost,cost2,cost3,limit,reverse
1,64361#1,-1,1,6431,6436#1,6431#1|6432#1|6433#1|6434#1|6435#1|6436#1,262#6000,-1,6436#1|6431#1|262#6000
2,64362#1,-1,2,6431,64361#1,6431#1|6432#1|6433#1|6434#1|6435#1|6436#1,262#10000,-1,6436#1|6431#2|262#16000
3,64363#1,-1,3,6431,64362#1,6431#1|6432#1|6433#1|6434#1|6435#1|6436#1,262#14000,-1,6436#1|6431#3|262#30000
4,64421#1,-1,1,6437,6442#1,6437#1|6438#1|6439#1|6440#1|6441#1|6442#1,262#6000,-1,6442#1|6437#1|262#6000
5,64422#1,-1,2,6437,64421#1,6437#1|6438#1|6439#1|6440#1|6441#1|6442#1,262#10000,-1,6442#1|6437#2|262#16000
6,64423#1,-1,3,6437,64422#1,6437#1|6438#1|6439#1|6440#1|6441#1|6442#1,262#14000,-1,6442#1|6437#3|262#30000
7,64541#1,-1,1,6449,6454#1,6449#1|6450#1|6451#1|6452#1|6453#1|6454#1,262#6000,-1,6454#1|6449#1|262#6000
8,64542#1,-1,2,6449,64541#1,6449#1|6450#1|6451#1|6452#1|6453#1|6454#1,262#10000,-1,6454#1|6449#2|262#16000
9,64543#1,-1,3,6449,64542#1,6449#1|6450#1|6451#1|6452#1|6453#1|6454#1,262#14000,-1,6454#1|6449#3|262#30000
10,67061#1,-1,1,6701,6706#1,6701#1|6702#1|6703#1|6704#1|6705#1|6706#1,262#6000,-1,6706#1|6701#1|262#6000
11,67062#1,-1,2,6701,67061#1,6701#1|6702#1|6703#1|6704#1|6705#1|6706#1,262#10000,-1,6706#1|6701#2|262#16000
12,67063#1,-1,3,6701,67062#1,6701#1|6702#1|6703#1|6704#1|6705#1|6706#1,262#14000,-1,6706#1|6701#3|262#30000
13,67181#1,-1,1,6713,6718#1,6713#1|6714#1|6715#1|6716#1|6717#1|6718#1,262#6000,-1,6718#1|6713#1|262#6000
14,67182#1,-1,2,6713,67181#1,6713#1|6714#1|6715#1|6716#1|6717#1|6718#1,262#10000,-1,6718#1|6713#2|262#16000
15,67183#1,-1,3,6713,67182#1,6713#1|6714#1|6715#1|6716#1|6717#1|6718#1,262#14000,-1,6718#1|6713#3|262#30000
