id,need_exp,all_exp,level_reward
1,50,0,
2,62,50,2#10
3,78,112,2#10
4,97,190,2#10
5,122,287,2#10
6,152,409,2#10
7,190,561,2#10
8,238,751,2#10
9,298,989,2#10
10,372,1287,2#10
11,465,1659,2#10
12,582,2124,2#10
13,727,2706,2#10
14,909,3433,2#10
15,1136,4342,2#10
16,1421,5478,2#10
17,1776,6899,2#10
18,2000,8675,2#10
19,2200,10675,2#10
20,2400,12875,2#10
21,2600,15275,2#10
22,3000,17875,2#10
23,3200,20875,2#10
24,3600,24075,2#10
25,4000,27675,2#10
26,4500,31675,2#10
27,5000,36175,2#10
28,5500,41175,2#10
29,6000,46675,2#10
30,7000,52675,2#10
31,12030,59675,2#10
32,13594,71705,2#10
33,15362,85299,2#10
34,17359,100661,2#10
35,18227,118020,2#10
36,19138,136247,2#10
37,20095,155385,2#10
38,21100,175480,2#10
39,22155,196580,2#10
40,23262,218735,2#10
41,24425,241997,2#10
42,25647,266422,2#10
43,26929,292069,2#10
44,28276,318998,2#10
45,29689,347274,2#10
46,31174,376963,2#10
47,32733,408137,2#10
48,34369,440870,2#10
49,36088,475239,2#10
50,42584,511327,2#10
51,50249,553911,2#10
52,59294,604160,2#10
53,69967,663454,2#10
54,82561,733421,2#10
55,97422,815982,2#10
56,114958,913404,2#10
57,135650,1028362,2#10
58,160067,1164012,2#10
59,188880,1324079,2#10
60,222878,1512959,2#10
61,262996,1735837,2#10
62,310336,1998833,2#10
63,366196,2309169,2#10
64,432112,2675365,2#10
65,449396,3107477,2#10
66,467372,3556873,2#10
67,486067,4024245,2#10
68,505510,4510312,2#10
69,525730,5015822,2#10
70,546759,5541552,2#10
71,568630,6088311,2#10
72,591375,6656941,2#10
73,615030,7248316,2#10
74,639631,7863346,2#10
75,665216,8502977,2#10
76,691825,9168193,2#10
77,719498,9860018,2#10
78,748278,10579516,2#10
79,778209,11327794,2#10
80,856030,12106003,2#10
81,924512,12962033,2#10
82,998474,13886545,2#10
83,1078351,14885019,2#10
84,1164620,15963370,2#10
85,1257789,17127990,2#10
86,1358412,18385779,2#10
87,1467085,19744191,2#10
88,1584452,21211276,2#10
89,1711209,22795728,2#10
90,1848105,24506937,2#10
91,1995954,26355042,2#10
92,2155630,28350996,2#10
93,2328080,30506626,2#10
94,2514327,32834706,2#10
95,2715473,35349033,2#10
96,2932711,38064506,2#10
97,3167328,40997217,2#10
98,3420714,44164545,2#10
99,3694371,47585259,2#10
100,3805203,51279630,2#10
101,3976437,55084833,2#10
102,4155376,59061270,2#10
103,4342368,63216646,2#10
104,4537775,67559014,2#10
105,4741975,72096789,2#10
106,4955364,76838764,2#10
107,5178355,81794128,2#10
108,5411381,86972483,2#10
109,5654893,92383864,2#10
110,5909364,98038757,2#10
111,6175285,103948121,2#10
112,6453173,110123406,2#10
113,6743566,116576579,2#10
114,7047026,123320145,2#10
115,7364142,130367171,2#10
116,7365750,137731313,2#10
117,7477319,145097063,2#10
118,7478951,152574382,2#10
119,7590591,160053333,2#10
120,7592247,167643924,2#10
121,7703960,175236171,2#10
122,7705640,182940131,2#10
123,7817425,190645771,2#10
124,7819129,198463196,2#10
125,7930985,206282325,2#10
126,7932713,214213310,2#10
127,8044642,222146023,2#10
128,8046394,230190665,2#10
129,8158394,238237059,2#10
130,8160170,246395453,2#10
131,8272243,254555623,2#10
132,8274043,262827866,2#10
133,8386187,271101909,2#10
134,8388011,279488096,2#10
135,8500228,287876107,2#10
136,8502076,296376335,2#10
137,8614365,304878411,2#10
138,8616237,313492776,2#10
139,8728597,322109013,2#10
140,8730493,330837610,2#10
141,8842926,339568103,2#10
142,8844846,348411029,2#10
143,8846766,357255875,2#10
144,8959294,366102641,2#10
145,8961238,375061935,2#10
146,9073839,384023173,2#10
147,9075807,393097012,2#10
148,9077775,402172819,2#10
149,9190471,411250594,2#10
150,9192463,420441065,2#10
151,9305232,429633528,2#10
152,9307248,438938760,2#10
153,9309264,448246008,2#10
154,9422129,457555272,2#10
155,9424169,466977401,2#10
156,9537105,476401570,2#10
157,9539169,485938675,2#10
158,9541233,495477844,2#10
159,9654266,505019077,2#10
160,9656354,514673343,2#10
161,9769458,524329697,2#10
162,9771570,534099155,2#10
163,9773682,543870725,2#10
164,9886883,553644407,2#10
165,9889019,563531290,2#10
166,10002292,573420309,2#10
167,10004452,583422601,2#10
168,10006612,593427053,2#10
169,10119980,603433665,2#10
170,10122164,613553645,2#10
171,10235605,623675809,2#10
172,10237813,633911414,2#10
173,10240021,644149227,2#10
174,10353557,654389248,2#10
175,10355789,664742805,2#10
176,10469398,675098594,2#10
177,10471654,685567992,2#10
178,10473910,696039646,2#10
179,10587614,706513556,2#10
180,10589894,717101170,2#10
181,10703671,727691064,2#10
182,10705975,738394735,2#10
183,10708279,749100710,2#10
184,10822152,759808989,2#10
185,10824480,770631141,2#10
186,10938424,781455621,2#10
187,10940776,792394045,2#10
188,10943128,803334821,2#10
189,11057169,814277949,2#10
190,11059545,825335118,2#10
191,11173657,836394663,2#10
192,11176057,847568320,2#10
193,11178457,858744377,2#10
194,11292666,869922834,2#10
195,11295090,881215500,2#10
196,11409370,892510590,2#10
197,11411818,903919960,2#10
198,11414266,915331778,2#10
199,11528643,926746044,2#10
200,11531115,938274687,2#10
201,11645564,949805802,2#10
202,11648060,961451366,2#10
