id,dropbox_id,lv_min,lv_max,limit_num,weight,desc
1,30001,1,30,20,12000,-1
2,30002,31,60,20,12000,-1
3,30003,61,90,20,12000,-1
4,30004,91,999,20,12000,-1
5,30005,1,999,1,8000,-1
6,30006,1,30,-1,4500,-1
7,30007,1,45,-1,4500,-1
8,30008,1,40,-1,5000,-1
9,30009,41,60,-1,5000,-1
10,30010,1,40,-1,5200,-1
11,30011,41,60,-1,5200,-1
12,30012,1,24,4,3000,-1
13,30013,25,60,-1,3000,-1
14,30014,61,999,-1,3000,-1
15,30015,24,45,4,2200,-1
16,30016,46,75,-1,2200,-1
17,30017,76,999,4,2200,-1
18,30018,45,60,-1,2000,-1
19,30019,61,85,-1,2000,-1
20,30020,86,999,-1,2000,-1
21,30021,65,999,-1,1500,-1
22,30022,86,999,2,1500,-1
23,30023,1,999,-1,5000,-1
24,30024,1,45,4,5000,-1
25,30025,46,80,4,5000,-1
26,30026,81,999,4,5000,-1
27,30027,1,999,5,2000,-1
28,30028,50,75,1,2000,-1
29,30029,76,999,1,2000,-1
30,30030,1,40,5,4000,-1
31,30031,41,79,5,4000,-1
32,30032,80,999,5,4000,-1
33,30033,1,40,-1,8000,-1
34,30034,41,999,-1,8000,-1
36,30036,17,999,4,8000,-1
37,30037,30,999,2,8000,-1
38,30038,30,999,1,4000,-1
39,30039,14,999,8,8000,-1
40,30040,40,999,2,3000,-1
41,30041,40,999,1,5000,-1
42,30042,20,999,3,8000,-1
43,30043,20,60,5,4000,-1
44,30044,61,999,5,4000,-1
45,30045,60,999,1,2000,-1
46,30046,25,999,5,5000,-1
47,30047,50,999,10,3000,-1
48,30048,80,999,2,1500,-1
49,30049,30,999,5,5000,-1
50,30050,60,999,5,1500,-1
51,30051,85,999,-1,1500,-1
52,30052,100,999,2,1500,-1
53,30053,95,999,-1,1000,-1
54,30054,110,999,1,1000,-1
55,30055,30,999,2,1000,-1
56,30056,50,999,2,500,-1
57,30057,60,999,1,200,-1
58,30058,70,99,1,500,-1
59,30059,100,999,1,500,-1
60,30060,60,99,1,500,-1
61,30061,100,999,1,500,-1
