id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
22076,753013,,-1,290,10,988036,69023,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22077,752014,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22078,751013,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22079,756007,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22080,755007,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22081,754014,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22082,755008,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22083,753014,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22084,752015,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22085,751014,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22086,754013,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22087,753015,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22088,751015,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22089,754015,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22090,752016,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22091,755009,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22092,756008,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22093,754016,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22094,751016,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22095,752017,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22096,753016,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22097,752007,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22098,752008,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22099,752010,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22100,753010,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22101,754009,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22102,755003,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22103,755004,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22104,756003,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22105,756004,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22106,751013,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22107,756007,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
22108,755007,,-1,290,10,,,1.3,1.25,1,1.5,,0,0,0,0,0,0,0,0,0,,290,,1,,,
23001,651008,,-1,220,6,937832,47927,18,10,1,1,,0,0,0,0,0,0,300,0,0,,250,,,,,
23002,656011,,-1,200,6,1575840,64654,25,11,1,1,,0,0,0,0,0,0,300,0,200,,250,,,,,
23003,653005,,-1,200,6,964227,54024,25,11,1,1,,0,0,0,0,200,0,300,0,0,,250,,,,,
23004,756005,,-1,250,6,1115839,36239,4.65,2.5,1,1,,0,0,200,200,0,0,500,0,0,,250,,,,,
23005,753013,,-1,250,6,1020444,29229,4.65,1.83333333333,1,1,,0,0,200,200,200,200,500,200,200,,250,,,,,
23006,752008,,-1,250,6,1587502,20504,6.25,2.2,1,1,,0,0,0,0,0,0,500,0,0,,250,,,,,
23007,756006,,-1,250,6,975772,29173,3.72,2.2,1,1,,0,0,0,0,0,0,200,0,200,,250,,,,,
23008,756002,,-1,200,6,1018480,20488,3.72,2.2,1,1,,0,0,0,0,0,0,500,0,200,,250,,,,,
23009,751011,,-1,250,6,1437647,29743,6.25,2.2,1,1,,0,0,0,0,0,0,500,0,0,,250,,,,,
23010,654013,,-1,200,6,1036636,71100,25,18,1,1,,0,0,400,200,0,200,500,0,0,,250,,,,,
23011,751009,,-1,200,6,1103382,14064,3.72,2.2,1,1,,0,0,0,0,0,0,300,0,0,,250,,,,,
23012,754001,,-1,250,6,1288032,31872,5.5,2.87,1,1,,0,0,100,100,200,200,200,200,200,,250,,,,,
23013,754010,,-1,250,6,1688251,59492,7.06,3.8,1,1,,0,0,200,200,200,200,500,200,200,,250,,,,,
23014,54006,,-1,200,5,322272,43890,12,20,1,1,,0,0,0,0,0,0,300,0,0,,200,,,,,
23015,44007,,-1,300,5,208361,85275,14.82,30,1,1,,0,0,0,0,0,0,300,0,0,,200,,,,,
23016,56001,,-1,200,5,327102,34026,12.35,12,1,1,,0,0,0,0,0,0,200,0,0,,200,,,,,
