id,gold,gold_new
1,1#10000,1#30000
2,1#10300,1#30900
3,1#10600,1#31800
4,1#10900,1#32700
5,1#11200,1#33600
6,1#11500,1#34500
7,1#11800,1#35400
8,1#12100,1#36300
9,1#12400,1#37200
10,1#12700,1#38100
11,1#13000,1#39000
12,1#13300,1#39900
13,1#13600,1#40800
14,1#13900,1#41700
15,1#14200,1#42600
16,1#14500,1#43500
17,1#14800,1#44400
18,1#15100,1#45300
19,1#15400,1#46200
20,1#15700,1#47100
21,1#16000,1#48000
22,1#16300,1#48900
23,1#16600,1#49800
24,1#16900,1#50700
25,1#17200,1#51600
26,1#17500,1#52500
27,1#17800,1#53400
28,1#18100,1#54300
29,1#18400,1#55200
30,1#18700,1#56100
31,1#19000,1#57000
32,1#19300,1#57900
33,1#19600,1#58800
34,1#19900,1#59700
35,1#20200,1#60600
36,1#20500,1#61500
37,1#20800,1#62400
38,1#21100,1#63300
39,1#21400,1#64200
40,1#21700,1#65100
41,1#22000,1#66000
42,1#22300,1#66900
43,1#22600,1#67800
44,1#22900,1#68700
45,1#23200,1#69600
46,1#23500,1#70500
47,1#23800,1#71400
48,1#24100,1#72300
49,1#24400,1#73200
50,1#24700,1#74100
51,1#25000,1#75000
52,1#25300,1#75900
53,1#25600,1#76800
54,1#25900,1#77700
55,1#26200,1#78600
56,1#26500,1#79500
57,1#26800,1#80400
58,1#27100,1#81300
59,1#27400,1#82200
60,1#27700,1#83100
61,1#28000,1#84000
62,1#28300,1#84900
63,1#28600,1#85800
64,1#28900,1#86700
65,1#29200,1#87600
66,1#29500,1#88500
67,1#29800,1#89400
68,1#30100,1#90300
69,1#30400,1#91200
70,1#30700,1#92100
71,1#31000,1#93000
72,1#31300,1#93900
73,1#31600,1#94800
74,1#31900,1#95700
75,1#32200,1#96600
76,1#32500,1#97500
77,1#32800,1#98400
78,1#33100,1#99300
79,1#33400,1#100200
80,1#33700,1#101100
81,1#34000,1#102000
82,1#34300,1#102900
83,1#34600,1#103800
84,1#34900,1#104700
85,1#35200,1#105600
86,1#35500,1#106500
87,1#35800,1#107400
88,1#36100,1#108300
89,1#36400,1#109200
90,1#36700,1#110100
91,1#37000,1#111000
92,1#37300,1#111900
93,1#37600,1#112800
94,1#37900,1#113700
95,1#38200,1#114600
96,1#38500,1#115500
97,1#38800,1#116400
98,1#39100,1#117300
99,1#39400,1#118200
100,1#39700,1#119100
101,1#40000,1#120000
102,1#40300,1#120900
103,1#40600,1#121800
104,1#40900,1#122700
105,1#41200,1#123600
106,1#41500,1#124500
107,1#41800,1#125400
108,1#42100,1#126300
109,1#42400,1#127200
110,1#42700,1#128100
111,1#43000,1#129000
112,1#43300,1#129900
113,1#43600,1#130800
114,1#43900,1#131700
115,1#44200,1#132600
116,1#44500,1#133500
