id,name,resource,texiao_name,size,enter_dialog,enter_dialog_scale,enter_sound,enter_texiao,click_dialog1,click_dialog1_scale,click_sound1,click_texiao1,click_dialog2,click_dialog2_scale,click_sound2,click_texiao2,click_dialog3,click_dialog3_scale,click_sound3,click_texiao3,click_dialog4,click_dialog4_scale,click_sound4,click_texiao4,click_dialog5,click_dialog5_scale,click_sound5,click_texiao5,click_dialog6,click_dialog6_scale,click_sound6,click_texiao6,chosen_dialog1,chosen_dialog1_scale,chosen_sound1,chosen_texiao1
1,-1,shangdian1,texiao01,220|405,-1,260|145,4031,,-1,260|145,4039,,-1,260|145,4046,,-1,260|145,4039,,-1,260|145,4046,,-1,260|145,4055,,-1,260|145,4055,,-1,260|145,4055,
2,-1,shangdian2,texiao01,220|405,-1,260|145,4032,,-1,260|145,4040,,-1,260|145,4047,,-1,260|145,4040,,-1,260|145,4047,,-1,260|145,4040,,-1,260|145,4040,,-1,260|145,4057,
3,-1,gamble_girl,idle,440|700,-1,260|145,4033,texiao02,-1,260|145,4041,texiao03,-1,260|145,4033,texiao02,-1,260|145,4041,texiao03,IT's show time~,260|145,4052,texiao01,-1,260|145,4033,texiao02,-1,260|145,4033,texiao02,IT's show time~,260|145,4052,texiao01
4,-1,gamble_up_girl,idle,440|700,-1,260|145,4034,,-1,260|145,4042,,-1,260|145,4048,texiao02,-1,260|145,4034,,-1,260|145,4042,,-1,260|145,4048,texiao02,-1,260|145,4048,texiao02,-1,260|145,4058,texiao03
5,-1,caopi,texiao01,528|840,-1,260|145,4035,texiao03,-1,260|145,4043,texiao02,-1,260|145,4049,texiao02,-1,260|145,4056,texiao03,-1,260|145,4049,texiao02,-1,260|145,4056,texiao03,-1,260|145,4056,texiao03,-1,260|145,4059,texiao04
6,-1,shangdian3,texiao01,460|500,-1,260|145,4036,texiao03,-1,260|145,4044,texiao04,-1,260|145,4050,texiao03,-1,260|145,4044,texiao04,-1,260|145,4050,texiao03,-1,260|145,4036,texiao03,-1,260|145,4036,texiao03,-1,260|145,4044,texiao04
7,-1,shangdian4,idle,220|405,-1,260|145,4032,,-1,260|145,4040,,-1,260|145,4047,,-1,260|145,4040,,-1,260|145,4047,,-1,260|145,4040,,-1,260|145,4040,,-1,260|145,4057,
8,-1,banina_5,idle,440|700,-1,260|145,,,-1,260|145,,,-1,260|145,,,-1,260|145,,,-1,260|145,,,-1,260|145,,,-1,260|145,,,-1,260|145,,
9,-1,shop_yuanshao,talk1,440|880,-1,260|145,4038,,-1,260|145,4038,talk1,-1,260|145,4038,talk1,-1,260|145,4054,talk2,-1,260|145,4054,talk2,-1,260|145,4054,talk2,-1,260|145,4054,talk2,-1,260|145,4054,talk2
10,-1,shangdian1,texiao01,220|405,-1,260|145,4036,,-1,260|145,4044,,-1,260|145,4050,,-1,260|145,4044,,-1,260|145,4050,,-1,260|145,4036,,-1,260|145,4036,,-1,260|145,4044,
11,-1,simazhao_lihui01,texiao01,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
12,-1,dengai_lihui01,teixiao01,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
13,-1,fangtian,idle,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
14,-1,huangzhong_lihui01,texiao01,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
15,-1,guojia_pifu01_lihui01,idle,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
16,-1,diaochan_pifu02_lihui01,idle,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
17,-1,sunshangxiang_pifu01_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
18,-1,zhanghe_pifu02_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
19,-1,simayi_pifu02_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
20,-1,zhurong_pifu01_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
21,-1,zhaoyun_pifu02_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
22,-1,caozhi_pifu01_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
23,-1,tuling_pifu01_lihui01,texiao01,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
24,-1,qianbenying_pifu01_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
25,-1,huangyueying_pifu02_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
26,-1,xuchu_pifu02_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
27,-1,yuji_pifu01_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
28,-1,dongzhuo_pifu01_lihui01,idle,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
29,-1,zuoci_pifu03_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
30,-1,lvmeng_pifu02_lihui01,animation,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,,,260|145,,
31,-1,shop_zhanghe,talk1,440|880,-1,260|145,,,-1,280|165,,talk2,-1,320|205,,talk1,-1,280|165,,talk4,-1,280|165,,talk4,-1,260|145,,talk2,-1,260|145,,talk2,-1,260|145,,talk3
32,-1,shop_guohuan,Idle,440|880,-1,260|145,,,-1,260|145,,talk,-1,260|145,,talk,-1,280|165,,Idle,-1,300|185,,talk,-1,280|165,,talk,-1,280|165,,talk,-1,260|145,,talk
33,-1,shuangzi_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-1,xunyu_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-1,liru_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-1,dengai_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-1,huatuo_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-1,chilian_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-1,shuangzi_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-1,shop_gaoshun,idle,440|880,-1,260|145,,,-1,260|145,,talk2,-1,260|145,,talk3,-1,300|185,,talk3,-1,280|165,,talk3,-1,300|185,,talk1,-1,300|185,,talk1,-1,260|145,,talk1
41,-1,hanxiandi_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,-1,caocao_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,-1,yinyue_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-1,shop_zhugeliang,talk1,440|880,-1,260|145,,,-1,260|145,,talk2,-1,260|145,,talk3,-1,260|145,,talk4,-1,300|185,,talk4,-1,300|185,,talk1,-1,300|185,,talk1,-1,260|145,,talk4
45,-1,caocao_shop,talk1,440|880,-1,260|145,,,-1,260|145,,talk1,-1,260|145,,talk3,-1,260|145,,talk4,-1,300|185,,talk4,-1,300|185,,talk4,-1,300|185,,talk4,-1,260|145,,talk2
46,-1,huatuo_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-1,caohong_shop,idle,500|1400,-1,260|145,,,-1,260|145,,idle,-1,260|145,,idle,-1,260|145,,idle,-1,300|185,,idle,-1,300|185,,idle,-1,300|185,,idle,-1,260|145,,idle
48,-1,lvlingqi_pifu02_lihui,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-1,zhanghe_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-1,huangyueying_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-1,tuling_pifu02_lihui01,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,-1,shuangzi_pifu03_lihui01,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-1,banila_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,-1,guanyu_pifu01_lihui01,Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,-1,zhouyu_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,-1,yinyue_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,-1,chilian_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,-1,diaochan_pifu03_lihui01,Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,-1,spweiyan_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
