id,desc,icon_id,area_id,place,base_effect1,grow_effect1,base_effect2,grow_effect2,limit,follow_id,skill_cost,lv_max,text_id
1,-1,skill_icon_76,1,1|1,1029085,0.01,,,-1,4,1,9,10101|10102|10103|10104|10105|10106|10107|10108|10109
2,-1,skill_icon_198,1,1|2,1028272,0.005,,,-1,-1,2,9,10201|10102|10103|10104|10105|10106|10107|10108|10109
3,-1,skill_icon_150,1,1|3,1008124,10,1008124,10,-1,-1,3,9,10301|10102|10103|10104|10105|10106|10107|10108|10109
4,-1,skill_icon_199,1,2|1,1004051,2,1004051,2,1#3,-1,4,3,10101|10102|10103
5,-1,skill_icon_127,1,2|2,1268002,10,,,-1,8|9,5,3,10101|10102|10103
6,-1,skill_icon_100,1,2|3,1029085,0.01,,,-1,-1,6,3,10101|10102|10103
7,-1,skill_icon_195,1,3|1,1028272,0.005,1028272,0.005,-1,-1,7,3,10101|10102|10103
8,-1,skill_icon_70,1,3|2,1008124,10,1008124,10,5#3,-1,8,3,10101|10102|10103
9,-1,skill_icon_133,1,3|3,1004051,2,,,5#3,-1,9,3,10101|10102|10103
10,-1,skill_icon_92,2,4|1,1268002,10,,,-1,13,9,3,10101|10102|10103
11,-1,skill_icon_28,2,4|2,1029085,0.01,1029085,0.01,-1,13,9,3,10101|10102|10103
12,-1,skill_icon_85,2,4|3,1028272,0.005,1028272,0.005,-1,-1,9,3,10101|10102|10103
13,-1,skill_icon_46,2,5|1,1008124,10,,,10#3|11#5,-1,9,3,10101|10102|10103
14,-1,skill_icon_80,2,5|2,1004051,2,,,-1,-1,9,9,10201|10102|10103|10104|10105|10106|10107|10108|10113
15,-1,skill_icon_86,2,5|3,1268002,10,1268002,10,-1,-1,9,9,10301|10102|10103|10104|10105|10106|10107|10108|10113
16,-1,skill_icon_152,2,6|1,1268002,10,1268002,10,-1,-1,9,9,10101|10102|10103|10104|10105|10106|10107|10108|10114
