id,type,stage_belong,offsetX,offsetY
1,1,1,548,925
2,0,2,489,983
3,0,2,410,989
4,0,2,336,965
5,2,2,246,886
6,0,3,198,943
7,0,3,127,932
8,0,3,79,902
9,3,3,29,796
10,0,4,92,822
11,0,4,128,782
12,0,4,193,767
13,4,4,238,691
14,0,5,320,766
15,0,5,343,799
16,0,5,405,808
17,5,5,445,730
18,0,6,535,792
19,0,6,586,770
20,0,6,597,731
21,6,6,536,620
22,0,7,515,671
23,0,7,489,641
24,0,7,441,636
25,7,7,369,553
26,0,8,317,621
27,0,8,255,614
28,0,8,213,593
29,8,8,188,487
30,0,9,270,542
31,0,9,320,546
32,0,9,371,538
33,0,9,432,518
34,9,9,424,418
35,0,10,403,470
36,0,10,361,461
37,0,10,340,437
38,10,10,318,339
39,1,11,585,870
40,0,12,512,939
41,0,12,439,927
42,0,12,367,941
43,2,12,276,874
44,0,13,226,929
45,0,13,168,910
46,0,13,117,875
47,3,13,84,765
48,0,14,196,810
49,0,14,262,809
50,0,14,317,794
51,4,14,371,734
52,0,15,462,811
53,0,15,518,788
54,0,15,579,779
55,5,15,584,675
56,0,16,571,717
57,0,16,522,691
58,0,16,466,689
59,6,16,388,611
60,0,17,331,686
61,0,17,271,688
62,0,17,212,675
63,7,17,132,586
64,0,18,118,617
65,0,18,164,568
66,0,18,219,551
67,8,18,266,472
68,0,19,355,535
69,0,19,414,543
70,0,19,476,540
71,9,19,491,436
72,0,20,488,478
73,0,20,443,470
74,0,20,413,445
75,10,20,379,344
76,1,21,151,910
77,0,22,228,991
78,0,22,276,990
79,0,22,321,967
80,2,22,362,900
81,0,23,418,926
82,0,23,447,886
83,0,23,509,872
84,3,23,545,784
85,0,24,607,823
86,0,24,600,785
87,0,24,548,762
88,4,24,469,687
89,0,25,431,755
90,0,25,388,775
91,0,25,339,759
92,5,25,259,704
93,0,26,214,781
94,0,26,156,791
95,0,26,117,764
96,6,26,63,668
97,0,27,51,687
98,0,27,67,635
99,0,27,70,577
100,7,27,87,471
101,0,28,164,545
102,0,28,215,570
103,0,28,278,566
104,8,28,338,499
105,0,29,426,578
106,0,29,491,572
107,0,29,536,552
108,9,29,550,449
109,0,30,523,484
110,0,30,483,455
111,10,30,429,356
112,1,31,552,916
113,0,32,497,971
114,0,32,436,978
115,0,32,383,958
116,2,32,280,888
117,0,33,228,955
118,0,33,165,948
119,0,33,113,919
120,3,33,51,816
121,0,34,103,845
122,0,34,152,820
123,0,34,181,784
124,4,34,218,700
125,0,35,303,771
126,0,35,367,775
127,0,35,402,803
128,5,35,450,731
129,0,36,539,792
130,0,36,600,776
131,0,36,612,740
132,6,36,575,634
133,0,37,557,672
134,0,37,501,655
135,0,37,434,653
136,7,37,348,576
137,0,38,295,655
138,0,38,214,651
139,0,38,159,610
140,8,38,145,487
141,0,39,234,537
142,0,39,307,534
143,0,39,376,544
144,0,39,435,531
145,9,39,420,432
146,0,40,401,465
147,0,40,343,435
148,10,40,318,325
149,1,41,114,921
150,0,42,206,987
151,0,42,271,972
152,0,42,346,980
153,2,42,393,902
154,0,43,488,957
155,0,43,552,929
156,0,43,593,890
157,3,43,585,775
158,0,44,561,813
159,0,44,498,789
160,0,44,421,789
161,4,44,321,730
162,0,45,262,805
163,0,45,184,821
164,0,45,107,809
165,5,45,55,703
166,0,46,109,726
167,0,46,154,694
168,0,46,224,684
169,6,46,278,615
170,0,47,378,679
171,0,47,449,690
172,0,47,506,673
173,7,47,527,563
174,0,48,521,595
175,0,48,467,591
176,0,48,419,571
177,8,48,377,470
178,0,49,332,535
179,0,49,267,542
180,0,49,205,531
181,9,49,156,432
182,0,50,227,473
183,0,50,284,457
184,0,50,328,437
185,10,50,318,336
186,1,51,389,947
187,0,52,347,1004
188,0,52,299,983
189,0,52,244,999
190,0,52,192,979
191,2,52,118,889
192,0,53,76,940
193,0,53,49,900
194,0,53,98,870
195,0,53,170,865
196,3,53,232,794
197,0,54,328,865
198,0,54,397,853
199,0,54,453,835
200,0,54,508,815
201,4,54,483,707
202,0,55,457,754
203,0,55,398,754
204,0,55,342,767
205,5,55,266,689
206,0,56,207,767
207,0,56,143,763
208,0,56,108,735
209,6,56,80,630
210,0,57,148,675
211,0,57,200,674
212,0,57,250,683
213,0,57,315,683
214,7,57,331,584
215,0,58,320,627
216,0,58,264,618
217,0,58,203,607
218,0,58,168,583
219,8,58,146,486
220,0,59,226,536
221,0,59,290,529
222,0,59,346,542
223,9,59,401,475
224,0,60,476,518
225,0,60,491,478
226,0,60,476,444
227,10,60,444,339
