id,awards,cost,preview,effect,new_show
1,2#800,2#50,1,,
2,10#2000,2#50,1,1,
3,36#10,2#50,1,1,
4,2#100,2#50,,,
5,2#100,2#50,,,
6,2#300,2#50,,,
7,20#5,2#50,1,1,
8,2#100,2#50,,,
9,2#100,2#50,,,
10,2#100,2#50,,,
11,2#100,2#50,,,
12,2#100,2#50,,,
13,2#300,2#50,,,
14,29#8,2#50,1,,
15,2#100,2#50,,,
16,2#100,2#50,,,
17,2#100,2#50,,,
18,2#100,2#50,,,
19,2#100,2#50,,,
20,2#300,2#50,,,
21,940002#50,2#50,1,1,
22,2#100,2#50,,,
23,2#100,2#50,,,
24,2#100,2#50,,,
25,2#100,2#50,,,
26,2#300,2#50,,,
27,10#3000,2#50,1,1,
28,2#1000,2#50,1,,
29,940004#50,2#50,1,1,
30,36#20,2#50,1,1,
