id,word,ignore_case
1,做愛,
2,做爱,
3,作愛,
4,作爱,
5,自慰,
6,裝屄,
7,装屄,
8,轉法輪,
9,轉.*法.*輪,
10,转法轮,
11,转.*法.*轮,
12,雜種,
13,杂种,
14,約會強暴藥,
15,约会强暴药,
16,曰你,
17,曰GM,
18,援交,
19,幼交,
20,游戏管理员,
21,游戏发奖员,
22,遊戲管理員,
23,遊戲發獎員,
24,淫汁,
25,淫欲,
26,淫語連連,
27,淫语连连,
28,淫液,
29,淫穴,
30,淫娃,
31,淫圖,
32,淫图,
33,淫水,
34,淫情女老師,
35,淫情女老师,
36,淫女,
37,淫母,
38,淫魔,
39,淫妹,
40,淫毛,
41,淫亂電影,
42,淫亂,
43,淫乱电影,
44,淫乱,
45,淫浪,
46,淫叫,
47,淫賤,
48,淫贱,
49,淫間道,
50,淫间道,
51,淫奸,
52,淫貨,
53,淫货,
54,淫穢,
55,淫秽,
56,淫婦,
57,淫妇,
58,淫洞,
59,淫蕩,
60,淫荡,
61,淫蟲,
62,淫虫,
63,淫,
64,吟稻雁,
65,陰小撕大,
66,陰水,
67,陰囊,
68,陰門,
69,陰毛小穴,
70,陰毛,
71,陰脛,
72,陰精,
73,陰莖,
74,陰戶,
75,陰核,
76,陰蒂,
77,陰道被捅,
78,陰道,
79,陰唇,
80,陰部,
81,阴小撕大,
82,阴水,
83,阴囊,
84,阴门,
85,阴毛小穴,
86,阴毛,
87,阴胫,
88,阴精,
89,阴茎,
90,阴户,
91,阴核,
92,阴蒂,
93,阴道被捅,
94,阴道,
95,阴唇,
96,阴部,
97,一夜情迷奸,
98,搖頭玩,
99,搖頭丸,
100,摇头玩,
101,摇头丸,
102,陽物,
103,陽痿,
104,陽萎,
105,陽具,
106,陽精,
107,顔射,
108,顏射,
109,颜射,
110,亞洲床上色情,
111,亚洲床上色情,
112,血逼,
113,穴淫,
114,穴圖,
115,穴图,
116,性游戏,
117,性遊戲,
118,性息,
119,性無能,
120,性无能,
121,性網站,
122,性网站,
123,性虐待,
124,性虐,
125,性免費電影,
126,性免费电影,
127,性教官,
128,性交大賽,
129,性交大赛,
130,性交,
131,性高潮,
132,性福人生,
133,性病,
134,性愛文字,
135,性愛教育,
136,性愛電影,
137,性愛,
138,性爱文字,
139,性爱教育,
140,性爱电影,
141,性爱,
142,小穴,
143,小乳頭,
144,小乳头,
145,小嫩雞,
146,小嫩鸡,
147,小鶏鶏,
148,小雞雞,
149,小鸡鸡,
150,小逼,
151,小B樣,
152,小B样,
153,先奸後殺,
154,先奸后杀,
155,下體,
156,下体,
157,無碼影,
158,無碼片,
159,無碼電影,
160,無碼,
161,无码影,
162,无码片,
163,无码电影,
164,无码,
165,我日你,
166,我日,
167,我咧幹,
168,我咧干,
169,我靠.*我.*,
170,我靠,
171,我奸,
172,我幹,
173,我干,
174,我草,
175,我操你媽,
176,我操你妈,
177,我操你,
178,我操,
179,慰安婦,
180,慰安妇,
181,網上淫穢色情遊戲,
182,网上淫秽色情游戏,
183,玩穴,
184,玩逼,
185,外—掛,
186,外.*掛,
187,外掛,
188,外—挂,
189,外.*挂,
190,外挂,
191,外.*掛,
192,外.*挂,
193,凸我,
194,凸她,
195,凸他,
196,凸肉優,
197,凸肉优,
198,凸人也,
199,凸女也,
200,凸妳,
201,凸你,
202,舔屁眼,
203,舔奶,
204,舔菊,
205,舔雞巴,
206,舔鸡巴,
207,舔逼,
208,舔屄,
209,舔B,
210,她娘,
211,她奶奶的,
212,她馬的,
213,她马的,
214,她媽的,
215,她媽,
216,她妈的,
217,她妈,
218,它媽的,
219,它妈的,
220,他祖宗,
221,他娘的,
222,他娘,
223,他母親,
224,他母亲,
225,他吗的,
226,他馬的,
227,他马的,
228,他嗎的,
229,他媽的.*他.*的,
230,他媽的,
231,他媽,
232,他妈的.*他.*的,
233,他妈的,
234,他妈,
235,他幹,
236,他干,
237,他爹,
238,酥穴,
239,死全家,
240,死gm,
241,死gd,
242,私—服,
243,私-服,
244,私服,
245,私處,
246,私处,
247,私彩,
248,私.*服,
249,雙腿間的禁地,
250,雙乳,
251,双腿间的禁地,
252,双乳,
253,熟女之惑,
254,獸欲,
255,獸交,
256,獸奸,
257,兽欲,
258,兽交,
259,兽奸,
260,售軟體,
261,售软件,
262,售麻醉,
263,售號,
264,售号,
265,售ID,
266,手淫,
267,駛你娘,
268,駛你母,
269,駛你老師,
270,駛你老母,
271,駛你公,
272,駛你爸,
273,屎妳娘,
274,屎你娘,
275,屎,
276,驶你娘,
277,驶你母,
278,驶你老师,
279,驶你老母,
280,驶你公,
281,驶你爸,
282,食屎,
283,食撚屎,
284,食捻屎,
285,射你,
286,射了還說要,
287,射了还说要,
288,射精,
289,少女高潮,
290,少妇白洁,
291,删号,
292,刪號,
293,煞筆,
294,煞笔,
295,煞逼,
296,傻子,
297,傻鳥,
298,傻鸟,
299,傻卵,
300,傻吊,
301,傻畢,
302,傻毕,
303,傻比,
304,傻逼,
305,傻屄,
306,傻X,
307,傻B,
308,殺你一家,
309,殺你全家,
310,杀你一家,
311,杀你全家,
312,色欲,
313,色友,
314,色情小說,
315,色情小说,
316,色情小電影,
317,色情小电影,
318,色情網站,
319,色情網路小說,
320,色情网站,
321,色情网络小说,
322,色情圖片,
323,色情图片,
324,色情服務,
325,色情服务,
326,色情電影下載,
327,色情電影,
328,色情電視色情服務,
329,色情電視色情服务,
330,色情電視,
331,色情电影下载,
332,色情电影,
333,色情电视,
334,色-情,
335,色情,
336,騷穴,
337,騷貨,
338,騷婦,
339,騷逼,
340,騷B,
341,騷,
342,骚穴,
343,骚乱,
344,骚货,
345,骚妇,
346,骚逼,
347,骚B,
348,骚,
349,三水法輪,
350,三水法轮,
351,三陪女,
352,三陪,
353,三級片=>我該死,
354,三級片,
355,三级片,
356,三個代婊,
357,三個呆婊,
358,三个代婊,
359,三个呆婊,
360,三八淫,
361,賽她娘,
362,賽他娘,
363,賽妳娘,
364,賽你娘,
365,赛她娘,
366,赛他娘,
367,赛妳娘,
368,赛你娘,
369,塞你娘賽.*阿母,
370,塞你娘赛.*阿母,
371,塞你娘,
372,塞你母,
373,塞你老師,
374,塞你老师,
375,塞你老母,
376,塞你公,
377,塞你爸,
378,乳暈,
379,乳晕,
380,乳頭真紅,
381,乳頭,
382,乳头,
383,乳交,
384,乳峰,
385,乳房,
386,乳波臀浪,
387,肉欲,
388,肉穴.*MOD.*,
389,肉穴.*,
390,肉穴,
391,肉簫,
392,肉箫,
393,肉莖,
394,肉茎,
395,肉壺,
396,肉壶,
397,肉棍子,
398,肉棍,
399,肉溝,
400,肉沟,
401,肉縫,
402,肉缝,
403,肉洞,
404,肉便器,
405,肉壁,
406,肉逼,
407,肉棒,
408,日他娘,
409,日他,
410,日死你,
411,日死,
412,日批,
413,日您,
414,日你爺爺,
415,日你爷爷,
416,日你娘,
417,日你媽.*我是豬,
418,日你媽,
419,日你妈.*我是猪,
420,日你妈,
421,日你,
422,日逼,
423,日X媽,
424,日X妈,
425,日GM,
426,讓你操,
427,让你操,
428,群射,
429,群交,
430,群奸,
431,群P,
432,去她媽,
433,去她妈,
434,去他娘的,
435,去他媽,
436,去他妈,
437,去死,
438,去妳媽,
439,去妳妈,
440,去妳的,
441,去你媽的,
442,去你媽,
443,去你妈的,
444,去你妈,
445,去你的,
446,情色影片,
447,情色小說,
448,情色小说,
449,情色文學,
450,情色文学,
451,情色圖片,
452,情色图片,
453,情色貼圖,
454,情色贴图,
455,情色呻吟,
456,情色光碟,
457,情色電影,
458,情色电影,
459,情色大片,
460,情色.*,
461,情色,
462,情婦,
463,情妇,
464,翹臀嫩穴,
465,翹臀嫩逼,
466,翘臀嫩穴,
467,翘臀嫩逼,
468,强歼,
469,强奸犯,
470,强奸处女,
471,强奸,
472,强暴,
473,強制浣腸,
474,強殲,
475,強姦犯,
476,強姦處女,
477,強姦,
478,強暴,
479,槍淫少婦,
480,枪淫少妇,
481,欠日,
482,欠人騎,
483,欠人骑,
484,欠騎,
485,欠骑,
486,欠幹,
487,欠干,
488,欠操,
489,乾爽,
490,騎她,
491,騎他,
492,騎你,
493,骑她,
494,骑他,
495,骑你,
496,嫖客,
497,嫖妓,
498,嫖雞,
499,嫖鸡,
500,嫖娼,
501,屁眼,
502,噴霧迷藥,
503,噴尿,
504,噴精,
505,喷雾迷药,
506,喷尿,
507,喷精,
508,女優片,
509,女優,
510,女优片,
511,女优,
512,女馬的,
513,女馬白勺,
514,女馬ㄉ,
515,女马的,
516,女马白勺,
517,女马ㄉ,
518,女尻,
519,女幹,
520,女干,
521,女屄,
522,虐奴,
523,鳥GM,
524,鸟你,
525,鸟GM,
526,妳娘的,
527,妳馬的,
528,妳马的,
529,妳媽的,
530,妳妈的,
531,妳老母的,
532,你爺爺的,
533,你爺,
534,你爷爷的,
535,你爷,
536,你他媽,
537,你他妈,
538,你色吗,
539,你色嗎,
540,你娘的,
541,你娘,
542,你奶奶,
543,你媽了妹,
544,你媽的B,
545,你媽的,
546,你媽比,
547,你媽逼,
548,你媽B的,
549,你媽,
550,你妈了妹,
551,你妈的B,
552,你妈的,
553,你妈比,
554,你妈逼,
555,你妈B的,
556,你妈,
557,你姥姥的,
558,你姥,
559,你老味,
560,你老母,
561,你二大爺,
562,你二大爷,
563,你大爺,
564,你大爷,
565,你爸,
566,伱媽,
567,伱妈,
568,嫩穴肉縫,
569,嫩穴肉缝,
570,嫩穴,
571,嫩奶,
572,嫩模,
573,嫩縫,
574,嫩缝,
575,嫩逼,
576,嫩屄,
577,嫩BB,
578,嫩b,
579,内射美妇,
580,内射,
581,內射美婦,
582,內射,
583,嫐屄,
