id,next_id,is_first,map_id,plot_id,chapter_icon,unlock,award
1,2,1,1,5012,fairy_tale_bg_jq_sl_png,2,2#20
2,3,0,1,5042,fairy_tale_bg_jq_sl_png,5,2#20
3,4,0,1,5062,fairy_tale_bg_jq_sl_png,10,2#20
4,-1,0,1,5094,fairy_tale_bg_jq_sl_png,16,2#20
5,6,1,2,5293,fairy_tale_bg_jq_gb_png,2,2#20
6,7,0,2,5330,fairy_tale_bg_jq_gb_png,4,2#20
7,8,0,2,5353,fairy_tale_bg_jq_gb_png,8,2#20
8,9,0,2,5370,fairy_tale_bg_jq_gb_png,12,2#20
9,-1,0,2,5395,fairy_tale_bg_jq_gb_png,16,2#20
10,11,1,3,4584,fairy_tale_bg_jq_png,2,2#20
11,12,0,3,4631,fairy_tale_bg_jq_png,4,2#20
12,13,0,3,4703,fairy_tale_bg_jq_png,8,2#20
13,14,0,3,4772,fairy_tale_bg_jq_png,12,2#20
14,-1,0,3,4803,fairy_tale_bg_jq_png,16,2#20
15,16,1,4,5141,fairy_tale_bg_jq_hb_png,2,2#20
16,17,0,4,5181,fairy_tale_bg_jq_hb_png,4,2#20
17,18,0,4,5203,fairy_tale_bg_jq_hb_png,8,2#20
18,19,0,4,5230,fairy_tale_bg_jq_hb_png,12,2#20
19,-1,0,4,5264,fairy_tale_bg_jq_hb_png,16,2#20
20,21,1,5,4850,fairy_tale_bg_jq_xrj_png,2,2#20
21,22,0,5,4877,fairy_tale_bg_jq_xrj_png,4,2#20
22,23,0,5,4909,fairy_tale_bg_jq_xrj_png,8,2#20
23,24,0,5,4944,fairy_tale_bg_jq_xrj_png,12,2#20
24,-1,0,5,4974,fairy_tale_bg_jq_yd_png,16,2#20
25,-1,1,6,4518,fairy_tale_bg_jq_slmj_png,20,175#1
