id,type,awards,weight,num
1,1,4201018#1,100,14
2,1,36#3,100,5
3,1,29#2,100,5
4,1,20#1,100,5
5,1,25#1,100,10
6,1,940002#5,100,10
7,1,940004#5,100,10
8,1,973001#2,100,10
9,1,974001#2,100,10
10,1,975001#2,100,10
11,1,976001#2,100,10
12,1,4102007#1,100,1
13,2,4202010#1,100,20
14,2,36#5,100,10
15,2,29#3,100,10
16,2,20#2,100,10
17,2,25#3,100,5
18,2,940004#5,100,10
19,2,975001#5,100,8
20,2,976001#5,100,10
21,2,73#2,100,10
22,2,170#2,100,5
23,2,4102007#1,100,1
24,2,4101036#1,100,1
