id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
22020509,752013,,-1,400,10,,,5,4,2.5,6,,400,300,500,500,400,200,400,300,0,,400,,,,,5|5|5|5
22020510,754010,,-1,400,10,,,7,3.5,2.5,6.5,,400,300,500,500,400,0,500,300,0,,400,,,,,5|5|5|5
22030101,754002,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,50,0,0,0,,200,,,,,0|0|0|0
22030102,752005,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,50,0,0,0,,200,,,,,0|0|0|0
22030103,752007,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,50,0,0,0,,200,,,,,0|0|0|0
22030104,756001,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,50,0,0,0,,200,,,,,0|0|0|0
22030105,752010,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,50,0,0,0,,200,,,,,0|0|0|0
22030106,755002,,-1,200,10,,,2,1.5,1,2,,0,150,200,200,100,50,0,0,0,,200,,,,,0|0|0|0
22030201,756001,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030202,752010,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030203,755002,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030204,755005,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030205,751012,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030206,756005,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030207,754009,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030208,754014,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030209,752007,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030210,754008,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
