id,day_limit,label,mission_detail,type,awards,award2,cost,limit,vip_limit
1,1,4,-1,1,1#10000|10#20,1,,1,0
2,1,4,-1,2,116#1|36#2,1,2#200,1,0
3,1,4,-1,4,10#200|36#4,1,2#400,1,0
4,2,4,-1,1,9#20000|10#20,1,,1,0
5,2,4,-1,2,1#300000|36#2,1,2#200,1,0
6,2,4,-1,5,115#1|14#3000,1,2#600,1,0
7,3,4,-1,1,1#20000|9#30000,1,,1,0
8,3,4,-1,2,115#2|36#2,1,2#200,1,0
9,3,4,-1,6,43#30|36#4,1,2#600,1,1
10,4,4,-1,1,9#50000|940003#20,1,,1,0
11,4,4,-1,3,35#2|20#1,1,2#300,1,0
12,4,4,-1,6,116#1|20#2,1,2#600,1,1
13,5,4,-1,1,1#20000|2#20,1,,1,0
14,5,4,-1,3,10#500|25#6,1,2#300,1,0
15,5,4,-1,7,25#8|35#25,1,2#700,1,2
16,6,4,-1,1,1#20000|14#50,1,,1,0
17,6,4,-1,4,20#1|14#1000,1,2#400,1,0
18,6,4,-1,7,115#1|14#4200,1,2#700,1,2
19,7,4,-1,1,9#20000|2#20,1,,1,0
20,7,4,-1,4,10#500|36#4,1,2#400,1,0
21,7,4,-1,8,20#1|940002#50,1,2#1000,1,3
