id,contents,go_to_id,delay_time,switch,priority,special_treatment,remark
1,-1,6,28800,-1,1,,
2,-1,7,0,-1,1,,
3,-1,16,28800,-1,2,1,
4,-1,14,7200,-1,1,,
5,-1,17,0,-1,1,,
6,-1,35,0,-1,1,,
7,-1,36,0,,,,
8,-1,32,0,-1,3,1,
9,-1,12,480,-1,2,,
10,-1,30,0,,,1,
11,-1,15,240,-1,1,,
12,-1,2,0,-1,4,,
13,-1,34,0,-1,3,,
14,-1,6,300,-1,2,,
15,-1,33,0,-1,2,1,
16,-1,33,0,-1,1,1,
17, ,25,2400,-1,5,1,
18,-1,3,3600,-1,1,1,
19,-1,15,1800,-1,1,,
20,-1,15,0,-1,2,,
21,-1,135,43200,-1,3,,
22,-1,135,3600,-1,6,,
