id,order_num,gold,all_gold,factor,picture
1,1,0,0,10000,guild_territory_icon05_png
2,1,12000000,12000000,11000,guild_territory_icon05_png
3,2,24000000,36000000,12000,guild_territory_icon05_png
4,2,48000000,84000000,13000,guild_territory_icon05_png
5,3,96000000,180000000,14000,guild_territory_icon05_png
6,3,96000000,276000000,15000,guild_territory_icon05_png
7,4,144000000,420000000,15000,guild_territory_icon05_png
8,4,216000000,636000000,15500,guild_territory_icon05_png
9,5,324000000,960000000,15500,guild_territory_icon05_png
10,5,486000000,1446000000,16000,guild_territory_icon05_png
