id,rank,season_awards,rank_front,awards_1,awards_2,awards_3
1,1,4#2240|1#1000000,1,4#2240|1#1000000,4#2464|1#1100000,4#2688|1#1200000
2,2,4#2170|1#900000,2,4#2170|1#900000,4#2387|1#990000,4#2604|1#1080000
3,3,4#2100|1#800000,3,4#2100|1#800000,4#2310|1#880000,4#2520|1#960000
4,10,4#1890|1#700000,4-10,4#1890|1#700000,4#2079|1#770000,4#2268|1#840000
5,20,4#1750|1#600000,11-20,4#1750|1#600000,4#1925|1#660000,4#2100|1#720000
6,50,4#1610|1#500000,21-50,4#1610|1#500000,4#1771|1#550000,4#1932|1#600000
7,100,4#1400|1#400000,51-100,4#1400|1#400000,4#1540|1#440000,4#1680|1#480000
8,200,4#1260|1#300000,101-200,4#1260|1#300000,4#1386|1#330000,4#1512|1#360000
9,500,4#1120|1#250000,201-500,4#1120|1#250000,4#1232|1#275000,4#1344|1#300000
10,1000,4#980|1#200000,501-1000,4#980|1#200000,4#1078|1#220000,4#1176|1#240000
11,3000,4#840|1#150000,1001-3000,4#840|1#150000,4#924|1#165000,4#1008|1#180000
12,999999,4#700|1#100000,3001+,4#700|1#100000,4#770|1#110000,4#840|1#120000
