id,table_ids,name
832002,32002,-1
843004,43004|543004,-1
844003,44003|544003,-1
854004,54004|654011|754007,-1
852004,52004|652014|752009,-1
842006,42006|542006,-1
821004,21004,-1
812001,12001,-1
835001,35001,-1
834001,34001,-1
843002,43002|543002|653013,-1
852010,52010|652002|752006,-1
836001,36001,-1
832004,32004,-1
821002,21002,-1
846001,46001|546001,-1
841002,41002|541002,-1
852006,52006|651009|752003,-1
851004,51004|651003|751002,-1
851006,51006|651016|751009,-1
842002,42002|542002,-1
852001,52001|652013|752008,-1
824002,24002,-1
851003,51003|651002|751001,-1
846003,46003|546003|656012,-1
853010,53010|652008|753006,-1
853008,53008|652006|753004,-1
851009,51009|651006|751004,-1
834004,34004,-1
824001,24001,-1
852009,52009|652001|752005,-1
814001,14001,-1
855003,55003|655014|755004,-1
832001,32001,-1
854006,54006|653003|754005,-1
812003,12003,-1
821003,21003,-1
853003,53003|652003|753001,-1
853004,53004|653015|753008,-1
832003,32003,-1
844007,44007|544007|654015,-1
822004,22004,-1
824003,24003,-1
822003,22003,-1
853011,53011|653017|753010,-1
854001,54001|652009|754001,-1
812002,12002,-1
856002,56002|656011|756002,-1
845001,45001|545001,-1
853006,53006|652005|753003,-1
833002,33002,-1
834003,34003,-1
831003,31003,-1
844006,44006|544006,-1
845003,45003|545003|655012,-1
811001,11001,-1
813001,13001,-1
854003,54003|653001|754003,-1
842007,42007|542007,-1
814002,14002,-1
843001,43001|543001,-1
855005,55005|655013|755003,-1
851008,51008|651017|751010,-1
854007,54007|654013|754008,-1
841003,41003|541003|651013,-1
822001,22001,-1
844005,44005|544005|654012,-1
813003,13003,-1
833005,33005,-1
834005,34005,-1
851007,51007|651005|751003,-1
841006,41006|541006,-1
856003,56003|656013|756003,-1
822002,22002,-1
844002,44002|544002,-1
856004,56004|656014|756004,-1
854010,54010|654017|754010,-1
811002,11002,-1
823004,23004,-1
856001,56001|653006|756001,-1
833003,33003,-1
851010,51010|651011|751007,-1
855002,55002|653005|755001,-1
842003,42003|542003|652015,-1
831005,31005,-1
854009,54009|653004|754006,-1
851005,51005|651004|751006,-1
813002,13002,-1
814003,14003,-1
845002,45002|545002,-1
811003,11003,-1
831004,31004,-1
844004,44004|544004,-1
843003,43003|543003,-1
843007,43007|543007|653014,-1
841007,41007|541007,-1
843005,43005|543005,-1
833004,33004,-1
852003,52003|651007|752001,-1
821001,21001,-1
852008,52008|651010|752004,-1
842001,42001|542001,-1
842008,42008|542008|652016,-1
834002,34002,-1
854002,54002|652010|754002,-1
842005,42005|542005,-1
852002,52002|652011|752007,-1
841005,41005|541005,-1
853002,53002|653011|753007,-1
841004,41004|541004|651014,-1
853009,53009|652007|753005,-1
855004,55004|655011|755002,-1
831002,31002,-1
844001,44001|544001,-1
823001,23001,-1
823003,23003,-1
841008,41008|541008|651012,-1
852007,52007|652017|752010,-1
851002,51002|651015|751008,-1
843006,43006|543006|653012,-1
823002,23002,-1
846002,46002|546002,-1
844008,44008|544008|654014,-1
852005,52005|651008|752002,-1
842004,42004|542004|652012,-1
832005,32005,-1
853005,53005|652004|753002,-1
833001,33001,-1
824004,24004,-1
841001,41001|541001,-1
851001,51001|651001|751005,-1
831001,31001,-1
843008,43008|543008,-1
854008,54008|654016|754009,-1
854005,54005|653002|754004,-1
853001,53001|653016|753009,-1
852011,52011|652018|752011,-1
851011,51011|651018|751011,-1
853007,53007|653018|753011,-1
855006,55006|655015|755005,-1
856005,56005|656015|756005,-1
