id,name,show_ids
11001,-1,11001
11002,-1,11002
11003,-1,11003
12001,-1,12001
12002,-1,12002
12003,-1,12003
13001,-1,13001
13002,-1,13002
13003,-1,13003
14001,-1,14001
14002,-1,14002
14003,-1,14003
21001,-1,21001
21002,-1,21002
21003,-1,21003
21004,-1,21004
22001,-1,22001
22002,-1,22002
22003,-1,22003
22004,-1,22004
23001,-1,23001
23002,-1,23002
23003,-1,23003
23004,-1,23004
24001,-1,24001
24002,-1,24002
24003,-1,24003
24004,-1,24004
31001,-1,31001
31002,-1,31002
31003,-1,31003
31004,-1,31004
31005,-1,31005
32001,-1,32001
32002,-1,32002
32003,-1,32003
32004,-1,32004
32005,-1,32005
33001,-1,33001
33002,-1,33002
33003,-1,33003
33004,-1,33004
33005,-1,33005
34001,-1,34001
34002,-1,34002
34003,-1,34003
34004,-1,34004
34005,-1,34005
35001,-1,35001
36001,-1,36001
41001,-1,41001
41002,-1,41002
41003,-1,41003|651013
41004,-1,41004|651014
41005,-1,41005
41006,-1,41006
41007,-1,41007
41008,-1,41008|651012
42001,-1,42001
42002,-1,42002
42003,-1,42003|652015
42004,-1,42004|652012
42005,-1,42005
42006,-1,42006
42007,-1,42007
42008,-1,42008|652016
43001,-1,43001
43002,-1,43002|653013
43003,-1,43003
43004,-1,43004
43005,-1,43005
43006,-1,43006|653012
43007,-1,43007|653014
43008,-1,43008
44001,-1,44001
44002,-1,44002
44003,-1,44003
44004,-1,44004
44005,-1,44005|654012
44006,-1,44006
44007,-1,44007|654015
44008,-1,44008|654014
45001,-1,45001
45002,-1,45002
45003,-1,45003|655012
46001,-1,46001
46002,-1,46002
46003,-1,46003|656012
51001,-1,51001|651001|751005
51002,-1,51002|651015|751008
51003,-1,51003|651002|751001
51004,-1,51004|651003|751002
51005,-1,51005|651004|751006
51006,-1,51006|651016|751009
51007,-1,51007|651005|751003
51008,-1,51008|651017|751010
51009,-1,51009|651006|751004
51010,-1,51010|651011|751007
52001,-1,52001|652013|752008
52002,-1,52002|652011|752007
52003,-1,52003|651007|752001
52004,-1,52004|652014|752009
52005,-1,52005|651008|752002
52006,-1,52006|651009|752003
52007,-1,52007|652017|752010
52008,-1,52008|651010|752004
52009,-1,52009|652001|752005
52010,-1,52010|652002|752006
53001,-1,53001|653016|753009
53002,-1,53002|653011|753007
53003,-1,53003|652003|753001
53004,-1,53004|653015|753008
53005,-1,53005|652004|753002
53006,-1,53006|652005|753003
53008,-1,53008|652006|753004
53009,-1,53009|652007|753005
53010,-1,53010|652008|753006
53011,-1,53011|653017|753010
54001,-1,54001|652009|754001
54002,-1,54002|652010|754002
54003,-1,54003|653001|754003
54004,-1,54004|654011|754007
54005,-1,54005|653002|754004
54006,-1,54006|653003|754005
54007,-1,54007|654013|754008
54008,-1,54008|654016|754009
54009,-1,54009|653004|754006
55002,-1,55002|653005|755001
55004,-1,55004|655011|755002
55005,-1,55005|655013|755003
56001,-1,56001|653006|756001
56002,-1,56002|656011|756002
56003,-1,56003|656013|756003
