id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
100003003,-1,-1,-1,-1,,0,55,1,,,,18,3,1191001|1034004,,1,1,,,,,1,,1190001,,,,,,,,,,,,,skill_icon_251,3,,,,,,,,,
100003101,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,,215|216#763#1403,,,,,,,,,,,,,,,1,,skill_icon_0,,1044,,,,,,,,
100003102,-1,-1,-1,-1,,0,1,0,,,,18,4,1019084|1026045|1025042,,,,,#762,217|218#764|765|766|767|768|769|770#1404|1405,,1,,1028102,,,,,,,,,,,,,skill_icon_5200901,,1045,,,,,,,,
100003103,-1,-1,-1,-1,,0,2,1,,,,1,,1007006|1028019,,,,,,,,,,,,,,,,,,,,,,,skill_icon_5200903,3,,,,,,,,,
100003201,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,705#717#784#951#1018#1357,706#715#786#949#1015#1355,,,,,,,,,,,,,,,,,skill_icon_0,,1044,,,,,,,,
100003202,-1,-1,-1,-1,,0,1,0,,,,18,4,1019155|1026045,,,,,708##785#,709#716#787|788#950#1016|1017#1356,,,,,,,,,,,,,,,,,skill_icon_241,,1042,,,,,,,,
100003203,-1,-1,-1,-1,,0,46,1,,,,1,,1023022,,,,,,,,,,,,,,,,,,,,,,,skill_icon_244,3,,,,,,,,,
100003301,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,#797#952,728|729#798#953#1222|1223|1230,,,,,,,,,,,,,,,1#0#0#0,,skill_icon_0,,1044#1073,,,,,,,,
100003302,-1,-1,-1,-1,,0,1,0,,,,18,4,1019084|1184002|1183002,,,,,,749#799|800#954|955#1224|1225|1226|1227,,,,,,,,,,,,,,,,,skill_icon_246,,1014#1022,,#2,#325|725,,#1#1#1,,,
100003303,-1,-1,-1,-1,,0,52,1,,,,18,2,1185005,,,,,,,,1,,1021060|1028164,,,,,,,,,,,,,skill_icon_249,,,,,,,,,,
100003401,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,612,614#618#754|755|756#938#1253#1562|1563,,,,,,,,,,,,,,,,,skill_icon_0,,1041,,#2#2#2,#290|725#200|725#200|725,,,,,
100003402,-1,-1,-1,-1,,0,1,0,,,,17,,1019121,,,,,615|617#619|620,616##757|758#939|940#1254|1255#1564|1565|1566,,1,,1014021|1028054,,,,,,,,,,,,,skill_icon_225,,1016,,2##2,550|725##200|725,,2##1###1,,,
100003403,-1,-1,-1,-1,,0,4,1,,,,13,,1031021,,1,1,1,612,614#618#754|755|756#938#1253#1562|1563,,,,,,,,,,,,,,,2,,skill_icon_228,2,1041,,#2#2#2,#290|725#200|725#200|725,,,,,
100003501,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,#571#723,518#572#724,,,,,,,,,,,,,,,0,,skill_icon_0,,1032,,,,,,,,
100003502,-1,-1,-1,-1,,0,1,0,,,,18,4,1019129|1028026|1043002,,,1,,,519#573#725,,,,,,,,,,,,,,,,,skill_icon_192,,1002,,,,,,,,
100003503,-1,-1,-1,-1,,0,5,1,,,,1,,1021039,,,,,,,,,,,,,,,,,,,,,,,skill_icon_194,3,,,,,,,,,
100003601,-1,-1,-1,-1,,0,1,0,,,,18,3,1019118,,,,,211#365#495#563,212#366#494#564,,,,,,,,,,,,,,,0,,skill_icon_0,,1020###1077,,,,,,,,
100003602,-1,-1,-1,-1,,0,1,0,,,,13,,1019021|1018012,,,,,###565|566,213|214#367|368#496|497#567,,,,,,,,,,,,,,,,,skill_icon_201,,1021###1078,1,###2,###340|725,,###1,,,
100003603,-1,-1,-1,-1,,0,2,1,,,,24,,1025003|1018008,,,,,,,,,,,,,,,,,,,,,,,skill_icon_204,3,,,,,,,,,
100003701,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,##973###1384,844#896|897#968,,,,,,,,,,,,,,,,,skill_icon_0,,1086#1090,,,,,,,,
100003702,-1,-1,-1,-1,,0,1,0,,,,18,4,1019101|1207003|1208003,,,,,,876|877|873|845|846#898|899|900|901#969|970|971#1072|1070|1071#1383|1385,,1,,1209003,,,,,,,,,,,,,skill_icon_267,,1087#1091,,2,-100|0,,1#1#1#1,,,
100003703,-1,-1,-1,-1,,65501617,66,1,,,,1,,1028017|1009008|1214003|1215003,,,,,,,,,,,,,,,,,,,,,,,skill_icon_270,3,,,,,,,,,
100003801,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,#665#692#771#960,644#668#691#772#962#1482|1483,,,,,,,,,,,,,,,,,skill_icon_0,,1048,,,,,,,,
100003802,-1,-1,-1,-1,,0,1,0,,,,18,3,1019091|1164001|1165001|1166001|1167001,,,,,#666|667,645|646#669#693|694|695|696#773|774#963|964|965|966#1484|1485|1487|1488,,,,,,,,,,,,,,,,,skill_icon_229,,1016,,,,,#####1,#skill01|skill01|skill02|skill02|skill02|skill02#skill01|skill01|skill02|skill02|skill02|skill02#skill01|skill01|skill02|skill02|skill02|skill02#skill01|skill01|skill02|skill02|skill02|skill02#skill01|skill01|skill02|skill02|skill02|skill02,,
100003803,-1,-1,-1,-1,,0,43,1,,,,13,,1168002,,1,,,,647,,,,,,,,,,,,,,,,,skill_icon_232,2,,,,,,,attack#skill01#revenge#revenge#revenge#attack,,
100003901,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,###838#867,480#527#574#839#868,,,,,,,,,,,,,,,0#0#1,,skill_icon_0,,1008,,,,,,,,
100003902,-1,-1,-1,-1,,0,1,0,,,,18,4,1127001|1128001|1019075,,,1,,481,482#528#575|576#840#869|870|871,,,,,,,,,,,,,,,,,skill_icon_223,,1027,,,,,###1,,,
100003903,-1,-1,-1,-1,,0,27,1,,,,1,,1013018|1012015,,,,,,,,,,,,,,,,,,,,,,,skill_icon_216,2,,,,,,,,,
100004001,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,,852,,,,,,,,,,,,,,,,,skill_icon_0,,1088,,,,,,,,
100004002,-1,-1,-1,-1,,0,1,0,,,,18,6,1216002,,,,,,888|854|893|894|895,,13,,1217001,,,,,,,,,,,,,skill_icon_263,,1089,,,,,1,,,
100004003,-1,-1,-1,-1,,0,42,1,,,,13,,1218001|1136009,,1,,,,850,,1,,1023010,,,,,,,,,,,,,skill_icon_266,,,,,,,,#attack01,,
100002904,-1,-1,-1,-1,,0,49,1,,,,1,,1028128|1013003,,,,,,,,,,,,,,,,,,,,,,,skill_icon_245,,,,,,,,,,
100004101,-1,-1,-1,-1,,0,1,0,,,,12,,1019121,,,,,283,284,,,,,,,,,,,,,,,0,,skill_icon_0,,1003,,,,,,,,
100004102,-1,-1,-1,-1,,0,1,0,,,,18,2,1019072|1015003,,,,,,285|286,,,,,,,,,,,,,,,,,skill_icon_116,,1032,,,,,,,,
