id,name,awards,dropbox_ids
10001,-1,2#900|8#750,
10002,-1,2#350|8#250,
10003,-1,8#50,
10004,-1,2#250|8#250,
10005,-1,2#500|2#50|8#500,
10006,-1,2#1000|2#200|8#1000,
10109,-1,2#1250|2#250|8#1250,
10007,-1,2#2500|2#750|8#2500,
10088,-1,2#4000|2#1400|8#4000,
10008,-1,2#5000|2#2000|8#5000,
10009,-1,940002#50|9#550000|35#6|8#100,
10010,-1,35#18|2#1360|8#250,
10011,-1,36#11|9#5500000|8#500,
10012,-1,20#5|1#33000000|35#3|8#1500,
10013,-1,20#11|2#5500|8#2500,
10014,-1,9#3300000|2#550|8#250,
10015,-1,9#11000000|2#1100|8#500,
10112,-1,2#40|940002#8,
10016,-1,2#330|36#6|14#6000|8#250,
10017,-1,2#660|36#12|1#18000000|9#18000000|8#500,
10018,-1,2#1980|36#30|956099#50|8#1500,
10019,-1,2#3300|36#50|4204005#1|8#2500,
10020,-1,2#4620|198#15000|199#2500|8#3500,
10089,-1,2#5280|4102008#1|1#75000000|9#75000000|8#4000,
10021,-1,2#6600|4101008#1|8#5000,
10111,-1,2#20|940002#3,
10022,-1,1#4000000|36#10|8#500,
10023,-1,9#4000000|36#20|8#1000,
10024,-1,940002#150|940004#50|8#2500,
10025,-1,20#20|2#3850|8#3500,
10200,-1,93#1|2#7777|29#10|8#4000,
10201,-1,93#2|2#8888|8#5000,
10091,-1,2#20|940002#2,
10092,-1,2#50|940002#10|8#50,
10093,-1,2#150|36#2|115#4|8#100,
10094,-1,2#300|14#350|1#3000000|115#6|8#250,
10095,-1,2#300|14#350|9#3000000|116#6|8#250,
10096,-1,2#300|14#700|10#4000|8#250,
10097,-1,2#300|4204003#1|8#250,
10275,-1,2#300|198#600|199#180|29#2|8#250,
10026,-1,8#5000|2#5500|189#40|200#500,
10027,-1,8#3500|2#3850|189#28|200#350,
10028,-1,8#1500|2#1650|189#12|200#150,
10029,-1,8#500|2#550|189#4|200#50,
10030,-1,8#250|2#275|189#2|200#25,
10068,-1,8#250|2#275|28#3|20#2,
10031,-1,8#5000|2#5500|247#100|20#28,
10032,-1,8#3500|2#3850|247#70|20#20,
10033,-1,8#1500|2#1650|247#30|20#9,
10034,-1,8#1000|2#1100|247#20|20#6,
10036,-1,8#250|2#275|247#5|20#1|29#1,
10069,-1,2#275|8#250|28#3|20#2,
10078,-1,8#5000|2#10000|114#600|35#150|20#10,
10079,-1,8#3500|2#7000|114#400|35#100|20#7,
10080,-1,8#1500|2#3000|114#160|35#45|20#3,
10081,-1,8#500|2#1000|114#50|35#15|20#1,
10082,-1,8#250|2#500|114#30|35#8|20#1,
10083,-1,8#250|2#275|36#5|194#5,
10149,-1,2#20|9#10000,
10150,-1,2#20|1#10000,
10151,-1,2#20|34#1,
10152,-1,2#20|10#20,
10153,-1,2#20|35#1,
10154,-1,2#20|1#40000,
10155,-1,2#20|10#50,
10156,-1,8#50|2#50|36#3,
10157,-1,8#100|2#100|940002#50,
10158,-1,8#500|2#500|36#15|10#4000,
10159,-1,8#50|2#50|36#3,
10160,-1,8#250|2#250|36#8|115#6,
10161,-1,8#500|2#500|36#15|115#12,
10162,-1,8#50|2#50|36#3,
10163,-1,8#250|2#250|36#8|116#6,
10164,-1,8#1000|2#1000|20#12|10#6000,
