id,group,point,awards
1001,1,30,314#40|315#20
1002,1,70,314#60|315#25
1003,1,120,314#80|315#30
1004,1,170,314#100|315#35
1005,1,230,314#120|315#40
1006,1,330,314#140|315#45
1007,1,450,314#160|315#50
1008,1,600,314#180|315#60
1009,1,700,314#200|315#70
1010,1,800,314#220|315#80
1011,1,900,314#240|315#90
1012,1,1000,314#260|315#100
1013,1,1100,314#280|315#110
1014,1,1200,314#300|315#120
1015,1,1300,314#320|315#130
1016,1,1400,314#340|315#140
2001,2,30,314#40|315#20
2002,2,70,314#60|315#25
2003,2,120,314#80|315#30
2004,2,170,314#100|315#35
2005,2,230,314#120|315#40
2006,2,330,314#140|315#45
2007,2,450,314#160|315#50
2008,2,600,314#180|315#60
2009,2,700,314#200|315#70
2010,2,800,314#220|315#80
2011,2,900,314#240|315#90
2012,2,1000,314#260|315#100
2013,2,1100,314#280|315#110
2014,2,1200,314#300|315#120
2015,2,1300,314#320|315#130
2016,2,1400,314#340|315#140
3001,3,30,314#40|315#20
3002,3,70,314#60|315#25
3003,3,120,314#80|315#30
3004,3,170,314#100|315#35
3005,3,230,314#120|315#40
3006,3,330,314#140|315#45
3007,3,450,314#160|315#50
3008,3,600,314#180|315#60
3009,3,700,314#200|315#70
3010,3,800,314#220|315#80
3011,3,900,314#240|315#90
3012,3,1000,314#260|315#100
3013,3,1100,314#280|315#110
3014,3,1200,314#300|315#120
3015,3,1300,314#320|315#130
3016,3,1400,314#340|315#140
4001,4,30,314#40|315#20
4002,4,70,314#60|315#25
4003,4,120,314#80|315#30
4004,4,170,314#100|315#35
4005,4,230,314#120|315#40
4006,4,330,314#140|315#45
4007,4,450,314#160|315#50
4008,4,600,314#180|315#60
4009,4,700,314#200|315#70
4010,4,800,314#220|315#80
4011,4,900,314#240|315#90
4012,4,1000,314#260|315#100
4013,4,1100,314#280|315#110
4014,4,1200,314#300|315#120
4015,4,1300,314#320|315#130
4016,4,1400,314#340|315#140
