id,item,cost,desc
1,6237#1,170#80,-1
2,6503#1,170#80,-1
3,6239#1,170#80,-1
4,6238#1,170#80,-1
5,6509#1,170#80,-1
6,6629#1,170#80,-1
7,6635#1,170#80,-1
8,6641#1,170#80,-1
9,6515#1,170#80,-1
10,6240#1,170#80,-1
11,6527#1,170#80,-1
12,6521#1,170#80,-1
13,6241#1,170#80,-1
14,6242#1,170#80,-1
15,6647#1,170#80,-1
16,6653#1,170#80,-1
17,6659#1,170#80,-1
18,6243#1,170#80,-1
19,6533#1,170#80,-1
20,6245#1,170#80,-1
21,6244#1,170#80,-1
22,6539#1,170#80,-1
23,6665#1,170#80,-1
24,6671#1,170#80,-1
25,6677#1,170#80,-1
26,6545#1,170#80,-1
27,6246#1,170#80,-1
28,6557#1,170#80,-1
29,6551#1,170#80,-1
30,6563#1,170#80,-1
31,6683#1,170#80,-1
32,6247#1,170#80,-1
33,6248#1,170#80,-1
34,6599#1,170#80,-1
35,6617#1,170#80,-1
36,6611#1,170#80,-1
37,6605#1,170#80,-1
38,6623#1,170#80,-1
39,6695#1,170#80,-1
40,6249#1,170#80,-1
41,6419#1,170#80,-1
42,6569#1,170#80,-1
43,6587#1,170#80,-1
44,6581#1,170#80,-1
45,6575#1,170#80,-1
46,6593#1,170#80,-1
47,6689#1,170#80,-1
48,6250#1,170#80,-1
49,6425#1,170#80,-1
