id,out_put,stay_max,update
1,203#100,50,1#50000|204#50
2,203#101,51,1#200000|204#200
3,203#102,51,1#350000|204#350
4,203#103,52,1#500000|204#500
5,203#104,52,1#650000|204#650
6,203#105,53,1#800000|204#800
7,203#106,53,1#950000|204#950
8,203#107,54,1#1100000|204#1100
9,203#108,54,1#1250000|204#1250
10,203#109,55,1#1400000|204#1400
11,203#110,55,1#1550000|204#1550
12,203#111,56,1#1700000|204#1700
13,203#112,56,1#1850000|204#1850
14,203#113,57,1#2000000|204#2000
15,203#114,57,1#2150000|204#2150
16,203#115,58,1#2300000|204#2300
17,203#116,58,1#2450000|204#2450
18,203#117,59,1#2600000|204#2600
19,203#118,59,1#2750000|204#2750
20,203#119,60,1#2900000|204#2900
21,203#120,60,1#3050000|204#3050
22,203#121,61,1#3200000|204#3200
23,203#122,61,1#3350000|204#3350
24,203#123,62,1#3500000|204#3500
25,203#124,62,1#3650000|204#3650
26,203#125,63,1#3800000|204#3800
27,203#126,63,1#3950000|204#3950
28,203#127,64,1#4100000|204#4100
29,203#128,64,1#4250000|204#4250
30,203#129,65,1#4400000|204#4400
31,203#130,65,1#4550000|204#4550
32,203#131,66,1#4700000|204#4700
33,203#132,66,1#4850000|204#4850
34,203#133,67,1#5000000|204#5000
35,203#134,67,1#5150000|204#5150
36,203#135,68,1#5300000|204#5300
37,203#136,68,1#5450000|204#5450
38,203#137,69,1#5600000|204#5600
39,203#138,69,1#5750000|204#5750
40,203#139,70,1#5900000|204#5900
41,203#140,70,1#6050000|204#6050
42,203#141,71,1#6200000|204#6200
43,203#142,71,1#6350000|204#6350
44,203#143,72,1#6500000|204#6500
45,203#144,72,1#6650000|204#6650
46,203#145,73,1#6800000|204#6800
47,203#146,73,1#6950000|204#6950
48,203#147,74,1#7100000|204#7100
49,203#148,74,1#7250000|204#7250
50,203#149,75,1#7400000|204#7400
