id,mission_desc,complete_value,award,repeat_times,go_window,go_params,rank
1,-1,1,163#50,1,,,1
2,-1,3,163#50,1,,,2
3,-1,7,163#50,1,,,3
4,-1,10,163#50,1,,,4
5,-1,14,163#50,1,,,5
6,-1,15000000,163#100,1,slot_window,,6
7,-1,2000,163#100,1,slot_window,,7
8,-1,12000000,163#100,1,slot_window,,8
9,-1,40,163#50,5,gamble_window,type:1,9
10,-1,40,163#200,5,summon_window,,10
11,-1,10,163#150,5,prophet_window,,11
12,-1,300,163#50,4,activity_window,activity_type:2,12
13,-1,5,163#150,3,summon_window,,13
14,-1,2,163#200,2,shenxue_window,,14
15,-1,1,163#400,1,slot_window,,15
