id,desc,level,level_num,point,season_awards,front_num,back_num,pet_num,hide_num,inherit_point
1,-1,1,Ⅴ,0,2#500|14#10000|16#100|940002#25,0,0,1,0,0
2,-1,1,Ⅳ,100,2#650|14#11000|16#200|940002#30,0,0,1,0,100
3,-1,1,Ⅲ,200,2#800|14#12000|16#300|940002#35,0,0,1,0,200
4,-1,1,Ⅱ,300,2#950|14#13000|16#400|940002#40,0,0,1,0,300
5,-1,1,Ⅰ,400,2#1100|14#14000|16#500|940002#45,0,0,1,0,350
6,-1,2,Ⅴ,500,2#1250|14#15000|16#600|940002#50,2,4,2,0,400
7,-1,2,Ⅳ,600,2#1400|14#16000|16#700|940002#55,2,4,2,0,425
8,-1,2,Ⅲ,700,2#1550|14#17000|16#800|940002#60,2,4,2,0,450
9,-1,2,Ⅱ,800,2#1700|14#18000|16#900|940002#65,2,4,2,0,475
10,-1,2,Ⅰ,900,2#1850|14#19000|16#1000|940002#70,2,4,2,0,500
11,-1,3,Ⅴ,1000,2#2000|14#20000|16#1100|940002#75,4,8,3,1,525
12,-1,3,Ⅳ,1100,2#2150|14#22000|16#1200|940002#80,4,8,3,1,550
13,-1,3,Ⅲ,1200,2#2300|14#24000|16#1300|940002#85,4,8,3,1,575
14,-1,3,Ⅱ,1300,2#2450|14#26000|16#1400|940002#90,4,8,3,1,600
15,-1,3,Ⅰ,1400,2#2600|14#28000|16#1500|940002#100,4,8,3,1,625
16,-1,4,Ⅴ,1500,2#2800|14#30000|16#1600|940002#110,8,16,5,2,650
17,-1,4,Ⅳ,1600,2#3000|14#33000|16#1800|940002#120,8,16,5,2,675
18,-1,4,Ⅲ,1700,2#3200|14#36000|16#2000|940002#130,8,16,5,2,700
19,-1,4,Ⅱ,1800,2#3400|14#39000|16#2200|940002#140,8,16,5,2,725
20,-1,4,Ⅰ,1900,2#3600|14#42000|16#2400|940002#150,8,16,5,2,750
21,-1,5,,2000,2#4000|14#47000|16#2800|940002#170,8,16,5,2,800
22,-1,6,,2000,2#4500|14#55000|16#3500|940002#200,8,16,5,2,900
