id,name,remark,desc,is_guide,guide_name,level,open_type,open_value,icon,icon_h5,guide_rank,is_review,scale
1,-1,-1,,,,0,1,0,,,,1,
2,-1,-1,,,,0,1,0,,,,1,
3,-1,-1,,,,0,1,0,,,,1,
4,-1,-1,,,,0,1,0,,,,1,
5,-1,-1,,,,0,1,0,,,,1,
6,-1,-1,,,,0,1,0,,,,1,
7,-1,-1,,,,0,1,0,,,,1,
8,-1,-1,,,,0,1,0,,,,1,
9,-1,-1,,,,0,1,0,,,,1,
10,-1,-1,,,,0,1,0,,,,1,
11,-1,-1,-1,1,gamble,14,2,17,guide_icon_1,guide_icon_1,6,1,
12,-1,-1,,,,80,1,80,,,,1,
13,-1,-1,-1,1,mission,17,2,10,guide_icon_24,guide_icon_11,5,1,
14,-1,-1,-1,1,arena,18,2,27,guide_icon_3,guide_icon_3,4,1,
15,-1,-1,-1,1,tower,24,2,22,guide_icon_4,guide_icon_4,3,1,
16,-1,-1,-1,1,prophet,25,2,37,guide_icon_5,guide_icon_5,2,,
17,-1,-1,-1,1,pub,28,2,42,guide_icon_6,guide_icon_6,1,1,
18,-1,-1,,,,40,2,52,guide_icon_16,guide_icon_16,,1,
19,-1,-1,,,,72,2,92,guide_icon_19,guide_icon_19,,1,
20,-1,-1,,,,0,1,0,,,,1,
21,-1,-1,,,,0,1,0,,,,1,
22,-1,-1,,1,guild,21,2,32,guide_icon_7,guide_icon_7,8,1,
23,-1,-1,,,,55,2,62,guide_icon_17,guide_icon_17,,1,
25,-1,-1,,,,60,2,72,guide_icon_18,guide_icon_18,,1,
26,-1,-1,,,,30,2,47,guide_icon_15,guide_icon_15,,1,
27,-1,-1,,,,0,1,0,,,,,
28,-1,-1,,1,pet,70,2,82,guide_icon_9,guide_icon_9,4,1,
29,-1,-1,-1,,,20,1,20,,,,1,
30,-1,-1,,,,0,1,0,,,,,
31,-1,-1,,1,hero challenge,75,2,102,guide_icon_10,guide_icon_10,3,,
32,-1,-1,,1,friend_team_boss,82,2,122,guide_icon_7,guide_icon_7,10,,
33,-1,-1,,,,25,1,25,,,,,
34,-1,-1,,,,90,2,142,guide_icon_21,guide_icon_21,,,
35,-1,-1,,,,90,2,137,guide_icon_20,guide_icon_20,,,
36,-1,,-1,1,guild_free,9999,1,9999,guide_icon_7,guide_icon_7,11,,
37,-1,,,,,0,1,0,,,,,
38,-1,-1,,,,36,1,36,,,,,
39,-1,-1,,1,old_building,88,2,132,guide_icon_12,guide_icon_12,12,,
40,-1,-1,,1,travel,78,2,112,guide_icon_13,guide_icon_13,13,,
41,-1,-1,,,,999,2,12,guide_icon_23,guide_icon_23,,,
42,-1,-1,,,,14,2,17,,,,,
43,-1,-1,,,,18,2,27,,,,,
44,-1,-1,-1,,,9999,2,0,,,,,
45,-1,-1,,1,senpai_dress,9999,2,15,guide_icon_25,guide_icon_25,,,
46,-1,-1,,,,9999,2,15,,,,,
