name,class,resource,window_name,layer_type,hide_type,back_type,background,open_sound,open_animation,close_animation,bottom_btn_status,back_close,show_res_loading,res_loading_delay,show_scene,record_id,win_name,img_guide,animation_part,stack_type,bgs_sound
main_window,MainWindow,main_window,MainWindow,3,-1,-1,-1,,,,1,1,,,,1,,,,,
battle_window,BattleWindow,battle_window,BattleWindow,4,-1,-1,-1,2002,,,-1,,,,,2,,,,,-1
summon_window,SummonWindow,summon_window,SummonWindow,2,1,1,1,,,,4,1,1,,,3,,,,,
campaign_window,CampaignWindow,campaign_window,CAMPAIGN_WINDOW,2,1,1,1,7002,,,-1,1,1,,1,4,,,,,
campaign_fort_window,CampaignFortWindow,campaign_fort_window,CampaignFortWindow,2,1,1,1,,,,-2,1,,,,5,,,,,
backpack_window,BackpackWindow,backpack_window,BACKPACK_WINDOW,2,1,1,3,,,,3,1,1,,,6,-1,,,,
item_tips_window,ItemTipsWindow,item_tips_window,ItemTipsWindow,6,-1,-1,2,2136,1,1,-2,1,,,,7,-1,,,,
item_sell_window,ItemSellWindow,item_sell_window,ItemSellWindow,6,-1,-1,2,,1,1,-2,,,,,8,-1,,,,
alert_item_window,AlertItemWindow,alert_item_window,AlertItemWindow,6,-1,-1,2,,2,2,-2,1,,,,9,-1,,main,,
alert_award_window,AlertAwardWindow,alert_award_window,AlertAwardWindow,6,-1,-1,2,,2,2,-2,1,,,,10,-1,,,,
battle_tips_window,BattleTipsWindow,battle_tips_window,BattleTipsWindow,4,1,-1,2,,1,1,-2,,,,,11,-1,,,,
battle_formation_window,BattleFormationWindow,battle_formation_window,BATTLE_FORMATION_WIN,4,-1,-1,3,,,,-2,1,,,,12,-1,,,,
slot_window,SlotWindow,slot_window,SlotWindow,2,1,1,1,,,,2,1,1,,,13,-1,,,,
debris_summon_window,DebrisSummonWindow,debris_summon_window,DebrisSummonWindow,6,-1,-1,2,,,,-2,1,,,,14,-1,,,,
login_window,LoginWindow,login_window,LoginWindow,4,-1,-1,2,,,,-1,,,,,15,-1,,,,
partner_detail_window,PartnerDetailWindow,partner_detail_window,PartnerDetailWindow,4,1,1,2,,,,-2,1,1,500,,16,-1,,,,
campaign_stage_detail_window,CampaignStageDetailWindow,campaign_stage_detail_window,CampaignStageDetailWindow,4,-1,-1,2,,1,1,-2,1,,,,17,-1,,main_group,,
campaign_hang_item_window,CampaignHangItemWindow,campaign_hang_item_window,CAMPAIGN_HANG_ITEM_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,18,-1,,main,,
smithy_window,SmithyWindow,smithy_window,SMITHY_WINDOW,4,1,-1,2,2135,1,1,-2,1,,,,19,-1,,,,
alert_window,AlertWindow,alert_window,AlertWindow,6,-1,-1,-1,,1,2,-2,,,,,20,-1,,groupAction,,
grade_up_window,GradeUpWindow,grade_up_window,GradeUpWindow,4,-1,-1,2,,1,1,-1,1,,,,21,-1,,content,,
grade_up_ok_window,GradeUpOkWindow,grade_up_ok_window,GradeUpOkWindow,4,-1,-1,2,,,,-1,1,,,,22,-1,,,,
tavern_window,TavernWindow,tavern_window,TAVERN_WINDOW,2,1,1,1,2006,,,-1,1,1,,,23,-1,1,,,
guide_detail_window,GuideDetailWindow,partner_detail_window,GuideDetailWindow,4,-1,-1,1,,,,-2,1,,,,24,-1,,,,
battle_win_window,BattleWinWindow,battle_win_window,BattleWinWindow,4,-1,-1,3,,,,-1,,,,,25,-1,,,,
battle_fail_window,BattleFailWindow,battle_fail_window,BattleFailWindow,4,-1,-1,3,,,,-1,,,,,26,-1,,,,
battle_detail_data_window,BattleDetailDataWindow,battle_detail_data_window,BattleDetailDataWindow,4,-1,-1,2,,2,2,-1,1,,,,27,-1,,,,
tavern_detail_window,TavernDetailWindow,tavern_detail_window,GuideDetailWindow,4,-1,-1,2,,1,1,-1,1,,,,28,-1,,,,
campaign_hang_formation_window,CampaignHangFormationWindow,campaign_hang_formation_window,CAMPAIGN_HANG_FORMATION_WINDOW,4,-1,-1,2,,,,-2,1,,,,29,-1,,,,
help_window,HelpWindow,help_window,HELP_WINDOW,4,-1,-1,2,,1,1,-2,1,,,,30,-1,,content,,
choose_partner_window,ChoosePartnerWindow,choose_partner_window,ChoosePartnerWindow,4,-1,-1,2,,,,-2,1,,,,31,-1,,,,
altar_window,AltarWindow,altar_window,ALTAR_WINDOW,2,1,1,2,2006,,,-1,1,1,500,,32,-1,,,,
shenxue_window,ShenXueWindow,shenxue_window,SHENXUE_WINDOW,2,1,1,1,2006,,,-1,1,1,,,33,-1,1,,,
mail_window,MailWindow,mail_window,MailWindow,4,-1,-1,2,,1,1,-2,1,1,,,34,-1,,,,
mail_send_window,MailSendWindow,mail_send_window,MailSendWindow,4,-1,-1,2,,2,2,-2,1,,,,35,-1,,,,
mail_detail_window,MailDetailWindow,mail_detail_window,MailDetailWindow,4,-1,-1,2,,1,1,-2,1,,,,36,-1,,content,,
shenxue_select_window,ShenXueSelectWindow,shenxue_select_window,SHENXUE_SELECT_WINDOW,6,-1,-1,2,,1,1,-1,11,,,,37,-1,,content,,
treasure_up_window,TreasureUpWindow,treasure_up_window,TreasureUpWindow,4,-1,-1,2,,1,1,-1,1,,,,38,-1,,,,
treasure_change_window,TreasureChangeWindow,treasure_change_window,TreasureChangeWindow,4,-1,-1,2,,1,1,-1,1,,,,39,-1,,,,
choose_equip_window,ChooseEquipWindow,choose_equip_window,ChooseEquipWindow,4,-1,-1,2,2135,1,1,-1,1,,,,40,-1,,content,,
artifact_up_window,ArtifactUpWindow,artifact_up_window,ArtifactUpWindow,4,-1,-1,2,,1,1,-1,1,,,,41,-1,,,,
campaign_alert_window,CampaignAlertWindow,campaign_alert_window,CampaignAlertWindow,4,-1,-1,2,,1,1,-2,1,,,,42,-1,,main,,
rank_window,RankWindow,rank_window,RANK_WINDOW,4,-1,-1,2,,1,1,-2,1,,,,43,-1,,,,
person_info_window,PersonInfoWindow,person_info_window,PersonInfoWindow,4,-1,-1,2,,1,1,-2,1,,,,44,-1,,,,
person_avatars_window,PersonAvatarsWindow,person_avatars_window,PersonAvatarsWindow,4,-1,-1,2,,1,1,-2,1,,,,45,-1,,,,
person_edit_name_window,PersonEditNameWindow,person_edit_name_window,PersonEditNameWindow,4,-1,-1,2,,2,2,-2,1,,,,46,-1,,,,
alert_heros_window,AlertHerosWindow,alert_heros_window,AlertHerosWindow,4,-1,-1,2,,2,2,-2,1,,,,47,-1,,,,
prophet_window,ProphetWindow,prophet_window,PROPHET_WINDOW,2,1,1,2,2006,,,-1,1,1,500,,48,-1,1,,,
summon_res_window,SummonResWindow,summon_res_window,SummonResWindow,4,4,1,1,,,,-2,,1,,,49,-1,,,,
partner_info,PartnerInfoWindow,partner_info,PartnerInfoWindow,6,-1,-1,2,,1,1,-2,1,,,,50,-1,,content,,
gamble_window,GambleWindow,gamble_window,GAMBLE_WINDOW,2,1,1,1,,,,-1,1,1,,,51,-1,1,,,
gamble_door_window,GambleDoorWindow,gamble_door_window,GambleDoorWindow,4,-1,-1,2,2006,1,1,-2,1,1,,,52,-1,,,,
gamble_buy_coin_window,GambleBuyCoinWindow,gamble_buy_coin_window,GambleBuyCoinWindow,4,-1,-1,2,,,,-1,1,,,,53,-1,,,,
gamble_rewards_window,GambleRewardsWindow,gamble_rewards_window,GambleRewardsWindow,4,-1,-1,3,,,,-1,1,,,,54,-1,,,,
dungeon_window,DungeonWindow,dungeon_window,DUNGEON_WINDOW,2,1,1,1,,,,-1,1,1,,,55,-1,,,,
dungeon_select_heros_window,DungeonSelectHerosWindow,dungeon_select_heros_window,DungeonSelectHerosWindow,4,-1,-1,3,,,,-1,1,,,,56,-1,,,,
dungeon_shop_window,DungeonShopWindow,dungeon_shop_window,DungeonShopWindow,4,-1,-1,2,,2,2,-1,1,,,,57,-1,,,,
dungeon_shop_detail_window,DungeonShopDetailWindow,dungeon_shop_detail_window,DungeonShopDetailWindow,4,-1,-1,2,,2,2,-1,1,,,,58,-1,,groupMain,,
dungeon_buy_item_window,DungeonBuyItemWindow,dungeon_buy_item_window,DungeonShopDetailWindow,4,-1,-1,2,,2,2,-1,1,,,,59,-1,,,,
tower_window,TowerWindow,tower_window,TOWER_WINDOW,2,1,1,1,,,,-1,1,1,,,60,-1,1,,,
item_purchase_window,ItemPurchaseWindow,item_buy_window,ITEM_PURCHASE_WINDOW,4,1,-1,2,,2,2,-2,1,,,,61,-1,,,,
tower_campaign_detail_window,TowerCampaignDetailWindow,tower_campaign_detail_window,TOWER_CAMPAIGN_DETAIL_WINDOW,4,1,-1,2,,1,1,-1,1,,,,62,-1,,,,
daily_mission_window,DailyMissionWindow,daily_mission_window,DailyMissionWindow,4,-1,-1,2,,1,1,-2,1,,,,63,-1,,content,,
tower_video_window,TowerVideoWindow,tower_video_window,TOWER_VIDEO_WINDOW,4,1,-1,2,,,,-1,1,,,,64,-1,,,,
market_window,MarketWindow,market_window,MarketWindow,2,1,1,-1,2006,,,-1,1,1,,,65,-1,,,,
achievement_window,AchievementWindow,achievement_window,AchievementWindow,2,1,1,-1,,,,-1,1,,,,66,-1,,,,
daily_quiz_window,DailyQuizWindow,daily_quiz_window,DailyQuizWindow,4,-1,-1,2,,1,1,-2,1,1,,,67,-1,,,,
daily_quiz_detail_window,DailyQuizDetailWindow,daily_quiz_detail_window,DailyQuizDetailWindow,4,-1,-1,2,,1,1,-2,1,,,,68,-1,,,,
midas_window,MidasWindow,midas_window,MIDAS_WINDOW,4,-1,-1,2,2135,1,1,-2,1,,,,69,-1,,main,,
final_lev_artifact_window,FinalLevArtifactWindow,gamble_rewards_window,FinalLevArtifactWindow,4,-1,-1,3,,,,-1,1,,,,70,-1,,,,
shop_window,ShopWindow,shop_window,SHOP_WINDOW,2,1,1,-1,,,,-1,1,,,,71,-1,,content,,
guide_window,GuideWindow,guide_window,GuideWindow,7,-1,-1,-1,,,,-2,,,,,72,-1,,,,
guide_edit_name_window,GuideEditNameWindow,guide_edit_name_window,GuideEditNameWindow,4,-1,-1,3,,,,-1,,,,,73,-1,,,,
activity_window,ActivityWindow,activity_window,ACTIVITY_WINDOW,2,1,1,1,,,,-1,1,1,,,74,-1,,,,
loading_window,LoadingWindow,loading_window,LoadingWindow,8,-1,-1,-1,,,,-2,,,,,75,-1,,,,
awake_ok_window,AwakeOkWindow,awake_ok_window,AwakeOkWindow,4,-1,-1,2,,,,-1,1,,,,76,-1,,,,
color_matris_test_window,ColorMatrisTestWindow,color_matris_test_window,ColorMatrisTestWindow,4,-1,-1,3,,,,-1,,,,,77,,,,,
summon_result_window,SummonResultWindow,summon_result_window,,4,-1,-1,3,,,,-2,1,,,,78,-1,,,,
person_lev_up_window,PersonLevUpWindow,person_lev_up_window,PersonLevUpWindow,6,-1,-1,-1,,,,-2,1,,,,79,-1,,,,
battle_loading_window,BattleLoadingWindow,battle_loading_window,BattleLoadingWindow,6,-1,-1,-1,,,,-1,,,,,80,-1,,,,
func_open_window,FuncOpenWindow,func_open_window,FuncOpenWindow,6,-1,-1,3,,,,-1,,,,,81,-1,,,,
group_buff_detail_window,GroupBuffDetailWindow,group_buff_detail_window,GroupBuffDetailWindow,6,-1,-1,-1,,,,-1,,,,,82,-1,,,,
setting_up_window,SettingUpWindow,setting_up_window,SETTING_UP_WINDOW,2,1,1,3,,,,6,1,,,,83,-1,,,,
login_up_window,LoginUpWindow,login_up_window,LOGIN_UP_WINDOW,4,-1,-1,3,,2,2,-2,1,,,,84,-1,,,,
modify_password_window,ModifyPasswordWindow,modify_password_window,MODIFY_PASSWORD_WINDOW,4,-1,-1,3,,2,2,-2,1,,,,85,-1,,,,
change_language_window,ChangeLanguageWindow,change_language_window,CHANGE_LANGUAGE_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,86,-1,,,,
register_window,RegisterWindow,register_window,REGISTER_WINDOW,4,-1,-1,3,,,,-2,1,,,,87,-1,,,,
arena_window,ArenaWindow,arena_window,ArenaWindow,2,1,1,1,2006,,,-1,1,1,,,88,-1,1,,,
arena_choose_player_window,ArenaChoosePlayerWindow,arena_choose_player_window,ArenaChoosePlayerWindow,4,-1,-1,2,,,,-1,1,,,,89,-1,,,,
arena_battle_award_window,ArenaBattleAwardWindow,arena_battle_award_window,ArenaBattleAwardWindow,4,-1,-1,1,,,,-1,1,,,,90,-1,,,,
arena_tips_window,ArenaTipsWindow,arena_tips_window,ArenaTipsWindow,4,-1,-1,3,,,,-2,1,,,,91,-1,,,,
arena_record_window,ArenaRecordWindow,arena_record_window,ArenaRecordWindow,4,-1,-1,2,,1,1,-2,1,,,,92,-1,,,,
arena_formation_window,ArenaFormationWindow,arena_formation_window,ArenaFormationWindow,4,-1,-1,2,,1,1,-2,1,,,,93,-1,,,,
arena_award_window,ArenaAwardWindow,arena_award_window,ArenaAwardWindow,4,-1,-1,2,,1,1,-2,1,,,,94,-1,,,,
vip_window,VipWindow,vip_window,VIP_WINDOW,4,-1,-1,3,2135,1,1,-2,1,,,,95,vip,,main,,
enhance_window,EnhanceWindow,enhance_window,ENHANCE_WINDOW,4,-1,-1,2,,2,1,-2,1,,,,96,-1,,,,
edit_picture_window,EditPictureWindow,edit_picture_window,EDIT_PICTURE_WINDOW,4,-1,-1,2,,1,1,-2,1,,,,97,-1,,,,
modify_account_window,ModifyAccountWindow,modify_account_window,ModifyAccountWindow,4,-1,-1,2,,1,1,-2,1,,,,98,-1,,,,
notice_window,NoticeWindow,notice_window,NOTICE_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,99,-1,,,,
chat_window,ChatWindow,chat_window,CHAT_WINDOW,4,-1,-1,2,2135,2,2,-2,1,,,,100,-1,,,,
praise_window,PraiseWindow,praise_window,PraiseWindow,4,-1,-1,3,,2,2,-2,1,,,,101,-1,,,,
friend_window,FriendWindow,friend_window,FRIEND_WINDOW,4,-1,-1,2,2135,2,2,-2,1,1,,,102,-1,,content,,
res_loading_window,ResLoadingWindow,res_loading_window,ResLoadingWindow,6,-1,-1,-1,,,,-2,,,,,103,-1,,,,
friend_boss_window,FriendBossWindow,friend_boss_window,FRIEND_BOSS_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,104,-1,,content,,
friend_sweep_window,FriendSweepWindow,friend_sweep_window,FRIEND_SWEEP_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,105,-1,,content,,
friend_rank_award_window,FriendRankAwardsWindow,friend_rank_award_window,FRIEND_RANK_AWARDS_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,106,-1,,content,,
friend_boss_rank_window,FriendBossRankWindow,friend_boss_rank_window,FRIEND_BOSS_RANK_WINDOW,4,-1,-1,2,,2,2,-2,,,,,107,-1,,content,,
notify_manager_window,NotifyManagerWindow,notify_manager_window,NOTIFY_MANAGER_WINDOW,4,-1,-1,2,,2,2,-2,1,,,,108,-1,,,,
trial_enter_window,TrialEnterWindow,trial_enter_window,TRIAL_ENTER_WINDOW,2,1,1,2,,,,-1,1,1,,,109,-1,,,,
trial_window,TrialWindow,trial_window,TRIAL_WINDOW,2,1,1,2,,,,-2,1,1,,,110,-1,,,,
trial_campaign_window,TrialCampaignWindow,trial_campaign_window,TRIAL_CAMPAIGN_WINDOW,4,-1,-1,2,,1,1,-2,1,1,,,111,-1,,,,
trial_award_window,TrialAwardWindow,trial_award_window,TRIAL_AWARD_WINDOW,4,-1,-1,2,,2,2,-2,1,1,,,112,-1,,,,
read_log_window,ReadLogWindow,read_log_window,ReadLogWindow,4,-1,-1,2,,,,-2,,,,,114,,,,,
activity_sheleter_mission_window,ActivityShelterMissionWindow,activity_sheleter_mission_window,ActivityShelterMissionWindow,4,-1,-1,2,,1,1,-2,1,,,,115,-1,,,,
activity_shelter_mission_select_window,ActivityShelterMissionSelectWindow,activity_shelter_mission_select_window,ActivityShelterMissionSelectWindow,4,-1,-1,2,,1,1,-1,1,,,,116,-1,,,,
alert_award_partner_window,AlertAwardPartnerWindow,alert_award_window,AlertAwardPatnerWindow,6,-1,-1,2,,2,2,-2,1,,,,117,-1,,,,
guild_join_window,GuildJoinWindow,guild_join_window,GUILD_JOIN_WINDOW,4,-1,-1,2,,1,1,-2,1,1,,,118,-1,,,,
guild_flag_window,GuildFlagWindow,guild_flag_window,GUILD_FLAG_WINDOW,4,-1,-1,2,,1,1,-2,1,,,,119,-1,,,,
guild_window,GuildWindow,guild_window,GUILD_WINDOW,4,-1,-1,2,2135,2,1,-2,1,,,,120,-1,,,,
guild_lab_window,GuildLabWindow,guild_lab_window,GUILD_LAB_WINDOW,4,-1,-1,2,2135,2,1,-2,1,,,,121,-1,,main,,
guild_apply_list_window,GuildApplyListWindow,guild_apply_list_window,GUILD_APPLY_LIST_WINDOW,4,-1,-1,2,,1,1,-2,1,,,,122,-1,,,,
