id,rank,is_percentage,awards,rank_front
1,20,,2#3000|4102021#1|4101022#1,1-20
2,50,,2#2500|4102021#1|93#1,21-50
3,100,,2#2000|4102021#1|940004#50,51-100
4,250,,2#1750|4102021#1|940002#50,101-250
5,500,,2#1500|4101022#1|940002#50,251-500
6,1000,,2#1250|1#10000000|940004#50,501-1000
7,10,1,2#1000|1#10000000|940002#50,10%
8,20,1,2#750|1#8000000|940002#50,20%
9,30,1,2#500|1#6000000|940002#50,0.3
10,50,1,2#400|1#4000000|940002#50,0.5
11,75,1,2#300|1#4000000,0.75
12,100,1,2#200|1#2000000,100%
