id,name,type,monster_id
1,-1,1,50001
2,-1,1,50001
3,-1,1,50001
4,-1,1,50001
5,-1,1,50001
6,-1,1,50001
7,-1,1,50002
8,-1,1,50002
9,-1,1,50002
10,-1,1,50002
11,-1,1,50002
12,-1,1,50002
13,-1,1,50003
14,-1,1,50003
15,-1,1,50003
16,-1,1,50003
17,-1,1,50003
18,-1,1,50003
19,-1,1,50004
20,-1,1,50004
21,-1,1,50004
22,-1,1,50004
23,-1,1,50004
24,-1,1,50004
25,-1,1,50005
26,-1,1,50005
27,-1,1,50005
28,-1,1,50005
29,-1,1,50005
30,-1,1,50005
31,-1,1,50006
32,-1,1,50006
33,-1,1,50006
34,-1,1,50006
35,-1,1,50006
36,-1,1,50006
37,-1,2,60101
38,-1,2,60102
39,-1,2,60103
40,-1,2,60104
41,-1,2,60105
42,-1,2,60106
43,-1,2,60107
44,-1,2,60108
45,-1,2,60201
46,-1,2,60202
47,-1,2,60203
48,-1,2,60204
49,-1,2,60205
50,-1,2,60206
51,-1,2,60207
52,-1,2,60208
53,-1,2,60301
54,-1,2,60302
55,-1,2,60303
56,-1,2,60304
57,-1,2,60305
58,-1,2,60306
59,-1,2,60307
60,-1,2,60308
61,-1,2,60401
62,-1,2,60402
63,-1,2,60403
64,-1,2,60404
65,-1,2,60405
66,-1,2,60406
67,-1,2,60407
68,-1,2,60408
69,-1,2,60501
70,-1,2,60502
71,-1,2,60503
72,-1,2,60601
73,-1,2,60602
74,-1,2,60603
75,-1,2,61001
76,-1,2,61002
77,-1,2,61003
78,-1,2,61004
79,-1,2,61005
80,-1,2,61006
81,-1,2,61007
82,-1,2,61008
83,-1,2,61009
84,-1,2,61010
85,-1,2,61011
86,-1,2,62001
87,-1,2,62002
88,-1,2,62003
89,-1,2,62004
90,-1,2,62005
91,-1,2,62006
92,-1,2,62007
93,-1,2,62008
94,-1,2,62009
95,-1,2,62010
96,-1,2,62011
97,-1,2,62012
98,-1,2,63001
99,-1,2,63002
100,-1,2,63003
101,-1,2,63004
102,-1,2,63005
103,-1,2,63006
104,-1,2,63007
105,-1,2,63008
106,-1,2,63009
107,-1,2,63010
108,-1,2,63011
109,-1,2,64001
110,-1,2,64002
111,-1,2,64003
112,-1,2,64004
113,-1,2,64005
114,-1,2,64006
115,-1,2,64007
116,-1,2,64008
117,-1,2,64009
118,-1,2,64010
119,-1,2,64011
120,-1,2,65002
121,-1,2,65003
122,-1,2,65004
123,-1,2,65005
124,-1,2,65006
125,-1,2,66001
126,-1,2,66002
127,-1,2,66003
128,-1,2,66004
129,-1,2,66005
130,-1,3,70101
131,-1,3,70102
132,-1,3,70103
133,-1,3,70201
134,-1,3,70203
135,-1,3,70204
136,-1,3,70301
137,-1,3,70302
138,-1,3,70303
139,-1,3,70401
140,-1,3,70402
141,-1,3,70403
142,-1,3,70501
143,-1,3,70601
144,-1,3,71001
145,-1,3,71002
146,-1,3,71003
147,-1,3,71004
148,-1,3,71005
149,-1,3,71006
150,-1,3,71007
151,-1,3,71008
152,-1,3,71009
153,-1,3,71010
154,-1,3,71011
155,-1,3,72001
156,-1,3,72002
157,-1,3,72003
158,-1,3,72004
159,-1,3,72005
160,-1,3,72006
161,-1,3,72007
162,-1,3,72008
163,-1,3,72009
164,-1,3,72010
165,-1,3,72011
166,-1,3,72012
167,-1,3,73001
168,-1,3,73002
169,-1,3,73003
170,-1,3,73004
171,-1,3,73005
172,-1,3,73006
173,-1,3,73007
174,-1,3,73008
175,-1,3,73009
176,-1,3,73010
177,-1,3,73011
178,-1,3,74001
179,-1,3,74002
180,-1,3,74003
181,-1,3,74004
182,-1,3,74005
183,-1,3,74006
184,-1,3,74007
185,-1,3,74008
186,-1,3,74009
187,-1,3,74010
188,-1,3,74011
189,-1,3,75002
190,-1,3,75003
191,-1,3,75004
192,-1,3,75005
193,-1,3,75006
194,-1,3,76001
195,-1,3,76002
196,-1,3,76003
197,-1,3,76004
198,-1,3,76005
199,-1,4,81001
200,-1,4,81002
201,-1,4,81003
202,-1,4,81004
203,-1,4,81005
204,-1,4,81006
205,-1,4,81007
206,-1,4,81008
207,-1,4,81009
208,-1,4,81010
209,-1,4,81011
210,-1,4,82001
211,-1,4,82002
212,-1,4,82003
213,-1,4,82004
214,-1,4,82005
215,-1,4,82006
216,-1,4,82007
217,-1,4,82008
218,-1,4,82009
219,-1,4,82010
220,-1,4,82011
221,-1,4,82012
222,-1,4,83001
223,-1,4,83002
224,-1,4,83003
225,-1,4,83004
226,-1,4,83005
227,-1,4,83006
228,-1,4,83007
229,-1,4,83008
230,-1,4,83009
231,-1,4,83010
232,-1,4,83011
233,-1,4,84001
234,-1,4,84002
235,-1,4,84003
236,-1,4,84004
237,-1,4,84005
238,-1,4,84006
239,-1,4,84007
240,-1,4,84008
241,-1,4,84009
242,-1,4,84010
243,-1,4,84011
244,-1,4,85002
245,-1,4,85003
246,-1,4,85004
247,-1,4,85005
248,-1,4,85006
249,-1,4,86001
250,-1,4,86002
251,-1,4,86003
252,-1,4,86004
253,-1,4,86005
254,-1,4,81012
255,-1,4,82013
256,-1,4,83012
257,-1,4,84012
258,-1,4,85007
259,-1,4,86006
260,-1,3,71012
261,-1,3,72013
262,-1,3,73012
263,-1,3,74012
264,-1,3,75007
265,-1,3,76006
266,-1,2,61012
267,-1,2,62013
268,-1,2,63012
269,-1,2,64012
270,-1,2,65007
271,-1,2,66006
272,-1,2,63013
273,-1,3,73013
274,-1,4,83013
275,-1,2,62014
276,-1,3,72014
277,-1,4,82014
278,-1,2,61013
279,-1,3,71013
280,-1,4,81013
281,-1,2,64013
282,-1,3,74013
283,-1,4,84013
284,-1,2,65008
285,-1,3,75008
286,-1,4,85008
287,-1,2,66007
288,-1,3,76007
289,-1,4,86007
290,-1,2,61014
291,-1,3,71014
292,-1,4,81014
293,-1,2,61015
294,-1,3,71015
295,-1,4,81015
296,-1,2,62015
297,-1,3,72015
298,-1,4,82015
299,-1,2,62016
300,-1,3,72016
301,-1,4,82016
302,-1,2,63014
303,-1,3,73014
304,-1,4,83014
305,-1,2,63015
306,-1,3,73015
307,-1,4,83015
308,-1,2,64014
309,-1,3,74014
310,-1,4,84014
311,-1,2,64015
312,-1,3,74015
313,-1,4,84015
314,-1,2,65009
315,-1,3,75009
316,-1,4,85009
317,-1,2,65010
318,-1,3,75010
319,-1,4,85010
320,-1,2,66008
321,-1,3,76008
322,-1,4,86008
323,-1,2,64016
324,-1,3,74016
325,-1,4,84016
