id,equip_show,group,type,cost_show,awards,cost,limit
1,1064#1|2064#1|3064#1|4064#1,,1,1#40000000|2#1500,1065#1|2065#1|3065#1|4065#1,1064#1|2064#1|3064#1|4064#1|1#40000000|2#1500,1
2,1065#1|2065#1|3065#1|4065#1,,1,1#60000000|2#2500,1066#1|2066#1|3066#1|4066#1,1065#1|2065#1|3065#1|4065#1|1#60000000|2#2500,1
3,1066#1|2066#1|3066#1|4066#1,,2,1#80000000|2#4000,1166#1|2166#1|3166#1|4166#1,1066#1|2066#1|3066#1|4066#1|1#80000000|2#4000,1
4,1066#1|2066#1|3066#1|4066#1,,2,1#80000000|2#4000,1266#1|2266#1|3266#1|4266#1,1066#1|2066#1|3066#1|4066#1|1#80000000|2#4000,1
5,1066#1|2066#1|3066#1|4066#1,,2,1#80000000|2#4000,1366#1|2366#1|3366#1|4366#1,1066#1|2066#1|3066#1|4066#1|1#80000000|2#4000,1
6,1066#1|2066#1|3066#1|4066#1,,2,1#80000000|2#4000,1466#1|2466#1|3466#1|4466#1,1066#1|2066#1|3066#1|4066#1|1#80000000|2#4000,1
7,1066#1|2066#1|3066#1|4066#1,,2,1#80000000|2#4000,1566#1|2566#1|3566#1|4566#1,1066#1|2066#1|3066#1|4066#1|1#80000000|2#4000,1
8,1166#1|2166#1|3166#1|4166#1,101,3,184#3,1167#1|2167#1|3167#1|4167#1,1166#1|2166#1|3166#1|4166#1|184#3,
9,1266#1|2266#1|3266#1|4266#1,201,3,184#3,1267#1|2267#1|3267#1|4267#1,1266#1|2266#1|3266#1|4266#1|184#3,
10,1366#1|2366#1|3366#1|4366#1,301,3,184#3,1367#1|2367#1|3367#1|4367#1,1366#1|2366#1|3366#1|4366#1|184#3,
11,1466#1|2466#1|3466#1|4466#1,401,3,184#3,1467#1|2467#1|3467#1|4467#1,1466#1|2466#1|3466#1|4466#1|184#3,
12,1566#1|2566#1|3566#1|4566#1,501,3,184#3,1567#1|2567#1|3567#1|4567#1,1566#1|2566#1|3566#1|4566#1|184#3,
13,1167#1|2167#1|3167#1|4167#1,102,3,184#6,1168#1|2168#1|3168#1|4168#1,1167#1|2167#1|3167#1|4167#1|184#6,
14,1267#1|2267#1|3267#1|4267#1,202,3,184#6,1268#1|2268#1|3268#1|4268#1,1267#1|2267#1|3267#1|4267#1|184#6,
15,1367#1|2367#1|3367#1|4367#1,302,3,184#6,1368#1|2368#1|3368#1|4368#1,1367#1|2367#1|3367#1|4367#1|184#6,
16,1467#1|2467#1|3467#1|4467#1,402,3,184#6,1468#1|2468#1|3468#1|4468#1,1467#1|2467#1|3467#1|4467#1|184#6,
17,1567#1|2567#1|3567#1|4567#1,502,3,184#6,1568#1|2568#1|3568#1|4568#1,1567#1|2567#1|3567#1|4567#1|184#6,
18,1168#1|2168#1|3168#1|4168#1,103,3,184#9,1169#1|2169#1|3169#1|4169#1,1168#1|2168#1|3168#1|4168#1|184#9,
19,1268#1|2268#1|3268#1|4268#1,203,3,184#9,1269#1|2269#1|3269#1|4269#1,1268#1|2268#1|3268#1|4268#1|184#9,
20,1368#1|2368#1|3368#1|4368#1,303,3,184#9,1369#1|2369#1|3369#1|4369#1,1368#1|2368#1|3368#1|4368#1|184#9,
21,1468#1|2468#1|3468#1|4468#1,403,3,184#9,1469#1|2469#1|3469#1|4469#1,1468#1|2468#1|3468#1|4468#1|184#9,
22,1568#1|2568#1|3568#1|4568#1,503,3,184#9,1569#1|2569#1|3569#1|4569#1,1568#1|2568#1|3568#1|4568#1|184#9,
23,,,4,183#8,184#3,183#8,9
24,,,4,183#100,149#1,183#100,1
25,,,4,183#100,150#1,183#100,1
26,,,4,183#100,151#1,183#100,1
27,,,4,183#100,152#1,183#100,1
28,,,4,183#100,153#1,183#100,1
