id,interval,coefficient1,step1,coefficient2,step2
1,0,100|300,1|1,-300|-100,1|1
2,500,100|280,1|1,-250|-100,1|1
3,700,100|260,1|1,-200|-100,1|1
4,900,100|240,1|1,-160|-100,1|1
5,1000,100|220,1|1,-140|-100,1|1
6,1100,100|200,1|1,-120|-100,1|1
7,1300,100|180,1|1,-110|-100,1|1
8,1400,100|160,1|1,-110|-100,1|1
9,1500,100|140,1|1,-110|-100,1|1
10,1600,90|120,1|1,-110|-100,1|1
11,1700,80|100,1|1,-110|-100,1|1
12,1800,70|100,1|1,-110|-100,1|1
13,1900,50|90,1|1,-110|-100,1|1
14,2000,40|80,1|1,-110|-100,1|1
15,2500,40|80,1|1,-110|-100,1|1
16,3000,40|80,1|1,-110|-100,1|1
