id,name,lv,score,power,partner_ids,partner_lv,avatar_id,show_id
1,footie,18,1000,442,14001|11003|11002|11001|12002|12003,1|3|2|2|3|1,930009,1479242
2,Raykill,20,1000,443,11002|11002|11001|13001|13002|13002,1|2|1|2|2|2,930001,1823460
3,not today,18,1000,444,12001|14001|14001|13002|13003|13003,1|5|1|3|1|1,930007,2253348
4,Pain,19,1000,445,13002|13003|13001|13001|13002|13002,2|2|1|1|3|1,930006,2261217
5,Sk,20,1000,446,14003|11002|11002|13001|13002|14002,1|1|2|2|4|1,930010,2470554
6,brink,19,1000,447,14003|13002|13002|13003|13003|14003,1|2|1|5|1|1,930011,3485762
7,Erron Black,18,1000,448,12002|12002|12001|12001|12003|12003,2|2|1|1|3|1,930004,3838742
8,eleven,19,1000,449,13002|13002|14001|14003|11003|12003,1|3|2|2|4|1,930002,3986411
9,confessor,19,1000,450,13001|13001|13003|13001|13002|13002,1|1|1|3|2|2,930008,4328651
10,Disruptive Pilot,18,1000,451,14001|14003|14003|14001|14002|14002,1|1|1|5|2|2,930011,5046955
11,SNNNR,19,1000,452,12002|12003|11001|11002|11003|11002,1|1|1|4|2|1,930005,5569799
12,RRL,20,1000,453,12002|12002|12001|14001|14001|14003,1|3|2|4|1|1,930003,5967852
13,Millen,20,1000,454,11002|11002|11001|11001|11003|11003,1|2|1|1|3|1,930000,6001043
14,bandii,19,1000,455,14002|11001|11003|12002|12003|14001,1|3|2|2|3|1,930002,6147807
15,Simba,18,1000,456,14001|11001|11003|12001|12001|14003,1|3|2|2|4|1,930009,8746615
