name,res_name
zhitianxinchang,zhitianxinchang|zhitianxinchang_hurt|zhitianxinchang_hurt02
zhitianxinchang_awaken,zhitianxinchang_awaken|zhitianxinchang_hurt|zhitianxinchang_hurt02
zhenji,zhenji|zhenji_hurt01|zhenji_hurt02|wangyuanji_unit
zhenji_awaken,zhenji_awaken|zhenji_hurt01|zhenji_hurt02|wangyuanji_unit
bulianshi,bulianshi|bulianshi_hurt|bulianshi_skill
buff,tongyongshouji|fx_ui_nlt|hanlingdi_hurt03|bingdong|masu_jinmo|masu_baoji|buff_xuanyun|buff_biaoji|shihua|fx_ui_nlt|miansi_hudun_buff|kongju_buff|keruisi_buff01|keruisi_buff02|fs_shield|yixienamei_hurt04_hellzuzhou|yixienamei_hellzuzhou|huangquanwanxiang_buff01
buff_guide,masu_jinmo|fx_ui_nlt|hanlingdi_hurt03
ruanji,ruanji|ruanji_unit|ruanji_hurt02
wangping,wangping|simayi_hurt02|wangping_hurt02
handang,handang|handang_hurt02|handang_unit
lingtong,lingtong|fangtianhuaji_hurt02
wanshengwunv,wanshengwunv|wanshengwunv_unit|dongzhuo_hurt02|xiahouyuan_hurt01
mayunlu,mayunlu|xunyu_unit|xunyu_hurt02|xunyu_hurt01
guanlu,guanlu|xunyu_hurt02|xunyu_unit|xunyu_hurt01
tianfeng,tianfeng|tianfeng_hurt02|xiahouyuan_unit02|xiahouyuan_hurt01
chengpu,chengpu|chengpu_hurt02
hansui,hansui|jiangwei_hurt01|yanyue_hurt02
panghui,panghui|panghui_hurt02
huanggai,huanggai|huanggai_hurt02
hucheer,hucheer|hucheer_unit|caozhi_hurt02|guojia_hurt01
zhangerbao,zhangerbao|zhangerbao_unit|zhangerbao_hurt01|zhangerbao_hurt02
zhangliang,zhangliang|zhangliang_unit|zhangliang_hurt02
shamoke,shamoke|shamoke_hurt02
dingfeng,dingfeng|dingfeng_unit|dingfeng_unit01|dingfeng_hurt02
huaxiong,huaxiong|huaxiong_unit|huaxiong_hurt02|xunyu_unit|xunyu_hurt01
zhongyao,zhongyao|zhongyao_unit|zhongyao_hurt02
zhuran,zhuran|zhuran_unit|zhuran_hurt02
yutu,yutu|xuchu_hurt02
wangshuang,wangshuang|fazheng_unit01|fazheng_hurt01|liru_hurt02
guotu,guotu|daqiao_unit|daqiao_hurt01|daqiao_hurt02
aidehua,aidehua|aidehua_unit|aidehua_hurt02
chendeng,chendeng|chendeng_hurt02
jianggan,jianggan|zhanghe_unit01|zhanghe_hurt01|zhanghe_hurt02
zhangjiao,zhangjiao|zhangjiao_hurt01|zhangjiao_skill|zhangjiao_unit
zhangjiao_awaken,zhangjiao_awaken|zhangjiao_hurt01|zhangjiao_skill|zhangjiao_unit
ganfuren,ganfuren|ganfuren_hurt01|ganfuren_skill|ganfuren_unit
ganfuren_awaken,ganfuren_awaken|ganfuren_hurt01|ganfuren_skill|ganfuren_unit
degula,degula|degula_hurt01|degula_hurt02|degula_unit
degula_pifu01,degula_pifu01|degula_pifu01_hurt01|degula_pifu01_hurt02|degula_pifu01_unit
degula_awaken,degula_awaken|degula_hurt01|degula_hurt02|degula_unit
hanlingdi,hanlingdi|hanlingdi_hurt01|hanlingdi_hurt02|hanlingdi_hurt03|hanlingdi_unit
hanlingdi_awaken,hanlingdi_awaken|hanlingdi_hurt01|hanlingdi_hurt02|hanlingdi_hurt03|hanlingdi_unit
sunshangxiang,sunshangxiang|sunshangxiang_hurt01|sunshangxiang_hurt02|sunshangxiang_unit
sunshangxiang_awaken,sunshangxiang_awaken|sunshangxiang_hurt01|sunshangxiang_hurt02|sunshangxiang_unit
xunyu,xunyu|xunyu_hurt01|xunyu_hurt02|xunyu_unit
xunyu_awaken,xunyu_awaken|xunyu_hurt01|xunyu_hurt02|xunyu_unit
caochong,caochong|caochong_hurt02
caofang,caofang|zuoci_unit01|lvmeng_hurt02|zuoci_hurt01
caohong,caohong|caohong_unit|caohong_hurt02|daqiao_hurt02
caorui,caorui|caorui_unit|caorui_hurt01|jiangwei_hurt02
caoxing,caoxing|caoxing_unit|caoxing_hurt02|caoxing_hurt01
caoxiu,caoxiu|caoxiu_unit|caoxiu_hurt02|caoxiu_hurt01
caoxiu_awaken,caoxiu_awaken|caoxiu_unit|caoxiu_hurt02|caoxiu_hurt01|caoxiu_awaken_hurt02
chitu,chitu|chitu_unit|chitu_hurt02|xiahouyuan_hurt01
dianwei,dianwei|guanyu_hurt02|dianwei_hurt02
fengchenxiuji,fengchenxiuji|fengchenxiuji_unit|fengchenxiuji_hurt02
fengchenxiuji_awaken,fengchenxiuji_awaken|fengchenxiuji_awaken_unit|fengchenxiuji_hurt02
gaoshun,gaoshun|zhurong_hurt02
hejin,hejin|hejin_hurt02
jiangqin,jiangqin|jiangqin_unit|xiahoudun_hurt02
jiling,jiling|fangtianhuaji_hurt02|fangtianhuaji_hurt02
kongrong,kongrong|kongrong_unit|kongrong_hurt02
liaohua,liaohua|zhenji_hurt02
lusu,lusu|lusu_unit|lusu_hurt02
luzhi,luzhi|luzhi_unit|luzhi_hurt02
maliang,maliang|daqiao_unit|daqiao_hurt01|jiabailie_hurt02
maoliyuanjiu,maoliyuanjiu|shuijing_hurt02|zhangchunhua_unit01|zhangchunhua_hurt01
meiyingdu,meiyingdu|meiyingdu_hurt02|meiyingdu_unit
miheng,miheng|miheng_hurt02
panfeng,panfeng|panfeng_hurt02
simashi,simashi|simashi_unit|simashi_hurt02
sunce,sunce|sunce_unit|sunce_hurt02|sunce_hurt01
sunce_awaken,sunce_awaken|sunce_unit|sunce_hurt02|sunce_hurt01
sunjian,sunjian|sunjian_hurt02
sunwukong,sunwukong|sunwukong_hurt02
sunwukong_awaken,sunwukong_awaken|sunwukong_hurt02
wangyun,wangyun|wangyun_hurt02
wenchou,wenchou|wenchou_hurt02
xiahouba,xiahouba|xiahouba_unit|xiahouba_unit1|xiahouba_hurt02
xiahouxuan,xiahouxuan|xiahouxuan_unit|ganfuren_hurt01|jiangwei_hurt02
xiaoqiao,xiaoqiao|xiaoqiao_unit|xiaoqiao_hurt02
xuhuang,xuhuang|xuhuang_hurt02|xuhuang_hurt01
xuhuang_awaken,xuhuang_awaken|xuhuang_hurt02|xuhuang_hurt01
xunyou,xunyou|simazhao_unit|simazhao_hurt01|simazhao_hurt02
xusheng,xusheng|ailier_hurt02
yanliang,yanliang|yanliang_hurt02
yuanfeizuozhu,yuanfeizuozhu|caiwenji_unit01|caiwenji_hurt01|menghuo_hurt02
yuanshu,yuanshu|yuanshu_unit|yuanshu_hurt02
zhitianxinnai,zhitianxinnai|xiahouyuan_unit01|xiahouyuan_unit02|xiahouyuan_hurt01|xiahouyuan_hurt02
zhonghui,zhonghui|zhouyu_hurt02
zhoutai,zhoutai|zhoutai_hurt01|zhoutai_hurt02
zhugejin,zhugejin|zhugejin_unit|zhugejin_hurt01
xiahouyuan,xiahouyuan|xiahouyuan_unit01|xiahouyuan_unit02|xiahouyuan_hurt01|xiahouyuan_hurt02
xiahouyuan_awaken,xiahouyuan_awaken|xiahouyuan_unit01|xiahouyuan_unit02|xiahouyuan_hurt01|xiahouyuan_hurt02
yanyue,yanyue|yanyue_hurt01|yanyue_hurt02
yanyue_awaken,yanyue_awaken|yanyue_hurt01|yanyue_hurt02
xiahoudun,xiahoudun|xiahoudun_hurt01|xiahoudun_hurt02
xiahoudun_awaken,xiahoudun_awaken|xiahoudun_hurt01|xiahoudun_hurt02
daqiao,daqiao|daqiao_unit|daqiao_hurt01|daqiao_hurt02
daqiao_awaken,daqiao_awaken|daqiao_unit|daqiao_hurt01|daqiao_hurt02
fangtianhuaji,fangtianhuaji|fangtianhuaji_hurt01|fangtianhuaji_hurt02
fangtianhuaji_awaken,fangtianhuaji_awaken|fangtianhuaji_hurt01|fangtianhuaji_hurt02
jiangwei,jiangwei|jiangwei_hurt01|jiangwei_hurt02
jiangwei_awaken,jiangwei_awaken|jiangwei_hurt01|jiangwei_hurt02
dongzhuo,dongzhuo|dongzhuo_hurt01|dongzhuo_hurt02
dongzhuo_awaken,dongzhuo_awaken|dongzhuo_hurt01|dongzhuo_hurt02
menghuo,menghuo|menghuo_hurt01|menghuo_hurt02
menghuo_pifu01,menghuo_pifu01|menghuo_pifu01_hurt01|menghuo_pifu01_hurt02
menghuo_awaken,menghuo_awaken|menghuo_hurt01|menghuo_hurt02
zuoci,zuoci|zuoci_hurt01|zuoci_hurt02|zuoci_unit01|buff_yinyangbiaoji
zuoci_awaken,zuoci_awaken|zuoci_hurt01|zuoci_hurt02|zuoci_unit01|buff_yinyangbiaoji
buzhi,buzhi|buzhi_unit|buzhi_hurt01|buzhi_hurt02
hetaihou,hetaihou|hetaihou_unit|hetaihou_hurt01|hetaihou_hurt02
hetaihou_awaken,hetaihou_awaken|hetaihou_awaken_unit|hetaihou_hurt01|hetaihou_hurt02
jiaxu,jiaxu|jiaxu_hurt02|jiaxu_unit
lidian,lidian|lidian_hurt01|lidian_hurt02
liushan,liushan|liushan_unit|liushan_hurt01|zhurong_hurt02
simayi,simayi|simayi_unit|simayi_hurt01|simayi_hurt02
simayi_awaken,simayi_awaken|simayi_unit|simayi_hurt01|simayi_hurt02
wanglang,wanglang|wanglang_unit|wanglang_hurt01|wanglang_hurt02
wangyuanji,wangyuanji|wangyuanji_unit|wangyuanji_hurt01|wangyuanji_hurt02
yangxiu,yangxiu|yangxiu_unit|yangxiu_hurt01|yangxiu_hurt02
yangxiu_awaken,yangxiu_awaken|yangxiu_unit|yangxiu_hurt01|yangxiu_hurt02
zhangchunhua,zhangchunhua|zhangchunhua_unit01|zhangchunhua_hurt01|zhangchunhua_hurt02
zhangchunhua_awaken,zhangchunhua_awaken|zhangchunhua_unit01|zhangchunhua_hurt01|zhangchunhua_hurt02
huangzhong,huangzhong|huangzhong_unit|huangzhong_hurt01|huangzhong_hurt02
huangzhong_awaken,huangzhong_awaken|huangzhong_unit|huangzhong_hurt01|huangzhong_hurt02
huangzhong_pifu01,huangzhong_pifu01|huangzhong_pifu01_unit|huangzhong_pifu01_hurt01|huangzhong_pifu01_hurt02
guanyu,guanyu|guanyu_hurt01|guanyu_hurt02
guanyu_awaken,guanyu_awaken|guanyu_hurt01|guanyu_hurt02
jiabailie,jiabailie|jiabailie_unit|jiabailie_hurt01|jiabailie_hurt02
jiabailie_awaken,jiabailie_awaken|jiabailie_unit|jiabailie_hurt01|jiabailie_hurt02
lvmeng,lvmeng|lvmeng_hurt01|lvmeng_hurt02
lvmeng_awaken,lvmeng_awaken|lvmeng_hurt01|lvmeng_hurt02
shuijing,shuijing|shuijing_unit|shuijing_hurt01|shuijing_hurt02
shuijing_awaken,shuijing_awaken|shuijing_unit|shuijing_hurt01|shuijing_hurt02
zhanghe,zhanghe|zhanghe_unit01|zhanghe_hurt01|zhanghe_hurt02
zhanghe_awaken,zhanghe_awaken|zhanghe_unit01|zhanghe_hurt01|zhanghe_hurt02
zhanghe_pifu01,zhanghe_pifu01|zhanghe_pifu01_unit|zhanghe_pifu01_hurt01|zhanghe_pifu01_hurt02
zhouyu,zhouyu|zhouyu_unit|zhouyu_hurt01|zhouyu_hurt02
zhouyu_awaken,zhouyu_awaken|zhouyu_unit|zhouyu_hurt01|zhouyu_hurt02
guojia,guojia|guojia_unit01|guojia_unit02|guojia_hurt01|guojia_hurt02
guojia_awaken,guojia_awaken|guojia_unit01|guojia_unit02|guojia_hurt01|guojia_hurt02
yidazhengzong,yidazhengzong|yidazhengzong_hurt01|yidazhengzong_hurt02
yidazhengzong_awaken,yidazhengzong_awaken|yidazhengzong_hurt01|yidazhengzong_hurt02
caozhi,caozhi|caozhi_unit|caozhi_hurt01|caozhi_hurt02
caozhi_awaken,caozhi_awaken|caozhi_unit|caozhi_hurt01|caozhi_hurt02
zhurong,zhurong|zhurong_unit|zhurong_hurt01|zhurong_hurt02
zhurong_awaken,zhurong_awaken|zhurong_unit|zhurong_hurt01|zhurong_hurt02
ailier,ailier|ailier_unit|ailier_hurt01|ailier_hurt02
ailier_awaken,ailier_awaken|ailier_unit|ailier_hurt01|ailier_hurt02
diaochan,diaochan|diaochan_unit|diaochan_hurt01|diaochan_hurt02
diaochan_awaken,diaochan_awaken|diaochan_unit|diaochan_hurt01|diaochan_hurt02
caiwenji,caiwenji|caiwenji_unit01|caiwenji_hurt01|caiwenji_hurt02
caiwenji_awaken,caiwenji_awaken|caiwenji_unit01|caiwenji_hurt01|caiwenji_hurt02
guohuan,guohuan|guohuan_hurt01|guohuan_hurt02
guohuan_awaken,guohuan_awaken|guohuan_hurt01|guohuan_hurt02
simazhao,simazhao|simazhao_unit|simazhao_hurt01|simazhao_hurt02
simazhao_awaken,simazhao_awaken|simazhao_unit|simazhao_hurt01|simazhao_hurt02
xuchu,xuchu|xuchu_hurt01|xuchu_hurt02
xuchu_awaken,xuchu_awaken|xuchu_hurt01|xuchu_hurt02
weiyan,weiyan|weiyan_hurt01|weiyan_hurt02
weiyan_pifu01,weiyan_pifu01|weiyan_pifu01_hurt01|weiyan_pifu01_hurt02
weiyan_awaken,weiyan_awaken|weiyan_hurt01|weiyan_hurt02
wenpin,wenpin|wenpin_unit|wenpin_hurt01|wenpin_hurt02
fazheng,fazheng|fazheng_unit01|fazheng_hurt01|fazheng_hurt02
fazheng_awaken,fazheng_awaken|fazheng_unit01|fazheng_hurt01|fazheng_hurt02
machao,machao|machao_unit|machao_hurt01|machao_hurt02
machao_awaken,machao_awaken|machao_unit|machao_hurt01|machao_hurt02
masu,masu|masu_unit|masu_hurt01|masu_hurt02
masu_awaken,masu_awaken|masu_unit|masu_hurt01|masu_hurt02
yuji,yuji|yuji_hurt01|yuji_hurt02|yujifuhuo
