id,desc,type,award,complete_value,if_change,activity_id,getway
1,-1,0,180#10,4,,134,
2,-1,0,180#5,1,,134,10
3,-1,0,180#5,5,,134,5
4,-1,0,180#5,1,,134,112
5,-1,0,180#5,1,,134,124
6,-1,1,180#15,5,,134,
7,-1,1,180#15,1000,,134,2
8,-1,1,180#15,400,,20,23
9,-1,1,180#30,800,,20,23
10,-1,1,180#15,200,,168,7
11,-1,1,180#30,500,,168,7
12,-1,1,180#15,40,,16,8
13,-1,1,180#30,80,,16,8
14,-1,1,180#10,1,,134,7
15,-1,1,180#20,1,,134,30
16,-1,1,180#15,1000,,74,83
17,-1,1,180#30,2000,,74,83
18,-1,1,180#15,40,,166,144
19,-1,1,180#30,80,,166,144
