id,function_id,battle_count,battle_count_2,battle_ids,icon,building_icon,building_fx,contribution,power,score_first,score_shrink,score_period,map_buffs,neutral_change,third_shrink,truce
1,0,,,,,,,,,,,,,,,
2,1,2,10,2201101|2201102|2201103,arctic_expedition_cell_icon2,,,5,999,200,0,300,,0,0,600
3,1,2,10,2201201|2201202|2201203,arctic_expedition_cell_icon2,,,5,999,200,0,300,,0,0,600
4,1,5,30,2202101|2202102|2202103,arctic_expedition_cell_icon1,,,10,9999,1000,0,100,,0,-0.1,600
5,1,5,30,2202201|2202202|2202203,arctic_expedition_cell_icon1,,,10,9999,1000,0,100,,0,-0.1,600
6,2,20,100,2203001|2203002|2203003|2203004,arctic_expedition_cell_icon4,,fx_ept_building1#texiao01|fx_ept_building1#texiao01|fx_ept_building1#texiao01,15,99999,5000,0,18.75,125600301|125600302|125600303,0,0,1800
7,3,10,300,2204101|2204102|2204103,arctic_expedition_cell_icon8,,fx_ept_building2#texiao01|fx_ept_building2#texiao01|fx_ept_building2#texiao01,20,999,20000,0,7.5,,-0.1,-0.1,1800
8,3,20,300,2204201|2204202|2204203,arctic_expedition_cell_icon8,,fx_ept_building2#texiao01|fx_ept_building2#texiao01|fx_ept_building2#texiao01,20,999,20000,0,7.5,,-0.1,-0.1,1800
9,4,20,0,2205001|2205002|2205003|2205004|2205005|2205006,arctic_expedition_cell_icon9,,fx_ept_building3#texiao02|fx_ept_building3#texiao03|fx_ept_building3#texiao01,50,9999,100000,0,,,0,0,
10,5,0,0,,arctic_expedition_cell_icon6,,fx_ept_base1#texiao01|fx_ept_base1#texiao01|fx_ept_base1#texiao01,,,,,300,125600401|125600402|125600403,,,
11,5,0,0,,arctic_expedition_cell_icon7,,fx_ept_base2#texiao01|fx_ept_base2#texiao01|fx_ept_base2#texiao01,,,,,300,125600401|125600402|125600403,,,
12,5,0,0,,arctic_expedition_cell_icon5,,fx_ept_base3#texiao01|fx_ept_base3#texiao01|fx_ept_base3#texiao01,,,,,300,125600401|125600402|125600403,,,
13,1,2,9999,2205001|2205002|2205003|2205004|2205005|2205006,arctic_expedition_cell_icon2,,fx_ept_building2#texiao01|fx_ept_building2#texiao01|fx_ept_building2#texiao01,5,999,500,0,300,,0,0,600
14,1,2,9999,2200000,arctic_expedition_cell_icon2,,fx_ept_building2#texiao01|fx_ept_building2#texiao01|fx_ept_building2#texiao01,5,999,500,0,300,,0,0,600
