id,awards,point,area
1,1#500000|257#5,50,1
2,1#900000|257#5,100,1
3,14#800|257#10,200,1
4,29#1|257#10,300,1
5,4#1800|257#10,400,1
6,36#3|257#10,500,1
7,940004#50|257#15,650,1
8,73#20|257#15,800,1
9,9#500000|257#5,50,2
10,9#900000|257#5,100,2
11,10#800|257#10,200,2
12,29#1|257#10,300,2
13,4#1800|257#10,400,2
14,36#3|257#10,500,2
15,940016#50|257#15,650,2
16,73#20|257#15,800,2
17,26#240|257#5,50,3
18,27#50|257#5,100,3
19,216#30|257#10,200,3
20,29#1|257#10,300,3
21,4#1800|257#10,400,3
22,36#3|257#10,500,3
23,940015#50|257#15,650,3
24,73#20|257#15,800,3
