id,brief,partner_id,decision_id,chapter_img,location
1,-1,51009,10101|10102|10103,date_ganfuren_zhaoxiang,30|263|-6
2,-1,51009,10201|10202|10203,date_ganfuren_gg1,0|280|0
3,-1,51009,10301|10302|10303,date_ganfuren_hefu,13|245|8
4,-1,51009,10401|10402|10403,date_ganfuren_heguozi,55|285|-13
5,-1,51009,10501|10502|10503,date_ganfuren_gg2,0|280|0
6,-1,51009,10601|10602|10603,date_ganfuren_jinyu,55|285|-13
7,-1,51009,10701|10702|10703,date_ganfuren_gg3,0|280|0
8,-1,51009,10801|10802|10803,date_ganfuren_mianju,22|225|15
9,-1,51009,10901|10902|10903,date_ganfuren_gg1,0|280|0
10,-1,51009,11001|11002|11003,date_ganfuren_gg2,0|280|0
11,-1,51009,11101|11102|11103,date_ganfuren_gg3,0|280|0
12,-1,51009,11201|11202|11203,date_ganfuren_gg1,0|280|0
13,-1,51009,11301|11302|11303,date_ganfuren_gg2,0|280|0
14,-1,51009,11401|11402|11403,date_ganfuren_gg3,0|280|0
15,-1,51009,11501|11502|11503,date_ganfuren_wutai,13|245|8
16,-1,51006,20101|20102|20103,date_dengai_gg1,0|280|0
17,-1,51006,20201|20202|20203,date_dengai_gg2,0|280|0
18,-1,51006,20301|20302|20303,date_dengai_bingqilin,55|285|-13
19,-1,51006,20401|20402|20403,date_dengai_gg3,0|280|0
20,-1,51006,20501|20502|20503,date_dengai_guiwu,13|245|8
21,-1,51006,20601|20602|20603,date_dengai_gg1,0|280|0
22,-1,51006,20701|20702|20703,date_dengai_maomi,30|263|-6
23,-1,51006,20801|20802|20803,date_dengai_gg2,0|280|0
24,-1,51006,20901|20902|20903,date_dengai_xianhua,22|225|15
25,-1,51006,21001|21002|21003,date_dengai_gg3,0|280|0
26,-1,51006,21101|21102|21103,date_dengai_pingguotang,55|285|-13
27,-1,51006,21201|21202|21203,date_dengai_gg1,0|280|0
28,-1,51006,21301|21302|21303,date_dengai_zhangyushao,13|245|8
29,-1,51006,21401|21402|21403,date_dengai_gg2,0|280|0
30,-1,51006,21501|21502|21503,date_dengai_gg3,0|280|0
31,-1,54008,30101|30102|30103,date_zhugeliang_gg1,0|280|0
32,-1,54008,30201|30202|30203,date_zhugeliang_huachuan,55|285|-13
33,-1,54008,30301|30302|30303,date_zhugeliang_gg2,0|280|0
34,-1,54008,30401|30402|30403,date_zhugeliang_gg3,0|280|0
35,-1,54008,30501|30502|30503,date_zhugeliang_gg1,0|280|0
36,-1,54008,30601|30602|30603,date_zhugeliang_shanzi,22|225|15
37,-1,54008,30701|30702|30703,date_zhugeliang_gg2,0|280|0
38,-1,54008,30801|30802|30803,date_zhugeliang_maomi,30|263|-6
39,-1,54008,30901|30902|30903,date_zhugeliang_shudian,13|245|8
40,-1,54008,31001|31002|31003,date_zhugeliang_wanou,55|285|-13
41,-1,54008,31101|31102|31103,date_zhugeliang_gg3,0|280|0
42,-1,54008,31201|31202|31203,date_zhugeliang_gg1,0|280|0
43,-1,54008,31301|31302|31303,date_zhugeliang_gg2,0|280|0
44,-1,54008,31401|31402|31403,date_zhugeliang_gg3,0|280|0
45,-1,54008,31501|31502|31503,date_zhugeliang_diaoyu,13|245|8
